mandt,land1,teleffrom,telefto,telefrm,telexfrom,telexto,mobile_sms,operation_flag,is_deleted,recordstamp
0,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
