mandt,spras,matkl,wgbez,wgbez60,operation_flag,is_deleted,recordstamp
800,4,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,d,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,G,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,E,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,5,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,6,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,R,300,Самолеты,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,W,300,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,3,401,인력,인력,I,False,2021-03-31 05:00:41.416210+00:00
800,3,403,자재,자재,I,False,2021-03-31 05:00:41.416210+00:00
800,3,404,출장,출장,I,False,2021-03-31 05:00:41.416210+00:00
800,3,408,오버헤드,오버헤드,I,False,2021-03-31 05:00:41.416210+00:00
800,3,409,외주,외주,I,False,2021-03-31 05:00:41.416210+00:00
800,J,900,紙,紙,I,False,2021-03-31 05:00:41.416210+00:00
800,1,900,纸,纸,I,False,2021-03-31 05:00:41.416210+00:00
800,P,900,Papel,Papel,I,False,2021-03-31 05:00:41.416210+00:00
800,S,900,Papel,Papel,I,False,2021-03-31 05:00:41.416210+00:00
800,5,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,4,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,Z,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,G,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,6,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,d,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,W,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,E,900,Paper,Paper,I,False,2021-03-31 05:00:41.416210+00:00
800,F,900,Papier,Papier,I,False,2021-03-31 05:00:41.416210+00:00
800,D,900,Papier,Papier,I,False,2021-03-31 05:00:41.416210+00:00
800,3,900,종이,종이,I,False,2021-03-31 05:00:41.416210+00:00
800,R,900,Бумага,Бумага,I,False,2021-03-31 05:00:41.416210+00:00
800,E,CPG,CPG Company,CPG Candy Company,I,False,2021-03-31 05:00:41.416210+00:00
800,P,CPG,Empresa CPG,Empresa CPG Candy,I,False,2021-03-31 05:00:41.416210+00:00
800,1,CPG,消费品公司,糖果 cpg 公司,I,False,2021-03-31 05:00:41.416210+00:00
800,F,CPG,Cpg société,Cpg bonbons société,I,False,2021-03-31 05:00:41.416210+00:00
800,S,CPG,Empresa bienes cons.,Empresa de bienes de consumo de dulces,I,False,2021-03-31 05:00:41.416210+00:00
800,Z,DAD,Aircrafts,Aerospace & Defense,I,False,2021-03-31 05:00:41.416210+00:00
800,1,0025,移动通信,移动通信,I,False,2021-03-31 05:00:41.416210+00:00
800,J,0025,モバイル通信,モバイル通信,I,False,2021-03-31 05:00:41.416210+00:00
800,F,0025,Communication mobile,Communication mobile,I,False,2021-03-31 05:00:41.416210+00:00
800,S,0025,Comunicación móvil,Comunicación móvil,I,False,2021-03-31 05:00:41.416210+00:00
800,P,0025,Comunicação móvel,Comunicação móvel,I,False,2021-03-31 05:00:41.416210+00:00
800,R,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,6,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,Z,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,G,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,5,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,W,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,d,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,E,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,4,0025,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,D,0025,Mobile Kommunikation,Mobile Kommunikation,I,False,2021-03-31 05:00:41.416210+00:00
800,3,0025,모바일 통신 기기,모바일 통신 기기,I,False,2021-03-31 05:00:41.416210+00:00
800,1,0026,数码相机,数码相机,I,False,2021-03-31 05:00:41.416210+00:00
800,D,0026,Digitalkameras,Digitalkameras,I,False,2021-03-31 05:00:41.416210+00:00
800,5,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,E,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,W,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,d,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,R,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,G,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,4,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,6,0026,Digitale Cameras,Digital Cameras,I,False,2021-03-31 05:00:41.416210+00:00
800,P,0026,Câmeras digitais,Câmeras digitais,I,False,2021-03-31 05:00:41.416210+00:00
800,S,0026,Cámaras digitales,Cámaras digitales,I,False,2021-03-31 05:00:41.416210+00:00
800,F,0026,Appareil photo num.,Appareil photo num.,I,False,2021-03-31 05:00:41.416210+00:00
800,3,0026,디지털 카메라,디지털 카메라,I,False,2021-03-31 05:00:41.416210+00:00
800,Z,0026,Mobile Communication,Mobile Communication,I,False,2021-03-31 05:00:41.416210+00:00
800,J,0026,デジタルカメラ,デジタルカメラ,I,False,2021-03-31 05:00:41.416210+00:00
800,3,0201,모터사이클,모터사이클,I,False,2021-03-31 05:00:41.416210+00:00
800,1,0501,底片冲洗,底片冲洗,I,False,2021-03-31 05:00:41.416210+00:00
800,3,0501,필름 현상,필름 현상,I,False,2021-03-31 05:00:41.416210+00:00
800,D,0501,Filmentwicklung,Filmentwicklung,I,False,2021-03-31 05:00:41.416210+00:00
800,d,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
800,4,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
800,Z,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
800,6,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
800,R,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
800,W,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
800,5,0501,Film Development,Film Development,I,False,2021-03-31 05:00:41.416210+00:00
