mandt,ebeln,ebelp,zekkn,vgabe,gjahr,belnr,buzei,bewtp,bwart,budat,menge,bpmng,dmbtr,wrbtr,waers,arewr,wesbs,bpwes,shkzg,bwtar,elikz,xblnr,lfgja,lfbnr,lfpos,grund,cpudt,cputm,reewr,evere,refwr,matnr,werks,xwsbr,etens,knumv,mwskz,lsmng,lsmeh,ematn,areww,hswae,bamng,charg,bldat,xwoff,xunpl,ernam,srvpos,packno,introw,bekkn,lemin,arewb,rewrb,saprl,menge_pop,bpmng_pop,dmbtr_pop,wrbtr_pop,wesbb,bpweb,weora,arewr_pop,kudif,retamt_fc,retamt_lc,retamtp_fc,retamtp_lc,xmacc,wkurs,inv_item_origin,vbeln_st,vbelp_st,sgt_scat,logsy,et_upd,j_sc_die_comp_f,fsh_season_year,fsh_season,fsh_collection,fsh_theme,wrf_charstc1,wrf_charstc2,wrf_charstc3,operation_flag,is_deleted,recordstamp
250,4500001067,10,,8,,80000042,10,L,,2022-02-07,10.0,,,,,,,,,,,,,,,,2022-02-07,05:06:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-07 05:06:33.120577+00:00
250,4500001077,10,,8,,80000046,10,L,,2022-02-07,10.0,,,,,,,,,,,,,,,,2022-02-07,08:56:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-07 08:56:11.867055+00:00
250,4500001078,10,,8,,80000047,10,L,,2022-02-07,10.0,,,,,,,,,,,,,,,,2022-02-07,09:11:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-07 09:11:13.390996+00:00
250,4500001083,10,,8,,80000050,10,L,,2022-02-09,10.0,,,,,,,,,,,,,,,,2022-02-09,13:20:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-09 13:20:58.280215+00:00
250,4500001085,10,,8,,80000051,10,L,,2022-02-10,1.0,,,,,,,,,,,,,,,,2022-02-10,07:06:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-10 07:06:16.879422+00:00
250,4500001086,10,,8,,80000052,10,L,,2022-02-10,1.0,,,,,,,,,,,,,,,,2022-02-10,07:18:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-10 07:18:04.655716+00:00
250,4500001192,10,,8,,80000054,10,L,,2022-02-24,10.0,,,,,,,,,,,,,,,,2022-02-24,06:54:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-24 06:54:36.762163+00:00
100,4500000035,10,1.0,2,2022.0,5105600151,1,Q,,2022-04-24,3.0,3.0,300.0,300.0,CAD,,,,S,,,,,,,,2022-04-25,06:16:08,300.0,,300.0,C0000069,3000.0,,,,P1,,,,,CAD,,,2022-04-24,,,SATISHE,,,,,,,300.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
50,4500000034,10,1.0,2,2022.0,5105600143,1,Q,,2022-04-24,5.0,5.0,600.0,600.0,CAD,,,,S,,,,,,,,2022-04-25,06:31:42,600.0,,600.0,C0000016,3000.0,,,,P1,,,,,CAD,,,2022-04-24,,,VASUP,,,,,,,600.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000036,10,1.0,2,2022.0,5105600152,1,Q,,2022-04-24,5.0,5.0,550.0,550.0,CAD,,,,S,,,,,,,,2022-04-25,06:43:12,550.0,,550.0,C0000017,3000.0,,,,P1,,,,,CAD,,,2022-04-24,,,ARAMPRAKASH,,,,,,,550.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000039,10,1.0,2,2022.0,5105600153,1,Q,,2022-04-25,3.0,3.0,360.0,360.0,CAD,,,,S,,,,,,,,2022-04-25,07:32:21,360.0,,360.0,C0000034,3000.0,,,,P1,,,,,CAD,,,2022-04-25,,,SATISHE,,,,,,,360.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000040,10,1.0,2,2022.0,5105600154,1,Q,,2022-04-25,4.0,4.0,480.0,480.0,CAD,,,,S,,,,,,,,2022-04-25,07:41:17,480.0,,480.0,C0000034,3000.0,,,,P1,,,,,CAD,,,2022-04-25,,,ARAMPRAKASH,,,,,,,480.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000038,10,1.0,2,2022.0,5105600155,1,Q,,2022-04-25,5.0,5.0,600.0,600.0,CAD,,,,S,,,,,,,,2022-04-25,07:44:43,600.0,,600.0,C0000034,3000.0,,,,P1,,,,,CAD,,,2022-04-25,,,ARAMPRAKASH,,,,,,,600.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000037,10,1.0,2,2022.0,5105600156,1,Q,,2022-04-25,4.0,4.0,420.0,420.0,CAD,,,,S,,,,,,,,2022-04-25,07:48:50,420.0,,420.0,C0000018,3000.0,,,,P1,,,,,CAD,,,2022-04-25,,,ARAMPRAKASH,,,,,,,420.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000041,10,1.0,2,2022.0,5105600157,1,Q,,2022-04-25,3.0,3.0,315.0,315.0,CAD,,,,S,,,,,,,,2022-04-25,07:57:19,315.0,,315.0,C0000039,3000.0,,,,P1,,,,,CAD,,,2022-04-25,,,ARAMPRAKASH,,,,,,,315.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000042,10,1.0,2,2022.0,5105600158,1,Q,,2022-04-25,4.0,4.0,400.0,400.0,CAD,,,,S,,,,,,,,2022-04-25,10:16:24,400.0,,400.0,C0000040,3000.0,,,,P1,,,,,CAD,,,2022-04-25,,,ARAMPRAKASH,,,,,,,400.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
50,4500000006,10,1.0,2,2022.0,5105600105,1,Q,,2022-01-25,10.0,10.0,300.0,300.0,CAD,,,,S,,,,,,,,2022-01-25,16:43:59,300.0,,300.0,C0000001,3000.0,,,,P1,,,,,CAD,,,2022-01-25,,,SATISHE,,,,,,,300.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
50,4500000007,10,1.0,2,2022.0,5105600106,1,Q,,2022-01-26,10.0,10.0,100.0,100.0,CAD,,,,S,,,,,,,,2022-01-26,19:35:23,100.0,,100.0,C0000033,3000.0,,,,P1,,,,,CAD,,,2022-01-26,,,SATISHE,,,,,,,100.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
50,4500000008,10,1.0,2,2022.0,5105600107,1,Q,,2022-01-26,12.0,12.0,1200.0,1200.0,CAD,,,,S,,,,,,,,2022-01-26,19:40:32,1200.0,,1200.0,C0000069,3000.0,,,,P1,,,,,CAD,,,2022-01-26,,,SATISHE,,,,,,,1200.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
100,4500000006,10,1.0,2,2022.0,5105600105,1,Q,,2022-01-25,10.0,10.0,300.0,300.0,CAD,,,,S,,,,,,,,2022-01-25,16:43:59,300.0,,300.0,C0000001,3000.0,,,,P1,,,,,CAD,,,2022-01-25,,,SATISHE,,,,,,,300.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000007,10,1.0,2,2022.0,5105600106,1,Q,,2022-01-26,10.0,10.0,100.0,100.0,CAD,,,,S,,,,,,,,2022-01-26,19:35:23,100.0,,100.0,C0000033,3000.0,,,,P1,,,,,CAD,,,2022-01-26,,,SATISHE,,,,,,,100.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000008,10,1.0,2,2022.0,5105600107,1,Q,,2022-01-26,12.0,12.0,1200.0,1200.0,CAD,,,,S,,,,,,,,2022-01-26,19:40:32,1200.0,,1200.0,C0000069,3000.0,,,,P1,,,,,CAD,,,2022-01-26,,,SATISHE,,,,,,,1200.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000044,10,1.0,2,2022.0,5105600159,1,Q,,2022-04-25,4.0,4.0,480.0,480.0,EUR,,,,S,,,,,,,,2022-04-25,10:47:58,480.0,,480.0,C0000016,4000.0,,,,V1,,,,,EUR,,,2022-04-25,,,ARAMPRAKASH,,,,,,,480.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
100,4500000045,10,1.0,2,2022.0,5105600160,1,Q,,2022-04-25,5.0,5.0,600.0,600.0,EUR,,,,S,,,,,,,,2022-04-25,10:55:48,600.0,,600.0,C0000017,4000.0,,,,V1,,,,,EUR,,,2022-04-25,,,ARAMPRAKASH,,,,,,,600.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.030842+00:00
50,4500000009,10,1.0,2,2022.0,5105600111,1,Q,,2022-01-31,10.0,10.0,300.0,300.0,EUR,,,,S,,,,,,,,2022-01-31,22:01:11,300.0,,300.0,C0000001,4000.0,,,,V1,,,,,EUR,,,2022-01-31,,,SATISHE,,,,,,,300.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:01:12.941052+00:00
50,4500000010,10,1.0,2,2022.0,5105600112,1,Q,,2022-01-31,10.0,10.0,100.0,100.0,EUR,,,,S,,,,,,,,2022-01-31,22:02:27,100.0,,100.0,C0000033,4000.0,,,,V1,,,,,EUR,,,2022-01-31,,,SATISHE,,,,,,,100.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:02:28.812737+00:00
50,4500000011,10,1.0,2,2022.0,5105600113,1,Q,,2022-01-31,15.0,15.0,2175.0,2175.0,EUR,,,,S,,,,,,,,2022-01-31,22:03:25,2175.0,,2175.0,C0000069,4000.0,,,,V1,,,,,EUR,,,2022-01-31,,,SATISHE,,,,,,,2175.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:03:27.035064+00:00
100,4500000009,10,1.0,2,2022.0,5105600111,1,Q,,2022-01-31,10.0,10.0,300.0,300.0,EUR,,,,S,,,,,,,,2022-01-31,22:01:11,300.0,,300.0,C0000001,4000.0,,,,V1,,,,,EUR,,,2022-01-31,,,SATISHE,,,,,,,300.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000010,10,1.0,2,2022.0,5105600112,1,Q,,2022-01-31,10.0,10.0,100.0,100.0,EUR,,,,S,,,,,,,,2022-01-31,22:02:27,100.0,,100.0,C0000033,4000.0,,,,V1,,,,,EUR,,,2022-01-31,,,SATISHE,,,,,,,100.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000011,10,1.0,2,2022.0,5105600113,1,Q,,2022-01-31,15.0,15.0,2175.0,2175.0,EUR,,,,S,,,,,,,,2022-01-31,22:03:25,2175.0,,2175.0,C0000069,4000.0,,,,V1,,,,,EUR,,,2022-01-31,,,SATISHE,,,,,,,2175.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
50,4500000012,10,1.0,2,2022.0,5105600114,1,Q,,2022-02-01,10.0,10.0,3.0,3.0,JPY,,,,S,,,,,,,,2022-02-01,11:57:05,3.0,,3.0,C0000001,5000.0,,,,V1,,,,,JPY,,,2021-02-01,,,SATISHE,,,,,,,3.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:57:07.240375+00:00
50,4500000013,10,1.0,2,2022.0,5105600115,1,Q,,2022-02-01,10.0,10.0,1.0,1.0,JPY,,,,S,,,,,,,,2022-02-01,11:58:18,1.0,,1.0,C0000033,5000.0,,,,V1,,,,,JPY,,,2021-02-01,,,SATISHE,,,,,,,1.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:58:20.755155+00:00
50,4500000014,30,1.0,2,2022.0,5105600116,1,Q,,2022-02-01,10.0,10.0,20.0,20.0,JPY,,,,S,,,,,,,,2022-02-01,12:07:43,20.0,,20.0,C0000069,5000.0,,,,V1,,,,,JPY,,,2022-02-01,,,SATISHE,,,,,,,20.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 12:07:46.110330+00:00
100,4500000012,10,1.0,2,2022.0,5105600114,1,Q,,2022-02-01,10.0,10.0,3.0,3.0,JPY,,,,S,,,,,,,,2022-02-01,11:57:05,3.0,,3.0,C0000001,5000.0,,,,V1,,,,,JPY,,,2021-02-01,,,SATISHE,,,,,,,3.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000013,10,1.0,2,2022.0,5105600115,1,Q,,2022-02-01,10.0,10.0,1.0,1.0,JPY,,,,S,,,,,,,,2022-02-01,11:58:18,1.0,,1.0,C0000033,5000.0,,,,V1,,,,,JPY,,,2021-02-01,,,SATISHE,,,,,,,1.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
100,4500000014,30,1.0,2,2022.0,5105600116,1,Q,,2022-02-01,10.0,10.0,20.0,20.0,JPY,,,,S,,,,,,,,2022-02-01,12:07:43,20.0,,20.0,C0000069,5000.0,,,,V1,,,,,JPY,,,2022-02-01,,,SATISHE,,,,,,,20.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:54.234311+00:00
250,4500038918,10,,2,2018.0,5105630600,1,Q,,2018-05-21,1659605.0,1659605.0,19579687.87,17591813.0,EUR,1653630.42,,,S,,,,2018.0,5000032570.0,1.0,,2022-03-23,09:07:14,19579687.87,,17591813.0,000000006666666723,1000.0,,,,I0,,,,1759181.3,USD,,,2018-05-21,,,MOUNIKAPALI,,,,,,1759181.3,17591813.0,750.0,,,,,,,,1653630.42,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:15.950915+00:00
250,4500038266,10,,2,2018.0,5105630605,1,Q,,2018-05-24,970726.0,970726.0,114524312.03,102896956.0,EUR,967231.39,,,S,,,,2018.0,5000032510.0,1.0,,2022-03-23,09:07:15,114524312.03,,102896956.0,000000006666666726,1000.0,,,,I0,,,,1028969.56,USD,,,2018-05-24,,,MOUNIKAPALI,,,,,,1028969.56,102896956.0,750.0,,,,,,,,967231.39,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:15.950915+00:00
250,4500037299,10,,2,2018.0,5105630610,1,Q,,2018-05-25,1110350.0,1110350.0,1309968.72,1176971.0,EUR,1106352.74,,,S,,,,2018.0,5000032470.0,1.0,,2022-03-23,09:07:16,1309968.72,,1176971.0,000000006666666725,1000.0,,,,I0,,,,1176971.0,USD,,,2018-05-25,,,MOUNIKAPALI,,,,,,1176971.0,1176971.0,750.0,,,,,,,,1106352.74,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:16.325875+00:00
250,4500037298,10,,2,2018.0,5105630615,1,Q,,2018-05-27,734512.0,734512.0,86656256.74,77858272.0,EUR,731867.76,,,S,,,,2018.0,5000032471.0,1.0,,2022-03-23,09:07:16,86656256.74,,77858272.0,000000006666666725,1000.0,,,,I0,,,,778582.72,USD,,,2018-05-27,,,MOUNIKAPALI,,,,,,778582.72,77858272.0,750.0,,,,,,,,731867.76,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:17.053047+00:00
250,4500042737,10,,2,2018.0,5105630617,1,Q,,2018-05-27,1436050.0,1436050.0,1694223.07,1522213.0,EUR,1430880.22,,,S,,,,2018.0,5000032660.0,1.0,,2022-03-23,09:07:17,1694223.07,,1522213.0,000000006666666728,1000.0,,,,I0,,,,1522213.0,USD,,,2018-05-27,,,MOUNIKAPALI,,,,,,1522213.0,1522213.0,750.0,,,,,,,,1430880.22,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:17.532361+00:00
250,4500042736,10,,2,2018.0,5105630623,1,Q,,2018-04-07,1394224.0,1394224.0,164487759.07,147787744.0,EUR,1389204.79,,,S,,,,2018.0,5000032659.0,1.0,,2022-03-23,09:07:18,164487759.07,,147787744.0,000000006666666728,1000.0,,,,I0,,,,1477877.44,USD,,,2018-04-07,,,MOUNIKAPALI,,,,,,1477877.44,147787744.0,750.0,,,,,,,,1389204.79,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:18.501213+00:00
250,4500038272,10,,2,2018.0,5105630624,1,Q,,2018-04-18,591441.0,591441.0,69777026.3,62692746.0,EUR,589311.81,,,S,,,,2018.0,5000032511.0,1.0,,2022-03-23,09:07:18,69777026.3,,62692746.0,000000006666666726,1000.0,,,,I0,,,,626927.46,USD,,,2018-04-18,,,MOUNIKAPALI,,,,,,626927.46,62692746.0,750.0,,,,,,,,589311.81,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:18.501213+00:00
250,4500039746,10,,2,2018.0,5105630628,1,Q,,2018-04-23,1515804.0,1515804.0,178831524.31,160675224.0,EUR,1510347.11,,,S,,,,2018.0,5000032490.0,1.0,,2022-03-23,09:07:18,178831524.31,,160675224.0,000000006666666724,1000.0,,,,I0,,,,1606752.24,USD,,,2018-04-23,,,MOUNIKAPALI,,,,,,1606752.24,160675224.0,750.0,,,,,,,,1510347.11,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:19.201726+00:00
250,4500037297,10,,2,2018.0,5105630632,1,Q,,2018-04-29,1239079.0,1239079.0,146184062.26,131342374.0,EUR,1234618.32,,,S,,,,2018.0,5000032472.0,1.0,,2022-03-23,09:07:19,146184062.26,,131342374.0,000000006666666725,1000.0,,,,I0,,,,1313423.74,USD,,,2018-04-29,,,MOUNIKAPALI,,,,,,1313423.74,131342374.0,750.0,,,,,,,,1234618.32,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:19.825985+00:00
250,4500038919,10,,2,2018.0,5105630643,1,Q,,2018-05-11,1675620.0,1675620.0,19768629.64,17761572.0,EUR,1669587.77,,,S,,,,2018.0,5000032571.0,1.0,,2022-03-23,09:07:21,19768629.64,,17761572.0,000000006666666723,1000.0,,,,I0,,,,1776157.2,USD,,,2018-05-11,,,MOUNIKAPALI,,,,,,1776157.2,17761572.0,750.0,,,,,,,,1669587.77,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:21.283840+00:00
250,4500039744,10,,2,2018.0,5105630644,1,Q,,2018-05-11,949537.0,949537.0,112024476.19,100650922.0,EUR,946118.67,,,S,,,,2018.0,5000032489.0,1.0,,2022-03-23,09:07:21,112024476.19,,100650922.0,000000006666666724,1000.0,,,,I0,,,,1006509.22,USD,,,2018-05-11,,,MOUNIKAPALI,,,,,,1006509.22,100650922.0,750.0,,,,,,,,946118.67,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:21.488507+00:00
250,4500039739,10,,2,2018.0,5105630647,1,Q,,2018-05-13,1963178.0,1963178.0,231611814.08,208096868.0,EUR,1956110.56,,,S,,,,2018.0,5000032488.0,1.0,,2022-03-23,09:07:21,231611814.08,,208096868.0,000000006666666724,1000.0,,,,I0,,,,2080968.68,USD,,,2018-05-13,,,MOUNIKAPALI,,,,,,2080968.68,208096868.0,750.0,,,,,,,,1956110.56,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:21.957625+00:00
250,4500042739,10,,2,2018.0,5105630652,1,Q,,2018-05-15,1144047.0,1144047.0,134972376.97,121268982.0,EUR,1139928.43,,,S,,,,2018.0,5000032661.0,1.0,,2022-03-23,09:07:22,134972376.97,,121268982.0,000000006666666728,1000.0,,,,I0,,,,1212689.82,USD,,,2018-05-15,,,MOUNIKAPALI,,,,,,1212689.82,121268982.0,750.0,,,,,,,,1139928.43,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:07:22.555671+00:00
250,4500039736,10,,2,2018.0,5105630666,1,Q,,2018-07-12,1090307.0,1090307.0,128632239.25,115572542.0,EUR,1086381.89,,,S,,,,2018.0,5000033030.0,1.0,,2022-03-23,09:21:06,128632239.25,,115572542.0,000000006666666724,1000.0,,,,I0,,,,1155725.42,USD,,,2018-07-12,,,MOUNIKAPALI,,,,,,1155725.42,115572542.0,750.0,,,,,,,,1086381.89,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:21:06.986893+00:00
250,4500039745,10,,2,2018.0,5105630731,1,Q,,2018-07-03,1165973.0,1165973.0,137559162.59,123593138.0,EUR,1161775.5,,,S,,,,2018.0,5000033024.0,1.0,,2022-03-23,09:21:15,137559162.59,,123593138.0,000000006666666724,1000.0,,,,I0,,,,1235931.38,USD,,,2018-07-03,,,MOUNIKAPALI,,,,,,1235931.38,123593138.0,750.0,,,,,,,,1161775.5,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:21:16.017191+00:00
250,4500038265,10,,2,2018.0,5105630757,1,Q,,2018-07-08,525157.0,525157.0,61956972.55,55666642.0,EUR,523266.43,,,S,,,,2018.0,5000033414.0,1.0,,2022-03-23,09:21:19,61956972.55,,55666642.0,000000006666666726,1000.0,,,,I0,,,,556666.42,USD,,,2018-07-08,,,MOUNIKAPALI,,,,,,556666.42,55666642.0,750.0,,,,,,,,523266.43,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:21:19.888431+00:00
250,4500042770,10,,2,2018.0,5105630774,1,Q,,2018-07-05,1672324.0,1672324.0,197297440.87,177266344.0,EUR,1666303.63,,,S,,,,2018.0,5000033481.0,1.0,,2022-03-23,09:21:21,197297440.87,,177266344.0,000000006666666728,1000.0,,,,I0,,,,1772663.44,USD,,,2018-07-05,,,MOUNIKAPALI,,,,,,1772663.44,177266344.0,750.0,,,,,,,,1666303.63,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:21:22.097877+00:00
250,4500039738,10,,2,2018.0,5105630791,1,Q,,2018-07-26,1532605.0,1532605.0,18081367.27,16245613.0,EUR,1527087.62,,,S,,,,2018.0,5000033028.0,1.0,,2022-03-23,09:21:24,18081367.27,,16245613.0,000000006666666724,1000.0,,,,I0,,,,1624561.3,USD,,,2018-07-26,,,MOUNIKAPALI,,,,,,1624561.3,16245613.0,750.0,,,,,,,,1527087.62,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:21:24.436698+00:00
250,4500039734,10,,2,2018.0,5105630825,1,Q,,2018-07-30,1848985.0,1848985.0,21813955.23,19599241.0,EUR,1842328.65,,,S,,,,2018.0,5000033031.0,1.0,,2022-03-23,09:21:28,21813955.23,,19599241.0,000000006666666724,1000.0,,,,I0,,,,1959924.1,USD,,,2018-07-30,,,MOUNIKAPALI,,,,,,1959924.1,19599241.0,750.0,,,,,,,,1842328.65,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-23 09:21:29.246384+00:00
