mandt,kurst,fcurr,tcurr,gdatu,ffact,tfact,abwct,abwga,operation_flag,is_deleted,recordstamp
200,M,SAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,SAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,CLP4,CLP,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,CLP4,CLP,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,CLP4,CLP,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,CLP4,CLP,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,CLP4,CLP,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,CLP4,CLP,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,CLP,CLP4,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,CLP,CLP4,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,CLP,CLP4,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,CLP,CLP4,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,CLP,CLP4,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,CLP,CLP4,80999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,CYP,EUR,81998998,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,CYP,EUR,81998998,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,CYP,EUR,81998998,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,CYP,EUR,81998998,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,CYP,EUR,81998998,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,CYP,EUR,81998998,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,NZD5,NZD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,USDN,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,NZD5,NZD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,USDN,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,NZD5,NZD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,USDN,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,NZD5,NZD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,USDN,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,NZD5,NZD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,USDN,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,NZD5,NZD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,USDN,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,ATS,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,BEF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,ESP,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,FIM,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,FRF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,GRD,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,ITL,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,LUF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,NLG,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,PTE,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,ATS,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,BEF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,ESP,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,FIM,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,FRF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,GRD,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,ITL,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,LUF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,NLG,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,PTE,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,ATS,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,BEF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,ESP,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,FIM,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,FRF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,GRD,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,ITL,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,LUF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,NLG,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,PTE,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,ATS,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,BEF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,ESP,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,FIM,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,FRF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,GRD,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,ITL,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,LUF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,NLG,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,PTE,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,ATS,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,BEF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,ESP,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,FIM,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,FRF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,GRD,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,ITL,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,LUF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,NLG,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,PTE,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,ATS,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,BEF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,ESP,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,FIM,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,FRF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,GRD,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,ITL,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,LUF,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,NLG,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,PTE,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURO,IEP,EUR,81999898,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURO,IEP,EUR,81999898,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURO,IEP,EUR,81999898,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,IEP,EUR,81999898,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,IEP,EUR,81999898,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,IEP,EUR,81999898,1.0,100.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,AED,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,AED,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,AED,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,AED,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,AED,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,AED,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,AED,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,AED,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,AED,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,AED,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,AED,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,AED,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,EURX,AED,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,EURX,AED,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,EURX,AED,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURX,AED,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURX,AED,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURX,AED,EUR,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,BRL,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,CAD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,CLP,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,JPY,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,MXN,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,PEN,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,USD,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,VEB,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,ARS,VEF,81999898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
