mandt,kokrs,kostl,datbi,datab,bkzkp,pkzkp,bukrs,gsber,kosar,verak,verak_user,waers,kalsm,txjcd,prctr,werks,logsystem,ersda,usnam,bkzks,bkzer,bkzob,pkzks,pkzer,vmeth,mgefl,abtei,nkost,kvewe,kappl,koszschl,land1,anred,name1,name2,name3,name4,ort01,ort02,stras,pfach,pstlz,pstl2,regio,spras,telbx,telf1,telf2,telfx,teltx,telx1,datlt,drnam,khinr,cckey,kompl,stakz,objnr,funkt,afunk,cpi_templ,cpd_templ,func_area,sci_templ,scd_templ,ski_templ,skd_templ,vname,recid,etype,jv_otype,jv_jibcl,jv_jibsa,ferc_ind,operation_flag,is_deleted,recordstamp
800,SE01,0000002200,9999-12-31,2006-01-01,,,SE01,9900,4,Gilbert,,SEK,,,,,,2006-09-14,BONIN,,,,,,,X,FI & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,SE011_HIER,,X,,KSSE010000002200,,,,,400.0,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
0,BE01,0000001000,9999-12-31,1997-01-01,,,BE01,,L,Big Boss,,EUR,,,,,,1998-04-17,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE01-1-1,,X,,KSBE010000001000,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,BE01,0000001000,9999-12-31,1997-01-01,,,BE01,,L,Big Boss,,EUR,,,,,,1998-04-17,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE01-1-1,,X,,KSBE010000001000,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,KZ01,SAP-DUMMY,9999-12-31,1999-01-01,,,KZ01,0001,W,SAP,,KZT,,,,,,2000-01-25,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KZ01-1-1,,X,,KSKZ01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,KZ01,SAP-DUMMY,9999-12-31,1999-01-01,,,KZ01,0001,W,SAP,,KZT,,,,,,2000-01-25,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KZ01-1-1,,X,,KSKZ01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,TW01,SAP-DUMMY,9999-12-31,1999-01-01,,,TW01,0001,W,SAP,,TWD,,,,,,1999-05-26,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TW01,,X,,KSTW01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,TW01,SAP-DUMMY,9999-12-31,1999-01-01,,,TW01,0001,W,SAP,,TWD,,,,,,1999-05-26,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TW01,,X,,KSTW01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,0001,SAP-DUMMY,9999-12-31,1997-01-01,,,0001,0001,W,SAP,,EUR,,,,,,2001-11-15,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-1-1,,X,,KS0001SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,0001,SAP-DUMMY,9999-12-31,1997-01-01,,,0001,0001,W,SAP,,EUR,,,,,,2001-11-15,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-1-1,,X,,KS0001SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,BE01,SAP-DUMMY,9999-12-31,1997-01-01,,,BE01,0001,W,SAP,,EUR,,,,,,1997-12-08,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE01-1-1,,X,,KSBE01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,BE01,SAP-DUMMY,9999-12-31,1997-01-01,,,BE01,0001,W,SAP,,EUR,,,,,,1997-12-08,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE01-1-1,,X,,KSBE01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CN01,SAP-DUMMY,9999-12-31,1997-01-01,,,CN01,0001,W,SAP,,CNY,,,,,,1998-03-24,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN01-1-1,,X,,KSCN01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CN01,SAP-DUMMY,9999-12-31,1997-01-01,,,CN01,0001,W,SAP,,CNY,,,,,,1998-03-24,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN01-1-1,,X,,KSCN01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CO01,SAP-DUMMY,9999-12-31,1997-01-01,,,CO01,0001,W,SAP,,COP,,,,,,1998-05-04,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO01-1-1,,X,,KSCO01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CO01,SAP-DUMMY,9999-12-31,1997-01-01,,,CO01,0001,W,SAP,,COP,,,,,,1998-05-04,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO01-1-1,,X,,KSCO01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CZ01,SAP-DUMMY,9999-12-31,1997-01-01,,,CZ01,0001,W,SAP,,CZK,,,,,,1997-11-25,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZ01-1-1,,X,,KSCZ01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CZ01,SAP-DUMMY,9999-12-31,1997-01-01,,,CZ01,0001,W,SAP,,CZK,,,,,,1997-11-25,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZ01-1-1,,X,,KSCZ01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,DE01,SAP-DUMMY,9999-12-31,1997-01-01,,,DE01,0001,W,SAP,,EUR,,,,,,1997-07-08,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE01-1-1,,X,,KSDE01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,DE01,SAP-DUMMY,9999-12-31,1997-01-01,,,DE01,0001,W,SAP,,EUR,,,,,,1997-07-08,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE01-1-1,,X,,KSDE01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,DE02,SAP-DUMMY,9999-12-31,1997-01-01,,,DE02,0001,W,SAP,,EUR,,,,,,1997-10-27,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE02-1-1,,X,,KSDE02SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,DE02,SAP-DUMMY,9999-12-31,1997-01-01,,,DE02,0001,W,SAP,,EUR,,,,,,1997-10-27,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE02-1-1,,X,,KSDE02SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,ES01,SAP-DUMMY,9999-12-31,1997-01-01,,,ES01,0001,W,SAP,,EUR,,,,,,1998-02-10,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-01-01,,X,,KSES01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,ES01,SAP-DUMMY,9999-12-31,1997-01-01,,,ES01,0001,W,SAP,,EUR,,,,,,1998-02-10,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-01-01,,X,,KSES01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,FI01,SAP-DUMMY,9999-12-31,1997-01-01,,,FI01,0001,W,SAP,,EUR,,,,,,1998-05-04,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FI01-1-1,,X,,KSFI01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,FI01,SAP-DUMMY,9999-12-31,1997-01-01,,,FI01,0001,W,SAP,,EUR,,,,,,1998-05-04,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FI01-1-1,,X,,KSFI01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,HU01,SAP-DUMMY,9999-12-31,1997-01-01,,,HU01,0001,W,SAP,,HUF,,,,,,1997-09-16,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HU01-1-1,,X,,KSHU01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,HU01,SAP-DUMMY,9999-12-31,1997-01-01,,,HU01,0001,W,SAP,,HUF,,,,,,1997-09-16,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HU01-1-1,,X,,KSHU01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,JP01,SAP-DUMMY,9999-12-31,1997-01-01,,,JP01,0001,W,SAP,,JPY,,,,,,1997-08-06,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP01-1-1,,X,,KSJP01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,JP01,SAP-DUMMY,9999-12-31,1997-01-01,,,JP01,0001,W,SAP,,JPY,,,,,,1997-08-06,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP01-1-1,,X,,KSJP01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,NO01,SAP-DUMMY,9999-12-31,1997-01-01,,,NO01,0001,W,SAP,,NOK,,,,,,1997-08-14,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO01-1-1,,X,,KSNO01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,NO01,SAP-DUMMY,9999-12-31,1997-01-01,,,NO01,0001,W,SAP,,NOK,,,,,,1997-08-14,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO01-1-1,,X,,KSNO01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,RU01,SAP-DUMMY,9999-12-31,1997-01-01,,,RU01,0001,W,SAP,,RUB,,,,,,1997-08-25,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RU01-1-1,,X,,KSRU01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,RU01,SAP-DUMMY,9999-12-31,1997-01-01,,,RU01,0001,W,SAP,,RUB,,,,,,1997-08-25,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RU01-1-1,,X,,KSRU01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,SE01,SAP-DUMMY,9999-12-31,1997-01-01,,,SE01,0001,W,SAP,,SEK,,,,,,1997-08-14,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE01-1-1,,X,,KSSE01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,SE01,SAP-DUMMY,9999-12-31,1997-01-01,,,SE01,0001,W,SAP,,SEK,,,,,,1997-08-14,SAP,,X,X,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE01-1-1,,X,,KSSE01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,SK01,SAP-DUMMY,9999-12-31,1997-01-01,,,SK01,0001,W,SAP,,SKK,,,,,,1998-04-15,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK01-1-1,,X,,KSSK01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,SK01,SAP-DUMMY,9999-12-31,1997-01-01,,,SK01,0001,W,SAP,,SKK,,,,,,1998-04-15,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK01-1-1,,X,,KSSK01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,TR01,SAP-DUMMY,9999-12-31,1997-01-01,,,TR01,0001,W,SAP,,TRL,,,,,,1999-04-26,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR01-1,,X,,KSTR01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,TR01,SAP-DUMMY,9999-12-31,1997-01-01,,,TR01,0001,W,SAP,,TRL,,,,,,1999-04-26,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR01-1,,X,,KSTR01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,KR01,SAP-DUMMY,9999-12-31,1998-01-01,,,KR01,,W,SAP,,KRW,,,,,,1998-04-29,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KR01-1,,X,,KSKR01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,KR01,SAP-DUMMY,9999-12-31,1998-01-01,,,KR01,,W,SAP,,KRW,,,,,,1998-04-29,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KR01-1,,X,,KSKR01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,PL01,SAP-DUMMY,9999-12-31,1998-01-01,,,PL01,0001,W,SAP,,PLN,,,,,,1998-04-22,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL01-1-1,,X,,KSPL01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,PL01,SAP-DUMMY,9999-12-31,1998-01-01,,,PL01,0001,W,SAP,,PLN,,,,,,1998-04-22,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL01-1-1,,X,,KSPL01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,UA01,SAP-DUMMY,9999-12-31,1998-01-01,,,UA01,0001,W,SAP,,UAH,,,,,,1998-12-15,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UA01-1-1,,X,,KSUA01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,UA01,SAP-DUMMY,9999-12-31,1998-01-01,,,UA01,0001,W,SAP,,UAH,,,,,,1998-12-15,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UA01-1-1,,X,,KSUA01SAP-DUMMY,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
200,CYMB,PRODEU,9999-12-31,2015-01-01,,,EU01,EU01,F,TBD,,EUR,,,,,,2022-01-20,ANANTHARAMUL,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYMB_HIERA,,X,,KSCYMBPRODEU,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
250,CYMB,PRODEU,9999-12-31,2015-01-01,,,EU01,EU01,F,TBD,,EUR,,,,,,2022-01-28,SHOBHITSAURA,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYMB_HIERA,,X,,KSCYMBPRODEU,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
200,CYMB,PORD,9999-12-31,2015-01-01,,,USA1,USA1,F,TBD,,USD,,,,,,2022-01-12,MALVIYAH,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYMB_HIERA,,X,,KSCYMBPORD,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
250,CYMB,PROD,9999-12-31,2015-01-01,,,USA1,USA1,F,TBD,,USD,,,,,,2022-01-12,MALVIYAH,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYMB_HIERA,,X,,KSCYMBPROD,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000010100,9999-12-31,1998-01-01,,,CA01,0001,V,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,X,,KSCA010000010100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000010100,9999-12-31,1998-01-01,,,CA01,0001,V,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,X,,KSCA010000010100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000020100,9999-12-31,1998-01-01,,,CA01,0001,V,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,X,,KSCA010000020100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000020100,9999-12-31,1998-01-01,,,CA01,0001,V,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,X,,KSCA010000020100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000030100,9999-12-31,1998-01-01,,,CA01,0001,F,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,X,,KSCA010000030100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000030100,9999-12-31,1998-01-01,,,CA01,0001,F,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,X,,KSCA010000030100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000040100,9999-12-31,1998-01-01,,,CA01,0001,W,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,X,,KSCA010000040100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000040100,9999-12-31,1998-01-01,,,CA01,0001,W,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,X,,KSCA010000040100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000040200,9999-12-31,1998-01-01,,,CA01,0001,W,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,X,,KSCA010000040200,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000040200,9999-12-31,1998-01-01,,,CA01,0001,W,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,X,,KSCA010000040200,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000040300,9999-12-31,1998-01-01,,,CA01,0001,W,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,,X,,KSCA010000040300,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000040300,9999-12-31,1998-01-01,,,CA01,0001,W,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,,X,,KSCA010000040300,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
0,CA01,0000090100,9999-12-31,1998-01-01,,,CA01,0001,H,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,X,,KSCA010000090100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
1,CA01,0000090100,9999-12-31,1998-01-01,,,CA01,0001,H,tbn,,CAD,,,,,,1998-10-16,SAP,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,X,,KSCA010000090100,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:54.288537+00:00
50,0001,MAHI,9999-12-31,2022-03-09,,,0001,,F,shab,,USD,,,P0001-2,,,2022-03-10,MAHITHA,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,,X,,KS0001MAHI,,,,,,,,,,,,,,,,,I,False,2022-03-10 05:59:16.824729+00:00
50,0001,MAHI,9999-12-31,2022-03-09,,,0001,,F,shab,,USD,,,P0001-2,,,2022-03-10,MAHITHA,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,,X,,KS0001MAHI,,,,,,,,,,,,,,,,,U,False,2022-03-10 06:12:29.302824+00:00
50,0001,MAHI,9999-12-31,2022-03-09,,,0001,,F,shab,,USD,,,P0001-2,,,2022-03-10,MAHITHA,,X,X,,X,,X,XYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,,X,,KS0001MAHI,,,,,,,,,,,,,,,,,I,False,2022-03-17 18:12:53.858599+00:00
100,0001,MAHI,9999-12-31,2022-03-09,,,0001,,F,shab,,USD,,,P0001-2,,,2022-03-10,MAHITHA,,X,X,,X,,X,XYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,,X,,KS0001MAHI,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:44:41.317933+00:00
800,6650,0000001110,9999-12-31,2000-01-01,,,6650,9900,5,Abdullah,,SAR,,,0000009999,,,2011-05-02,SOLOMON,,X,,,X,,,Corporate,,,,,SA,,,,,,Riyadh,,,,,,,,,,,,,,,,6650,,X,,KS66500000001110,,,,,400.0,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,6650,0000002200,9999-12-31,2000-01-01,,,6650,9900,4,Taylor,,SAR,,,0000009999,,,2011-05-02,SOLOMON,,X,,,X,,,FI & Admin,,,,,SA,,,,,,Riyadh,Riyadh,,,,,,,,,,,,,,,6650,,X,,KS66500000002200,,,,,400.0,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,6720,0000006721,9999-12-31,1994-01-01,,,6720,9900,5,Mohammed,,QAR,,,0000009999,,,2014-07-10,C5162783,,X,,,X,,,Corporate,,,,,AE,,,,,,Abu Dhabi,,,,,,,,,,,,,,,,6720,,X,,KS67200000006721,,,,,400.0,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
