tabname,fieldname,as4local,as4vers,position,keyflag,mandatory,rollname,checktable,adminfield,inttype,intlen,reftable,precfield,reffield,conrout,notnull,datatype,leng,decimals,domname,shlporigin,tabletype,depth,comptype,reftype,languflag,dbposition,anonymous,outputstyle
BCA_MIG_CONT_ACC,CLEAR_ACCT,A,,4,,,BCA_DTE_DIM_CLEAR_ACCOUNT,,0,C,70,,,,,,CHAR,35,,BCA_DOM_DIM_CLEAR_ACCOUNT,,,,E,,,,,
WABEK_EMPF,NAME3,A,,6,,,NAME3_GP,,0,C,35,,,,,,CHAR,35,,NAME,,,,E,,,,,
SAPPLSEF_REQUEST_FOR_SUPPLI170,VALUE,A,,9,,,SAPPLSEF_BUSINESS_TRANSACTIO12,,0,C,70,,,,,,CHAR,35,,,,,2.0,E,,,,,
JKVZSADR,STRAS_MACO,A,,36,,,STRAS_ISPM,,0,C,70,,,,,,CHAR,35,,STRAS_MACO,,,,E,,,,,
SAPPLCO_GLACCTMSTR_RPLCTNCO_MS,CONTENT,A,,20,,,SAPPLCO_BUSINESS_DOCUMENT_MESS,,0,C,70,,,,,,CHAR,35,,,,,2.0,E,,,,,
RDM_BUSINESS_TRANSACTION_DOCU2,CONTENT,A,,5,,,RDM_BUSINESS_TRANSACTION_DOCU1,,0,C,70,,,,,,CHAR,35,,,,,,E,,,,,
DFKKEXC_CL,PAYID,A,,4,X,,PAYID_KK,,0,C,70,,,,,X,CHAR,35,,PAYID_KK,,,,E,,,,,
EDOC_IN_MAP_SOURCE,NAME4,A,,381,,,NAME4_GP,,1,C,70,,,,,,CHAR,35,,NAME,,,1.0,E,,,,,
MDG_BUSINESS_PARTNER_BASIC_DAT,CONTENT,A,,22,,,MDG_BUSINESS_DOCUMENT_MESSAGE,,0,C,35,,,,,,CHAR,35,,,,,3.0,E,,,,,
IOOPMST,FKT_RELMS,A,,136,,,MLST_FUNC2,,0,C,70,,,,,,CHAR,35,,TEXT35,,,,E,,,,,
SEA_WBK_DDIC_DETAIL_S,SCRTEXT_L,A,,10,,,SCRTEXT_L,,0,C,80,,,,,,CHAR,40,,SCRTEXT_L,,,,E,,,,,
TCM_CFIR_SUITEREQUEST,ADDITIONAL_NAME_PREFIX_NAME,A,,137,,,SAPPLCO_LANGUAGEINDEPENDENT_ME,,0,C,80,,,,,,CHAR,40,,,,,5.0,E,,,,,
APPLSEF_HZDSMATLBYELRP_HZMA_S,LABELLING_REQUIREMENT_NAME,A,,109,,,APPLSEF_LANGUINDEPEND_MED_NAME,,0,C,80,,,,,,CHAR,40,,,,,1.0,E,,,,,
HRRCFHIRE,FAMILY_NAME,A,,20,,,,,0,C,80,,,,,,CHAR,40,,,,,3.0,,,,,,
QPCPS_NODE_DATA_GEN,SHORTTEXT,A,,3,,,QKURZTEXT,,0,C,40,,,,,,CHAR,40,,QKURZTEXT,,,,E,,,,,
ISM_ADVSOICACITEMBNRPADDRESS,CONTENT,A,,118,,,ISM_MEDIUM_NAME_CONTENT,,0,C,80,,,,,,CHAR,40,,,,,2.0,E,,,,,
FSL_AB_INV_INFO_MESS,ADDITIONAL_NAME_PREFIX_NAME,A,,479,,,FSL_AB_LANGUINDEP_MED_NAME,,0,C,40,,,,,,CHAR,40,,,,,4.0,E,,,,,
WTY_PV_DYNPRO,ITMNO,A,,12,,,WTY_ITMNO,,2,C,40,,,,,,CHAR,40,,CHAR40,X,,,E,,,,,
FVD_LDISBMT_REQ_ERPLDISBMT_RE1,ADDITIONAL_CITY_NAME,A,,49,,,FVD_LANGUAGEINDEPENDENT_MEDIU5,,0,C,80,,,,,,CHAR,40,,,,,1.0,E,,,,,
PSHLP_CAUFVBT_ST,KTEXT,A,,60,,,AUFTEXT,,2,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
EMMA_CTXN_SUBSCR,ISPSREPID,A,,15,,,SYREPID,*,0,C,40,,,,,,CHAR,40,,PROGRAMM,,,,E,,,,,
SIDE_ADVICE,EXTENSION2,A,,429,,,AD_EXTENS2,,4,C,80,,,,,,CHAR,40,,TEXT40,,,2.0,E,,,,,
UCU_S_SVERSION_FIELD_DISP,TXTMI,A,,3,,,UC_TXTMI,,0,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
ISM_ADVSOUCADVVOUCCOPYTERMS,DISTRICT_NAME,A,,155,,,ISM_LANGUINDEPEND_MEDIUM_NAME,,0,C,80,,,,,,CHAR,40,,,,,3.0,E,,,,,
QCERT_TS_CHARACT_PDF,CHARACT_ID1,A,,33,,,QCHARACT_ID1,,1,C,80,,,,,,CHAR,40,,QCHARACT_ID,,,1.0,E,,,,,
PRU_LEGAL_PROPERTIES_002_PFR,MNAM22_PFR,A,,5,,,PAD_MIDNM,,0,C,80,,,,,,CHAR,40,,PAD_VORNM,,,,E,,,,,
CROSS,INCLUDE,A,,4,X,,SYREPID,*,0,C,80,,,,,X,CHAR,40,,PROGRAMM,,,,E,,,,,
RCF_S_SE_CAND_RESUME,CAND_FNAME,A,,4,,,BU_NAMEP_F,,1,C,80,,,,,,CHAR,40,,BU_NAME,,,,E,,,,,
PIQS_OUTPUT_EXTENSION,MAKTX,A,,3,,,MAKTX,,0,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
SAPPLCO_CFIR_SUITEREQ_STSUCL_T,ADDITIONAL_FAMILY_NAME,A,,22,,,SAPPLCO_LANGUAGEINDEPENDENT_ME,,0,C,80,,,,,,CHAR,40,,,,,2.0,E,,,,,
QLXI_QUALITY_INSPECTION_REQUES,MIDDLE_NAME,A,,115,,,QLXI_LANGUAGEINDEPENDENT_MEDIU,,0,C,40,,,,,,CHAR,40,,,,,1.0,E,,,,,
E1PADP2,KOMM,A,,26,,,,,0,C,40,,,,,,CHAR,40,,,,,,,,,,,
SAPPLCO_PSAIDR_ITMSHIPTOLOC,CONTENT,A,,102,,,SAPPLCO_MEDIUM_NAME_CONTENT,,0,C,80,,,,,,CHAR,40,,,,,3.0,E,,,,,
VRMSLA_USAGE,VALIDITY_AREA,A,,7,,,RMSLE_VALIDITY_AREA,,1,C,40,,,,,,CHAR,40,,RMSLD_OBJID,D,,,E,,,,,
J_5KMH_INV3,TOT_QNTY_W,A,,20,,,J_5KMH_TOTQNTYW,,0,C,80,,,,,,CHAR,40,,TEXT40,,,1.0,E,,,,,
SAPPLCO_PUR_ORD_ERPREPLNMT_O24,NICK_NAME,A,,1015,,,SAPPLCO_LANGUAGEINDEPENDENT_ME,,0,C,80,,,,,,CHAR,40,,,,,4.0,E,,,,,
BSS_BANKD,BANK_ACC,A,,11,,,GB_BANKACC,,1,C,40,,,,,,CHAR,40,,CHARACT_40,,,,E,,,,,
BBP_ERP_ADRC,HOME_CITY,A,,17,,,AD_CITY3,,0,C,40,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
RCOMP_STEER_UI,ICON_TEXT,A,,92,,,GUI_ICTEXT,,0,C,80,,,,,,CHAR,40,,GUI_TEXT,,,3.0,E,,,,,
ISM_ADVSOICACIASADVPARADDRESS,ACADEMIC_TITLE_NAME,A,,43,,,ISM_LANGUINDEPEND_MEDIUM_NAME,,0,C,80,,,,,,CHAR,40,,,,,1.0,E,,,,,
VIMRG,MDTXT,A,,9,,,IMRC_MDTXT,,1,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
P_MD_BPC_DATA,LASTNAME,A,,5,,,BU_NAMEP_L,,0,C,80,,,,,,CHAR,40,,BU_NAME,,,,E,,,,,
ISMSD_PDF_SETTL_CARR_GROUP,NAME_FIRST,A,,82,,,BU_NAMEP_F,,3,C,80,,,,,,CHAR,40,,BU_NAME,,,2.0,E,,,,,
EPM_PURCHASE_ORDER_CONFIRMATIO,CONTENT,A,,1558,,,EPM_MEDIUM_NAME_CONTENT,,0,C,40,,,,,,CHAR,40,,,,,6.0,E,,,,,
AXT_BOL_WD_CONFIG_UI,RELATION_NAME,A,,5,,,CRMT_RELATION_NAME,,0,C,40,,,,,,CHAR,40,,CRM_RELATION_NAME,,,,E,,,,,
E1BP1080_BGR_C,BOM_TEXT,A,,11,,,,,0,C,40,,,,,,CHAR,40,,,,,,,,,,,
J_2GLPPSDNM,NAME_COBP3,A,,343,,,AD_NAME_CO,,4,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
EPM_PURCHASE_ORDER_RESPONSE_ST,NAME_SUPPLEMENT_NAME,A,,2788,,,EPM_LANGUAGEINDEPENDENT_MEDIUM,,0,C,40,,,,,,CHAR,40,,,,,5.0,E,,,,,
SXIVERI_TRADING_PARTNERS,PARTNER_IDVENDOR,A,,40,,,,,0,C,40,,,,,,CHAR,40,,,,,2.0,,,,,,
OIU_S_MP_MASS_UPLOAD_CHAR,UOM_GRP,A,,6,,,CHAR40,,0,C,80,,,,,,CHAR,40,,CHAR40,,,,E,,,,,
EPM_PURCHASE_ORDER_ITEM,ADDITIONAL_CITY_NAME,A,,3072,,,EPM_LANGUAGEINDEPENDENT_MEDIUM,,0,C,40,,,,,,CHAR,40,,,,,4.0,E,,,,,
DODP_ASSOCN_CTXT,DOCM_PROG_INCLUDE,A,,12,,,DOCDL_CHANGED_PROG_INCLUDE,,1,C,80,,,,,,CHAR,40,,,,,,E,,,,,
PIQCDSSTUDDATA,STUDENTMIDDLENAME,A,,7,X,,PAD_MIDNM,,0,C,80,,,,,,CHAR,40,,PAD_VORNM,,,,E,,,,,
