mandt,ebeln,bukrs,bstyp,bsart,bsakz,loekz,statu,aedat,ernam,pincr,lponr,lifnr,spras,zterm,zbd1t,zbd2t,zbd3t,zbd1p,zbd2p,ekorg,ekgrp,waers,wkurs,kufix,bedat,kdatb,kdate,bwbdt,angdt,bnddt,gwldt,ausnr,angnr,ihran,ihrez,verkf,telf1,llief,kunnr,konnr,abgru,autlf,weakt,reswk,lblif,inco1,inco2,ktwrt,submi,knumv,kalsm,stafo,lifre,exnum,unsez,logsy,upinc,stako,frggr,frgsx,frgke,frgzu,frgrl,lands,lphis,adrnr,stceg_l,stceg,absgr,addnr,kornr,memory,procstat,rlwrt,revno,scmproc,reason_code,memorytype,rettp,retpc,dptyp,dppct,dpamt,dpdat,msr_id,hierarchy_exists,threshold_exists,legal_contract,description,release_date,vsart,handoverloc,shipcond,incov,inco2_l,inco3_l,externalsystem,externalreferenceid,ext_rev_tmstmp,force_id,force_cnt,reloc_id,reloc_seq_id,source_logsys,fsh_transaction,fsh_item_group,fsh_vas_last_item,fsh_os_stg_change,vzskz,fsh_snst_status,pohf_type,eq_eindt,eq_werks,fixpo,ekgrp_allow,werks_allow,contract_allow,pstyp_allow,fixpo_allow,key_id_allow,aurel_allow,delper_allow,eindt_allow,ltsnr_allow,otb_level,otb_cond_type,key_id,otb_value,otb_curr,otb_res_value,otb_spec_value,spr_rsn_profile,budg_type,otb_status,otb_reason,check_type,con_otb_req,con_prebook_lev,con_distr_lev,operation_flag,is_deleted,recordstamp
50,4500000003,C001,F,NB,,,9,2022-01-23,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000003,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
50,4500000004,C001,F,NB,,,9,2022-01-23,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000004,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
50,4500000005,C001,F,NB,,,9,2022-01-24,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,1000000005,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
50,4500000015,C001,F,NB,,,9,2022-02-02,SATISHE,10,10,US02,E,,,,,,,P001,P01,USD,1.0,,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,1000000026,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 07:11:57.636328+00:00
50,4500000016,C001,F,NB,,,9,2022-02-02,SATISHE,10,10,US02,E,,,,,,,P001,P01,USD,1.0,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,1000000027,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 11:14:26.353921+00:00
50,4500000017,C001,F,NB,,,9,2022-02-02,SATISHE,10,10,US02,E,,,,,,,P001,P01,USD,1.0,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,1000000028,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 11:44:19.673649+00:00
50,4500000018,C001,F,NB,,,9,2022-02-24,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000040,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-24 02:50:19.590346+00:00
50,4500000024,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000046,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 14:29:13.374109+00:00
50,4500000025,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000047,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 15:13:26.831469+00:00
50,4500000021,C001,F,NB,,,9,2022-03-18,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000043,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 13:25:06.292989+00:00
50,4500000022,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000044,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 13:36:54.931769+00:00
50,4500000023,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000045,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 14:11:46.929689+00:00
50,4500000026,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000048,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 17:00:43.314972+00:00
50,4500000020,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000042,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 12:12:49.192681+00:00
50,4500000019,C001,F,NB,,,9,2022-03-15,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,1000000041,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-17 18:12:54.834619+00:00
50,4500000027,C001,F,NB,,,9,2022-03-19,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000049,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:05:13.004383+00:00
50,4500000028,C001,F,NB,,,9,2022-03-19,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000050,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:27:55.554979+00:00
50,4500000029,C001,F,NB,,,9,2022-03-19,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000051,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:35:16.935623+00:00
50,4500000030,C001,F,NB,,,9,2022-04-13,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,1000000052,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 05:49:05.639934+00:00
50,4500000031,C001,F,NB,,,9,2022-04-13,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,1000000053,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 06:10:46.007841+00:00
50,4500000032,C001,F,NB,,,9,2022-04-13,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,1000000054,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 06:25:12.933260+00:00
100,4500000000,C001,F,NB,,,9,2022-01-17,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000001,C001,F,NB,,,9,2022-01-17,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,1000000001,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000002,C001,F,NB,,,9,2022-01-23,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000002,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000003,C001,F,NB,,,9,2022-01-23,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000003,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000004,C001,F,NB,,,9,2022-01-23,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000004,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000005,C001,F,NB,,,9,2022-01-24,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,1000000005,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000015,C001,F,NB,,,9,2022-02-02,SATISHE,10,10,US02,E,,,,,,,P001,P01,USD,1.0,,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,1000000026,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000016,C001,F,NB,,,9,2022-02-02,SATISHE,10,10,US02,E,,,,,,,P001,P01,USD,1.0,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,1000000027,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000017,C001,F,NB,,,9,2022-02-02,SATISHE,10,10,US02,E,,,,,,,P001,P01,USD,1.0,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,1000000028,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000018,C001,F,NB,,,9,2022-02-24,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000040,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000019,C001,F,NB,,,9,2022-03-15,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,1000000041,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000020,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000042,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000021,C001,F,NB,,,9,2022-03-18,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000043,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000022,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000044,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000023,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000045,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000024,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000046,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000025,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000047,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000026,C001,F,NB,,,9,2022-03-18,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000048,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000027,C001,F,NB,,,9,2022-03-19,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000049,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000028,C001,F,NB,,,9,2022-03-19,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000050,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000029,C001,F,NB,,,9,2022-03-19,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,1000000051,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000030,C001,F,NB,,,9,2022-04-13,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,1000000052,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
100,4500000031,C001,F,NB,,,9,2022-04-13,ARAMPRAKASH,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,1000000053,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:56.244858+00:00
