mandt,ebeln,ebelp,etens,ebtyp,eindt,lpein,uzeit,erdat,ezeit,menge,dabmg,estkz,loekz,kzdis,xblnr,vbeln,vbelp,mprof,ematn,mahnz,charg,uecha,ref_etens,imwrk,vbeln_st,vbelp_st,handoverdate,handovertime,sgt_scat,fsh_salloc_qty,operation_flag,is_deleted,recordstamp
250,4500000023,10,1,LA,2022-01-31,1.0,,2022-01-25,12:54:26,1.0,1.0,2.0,,X,,180000015.0,10.0,,TEST F_SUB,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000021,10,1,LA,2020-01-05,1.0,,2022-01-25,09:03:25,10.0,10.0,2.0,,X,,180000013.0,10.0,,TEST M1,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000026,10,1,LA,2022-01-27,1.0,,2022-01-27,12:53:43,10.0,10.0,2.0,,X,,180000016.0,10.0,,TEST ROH,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000032,10,1,LA,2022-02-08,1.0,,2022-02-01,13:26:00,5.0,,2.0,,X,,180000017.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-01 13:26:55.878048+00:00
250,4500000038,10,1,LA,2022-02-02,1.0,,2022-02-02,09:00:24,100.0,,2.0,,X,,180000018.0,10.0,,1028118297C,,,,,,,,,,,,I,False,2022-02-02 09:01:02.084758+00:00
250,4500000050,10,2,LA,2022-02-02,1.0,,2022-02-03,06:55:30,1.0,,2.0,,X,,180000024.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 06:55:41.329112+00:00
250,4500000050,10,3,LA,2022-02-02,1.0,,2022-02-03,06:56:43,1.0,,2.0,,X,,180000025.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 06:56:50.199521+00:00
250,4500000050,10,4,LA,2022-02-02,1.0,,2022-02-03,06:57:50,1.0,,2.0,,X,,180000026.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 06:57:57.005600+00:00
250,4500000051,10,1,LA,2022-02-10,1.0,,2022-02-03,06:27:34,5.0,,2.0,,X,,180000022.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 06:27:58.557097+00:00
250,4500000052,10,1,LA,2022-02-10,1.0,,2022-02-03,07:26:53,30.0,,2.0,,X,,180000027.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 07:26:56.693387+00:00
250,4500000052,10,2,LA,2022-02-10,1.0,,2022-02-03,07:29:02,,,2.0,,X,,180000028.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 07:29:06.330672+00:00
250,4500000054,10,1,LA,2022-02-02,1.0,,2022-02-03,07:39:05,3.0,,2.0,,X,,180000029.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 07:39:16.865546+00:00
250,4500000054,10,2,LA,2022-02-02,1.0,,2022-02-03,07:45:27,2.0,,2.0,,X,,180000031.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 07:45:36.368443+00:00
250,4500000054,10,3,LA,2022-02-02,1.0,,2022-02-03,07:52:18,5.0,,2.0,,X,,180000032.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 07:52:29.421116+00:00
250,4500000054,10,4,LA,2022-02-03,1.0,,2022-02-03,09:09:11,1.0,,2.0,,X,,180000038.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 09:09:20.260849+00:00
250,4500000061,10,1,LA,2022-02-03,1.0,,2022-02-03,09:32:51,2.0,,2.0,,X,,180000039.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 09:33:01.555246+00:00
250,4500000061,10,2,LA,2022-02-03,1.0,,2022-02-03,10:06:32,2.0,,2.0,,X,,180000040.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 10:06:55.250651+00:00
250,4500000064,10,1,LA,2022-02-08,1.0,,2022-02-03,13:07:28,6.0,,2.0,,X,,180000042.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 13:07:29.599117+00:00
250,4500000065,10,1,LA,2022-02-09,1.0,,2022-02-03,13:07:28,4.0,,2.0,,X,,180000043.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 13:07:29.599117+00:00
250,4500000066,10,1,LA,2022-02-09,1.0,,2022-02-03,13:07:28,5.0,,2.0,,X,,180000044.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 13:07:29.599117+00:00
250,4500000062,10,1,LA,2022-02-10,1.0,,2022-02-03,10:39:51,5.0,,2.0,,X,,180000041.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 10:39:54.681072+00:00
250,4500000047,10,1,LA,2022-02-02,1.0,,2022-02-03,06:13:48,10.0,,2.0,,X,,180000020.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 06:14:15.230955+00:00
250,4500000048,10,1,LA,2022-02-02,1.0,,2022-02-03,06:13:48,10.0,,2.0,,X,,180000021.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 06:14:15.230955+00:00
250,4500000050,10,1,LA,2022-02-10,1.0,,2022-02-03,06:11:16,10.0,,2.0,,X,,180000019.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 06:11:27.418312+00:00
250,4500000053,10,1,LA,2022-02-02,1.0,,2022-02-03,06:47:16,10.0,,2.0,,X,,180000023.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-03 06:47:27.764459+00:00
250,4500000055,10,1,LA,2022-02-10,1.0,,2022-02-03,07:41:15,10.0,,2.0,,X,,180000030.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 07:41:19.512118+00:00
250,4500000056,10,1,LA,2022-02-10,1.0,,2022-02-03,07:54:02,10.0,,2.0,,X,,180000033.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 07:54:07.301885+00:00
250,4500000057,10,1,LA,2022-02-10,1.0,,2022-02-03,08:03:35,10.0,,2.0,,X,,180000034.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 08:03:38.983609+00:00
250,4500000060,10,1,LA,2022-02-03,1.0,,2022-02-03,08:27:31,10.0,,2.0,,X,,180000037.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 08:27:38.205455+00:00
250,4500000058,10,1,LA,2022-02-10,1.0,,2022-02-03,08:15:22,10.0,,2.0,,X,,180000035.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 08:15:36.504414+00:00
250,4500000059,10,1,LA,2022-02-10,1.0,,2022-02-03,08:25:53,10.0,,2.0,,X,,180000036.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-03 08:25:56.310534+00:00
250,4500000054,10,1,LA,2022-02-02,1.0,,2022-02-03,07:39:05,3.0,3.0,2.0,,X,,180000029.0,10.0,,TEST,,,,,,,,,,,,U,False,2022-02-03 07:39:44.521787+00:00
250,4500000054,10,2,LA,2022-02-02,1.0,,2022-02-03,07:45:27,2.0,2.0,2.0,,X,,180000031.0,10.0,,TEST,,,,,,,,,,,,U,False,2022-02-03 07:46:07.923455+00:00
250,4500000054,10,3,LA,2022-02-02,1.0,,2022-02-03,07:52:18,5.0,5.0,2.0,,X,,180000032.0,10.0,,TEST,,,,,,,,,,,,U,False,2022-02-03 07:53:00.127659+00:00
250,4500000054,10,4,LA,2022-02-03,1.0,,2022-02-03,09:09:11,1.0,1.0,2.0,,X,,180000038.0,10.0,,TEST,,,,,,,,,,,,U,False,2022-02-03 09:09:52.880069+00:00
250,4500000061,10,1,LA,2022-02-03,1.0,,2022-02-03,09:32:51,2.0,1.0,2.0,,X,,180000039.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 09:50:18.239097+00:00
250,4500000061,10,1,LA,2022-02-03,1.0,,2022-02-03,09:32:51,2.0,2.0,2.0,,X,,180000039.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 10:03:01.470028+00:00
250,4500000061,10,2,LA,2022-02-03,1.0,,2022-02-03,10:06:32,2.0,2.0,2.0,,X,,180000040.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 10:08:10.943589+00:00
250,4500000064,10,1,LA,2022-02-08,1.0,,2022-02-03,13:07:28,6.0,6.0,2.0,,X,,180000042.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 13:17:25.845953+00:00
250,4500000065,10,1,LA,2022-02-09,1.0,,2022-02-03,13:07:28,4.0,4.0,2.0,,X,,180000043.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 13:17:35.923236+00:00
250,4500000066,10,1,LA,2022-02-09,1.0,,2022-02-03,13:07:28,5.0,5.0,2.0,,X,,180000044.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 13:23:39.057765+00:00
250,4500000053,10,1,LA,2022-02-02,1.0,,2022-02-03,06:47:16,10.0,10.0,2.0,,X,,180000023.0,10.0,,TEST,,,,,,,,,,,,U,False,2022-02-03 07:01:25.353836+00:00
250,4500000055,10,1,LA,2022-02-10,1.0,,2022-02-03,07:41:15,10.0,10.0,2.0,,X,,180000030.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 07:51:15.477147+00:00
250,4500000056,10,1,LA,2022-02-10,1.0,,2022-02-03,07:54:02,10.0,10.0,2.0,,X,,180000033.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 07:55:23.482728+00:00
250,4500000057,10,1,LA,2022-02-10,1.0,,2022-02-03,08:03:35,10.0,10.0,2.0,,X,,180000034.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 08:11:42.071061+00:00
250,4500000058,10,1,LA,2022-02-10,1.0,,2022-02-03,08:15:22,10.0,10.0,2.0,,X,,180000035.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 08:17:27.503702+00:00
250,4500000059,10,1,LA,2022-02-10,1.0,,2022-02-03,08:25:53,10.0,10.0,2.0,,X,,180000036.0,10.0,,TEST M1,,,,,,,,,,,,U,False,2022-02-03 08:28:03.663982+00:00
250,4500000020,10,2,LA,2022-02-03,1.0,,2022-02-04,06:00:31,,,2.0,,X,,180000048.0,10.0,,TEST CPG,,,,,,,,,,,,I,False,2022-02-04 06:00:41.268342+00:00
250,4500000000,10,2,LA,2022-01-19,1.0,,2022-02-04,07:52:15,1.0,,2.0,,X,,180000664.0,10.0,,TEST CPG1,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000001,10,2,LA,2022-01-20,1.0,,2022-02-04,07:52:15,1.0,,2.0,,X,,180000665.0,10.0,,TEST ROH,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000002,10,2,LA,2022-01-24,1.0,,2022-02-04,07:52:18,2.0,,2.0,,X,,180000684.0,10.0,,TEST CPG1,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000020,10,3,LA,2021-01-30,1.0,,2022-02-04,07:52:12,1.0,,2.0,,X,,180000646.0,10.0,,TEST CPG,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000010,10,3,LA,2022-01-31,1.0,,2022-02-04,07:52:26,6.0,,2.0,,X,,180000737.0,10.0,,TEST CPG,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000022,10,2,LA,2022-02-04,1.0,,2022-02-04,07:52:27,1.0,,2.0,,X,,180000744.0,10.0,,TEST F1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000023,10,2,LA,2022-02-04,1.0,,2022-02-04,07:52:27,1.0,,2.0,,X,,180000745.0,10.0,,TEST F_SUB,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000029,10,1,LA,2022-02-04,1.0,,2022-02-04,07:52:27,5.0,,2.0,,X,,180000746.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000033,10,1,LA,2022-01-31,1.0,,2022-02-04,07:52:26,100.0,,2.0,,X,,180000738.0,10.0,,1028118297C,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000038,10,2,LA,2022-01-31,1.0,,2022-02-04,07:52:26,100.0,,2.0,,X,,180000739.0,10.0,,1028118297C,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000049,10,1,LA,2022-02-09,1.0,,2022-02-04,07:52:28,1.0,,2.0,,X,,180000748.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000052,10,3,LA,2022-02-09,1.0,,2022-02-04,07:52:28,30.0,,2.0,,X,,180000750.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000054,10,5,LA,2022-02-09,1.0,,2022-02-04,07:52:28,30.0,,2.0,,X,,180000752.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000066,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:31,20.0,,2.0,,X,,180000767.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000041,10,1,LA,2022-03-16,1.0,,2022-02-04,07:52:57,40.0,,2.0,,X,,180000940.0,10.0,,TEST F_SUB,,,,,,,,,,,,I,False,2022-02-04 07:53:08.236211+00:00
250,4500000043,10,1,LA,2022-03-05,1.0,,2022-02-04,07:52:56,20.0,,2.0,,X,,180000939.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:53:08.236211+00:00
250,4500000045,10,1,LA,2022-03-21,1.0,,2022-02-04,07:52:57,40.0,,2.0,,X,,180000942.0,10.0,,TEST F1,,,,,,,,,,,,I,False,2022-02-04 07:53:08.236211+00:00
250,4500000063,10,1,LA,2022-03-16,1.0,,2022-02-04,07:52:57,40.0,,2.0,,X,,180000941.0,10.0,,TEST F_SUB,,,,,,,,,,,,I,False,2022-02-04 07:53:08.236211+00:00
250,4500000003,10,2,LA,2022-01-21,1.0,,2022-02-04,07:52:17,10.0,,2.0,,X,,180000683.0,10.0,,TEST ROH EU,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000008,10,2,LA,2021-01-22,1.0,,2022-02-04,07:52:11,10.0,,2.0,,X,,180000644.0,10.0,,TEST CPG,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000009,10,2,LA,2021-01-22,1.0,,2022-02-04,07:52:12,10.0,,2.0,,X,,180000645.0,10.0,,TEST CPG,,,,,,,,,,,,I,False,2022-02-04 07:52:18.554954+00:00
250,4500000007,10,3,LA,2022-01-31,1.0,,2022-02-04,07:52:26,10.0,,2.0,,X,,180000736.0,10.0,,TEST CPG,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000016,10,2,LA,2022-02-03,1.0,,2022-02-04,07:52:27,10.0,,2.0,,X,,180000741.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000017,10,2,LA,2022-02-03,1.0,,2022-02-04,07:52:27,10.0,,2.0,,X,,180000742.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000021,10,2,LA,2022-02-04,1.0,,2022-02-04,07:52:27,10.0,,2.0,,X,,180000743.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000026,10,2,LA,2022-02-01,1.0,,2022-02-04,07:52:27,10.0,,2.0,,X,,180000740.0,10.0,,TEST ROH,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000028,10,1,LA,2022-02-07,1.0,,2022-02-04,07:52:28,10.0,,2.0,,X,,180000747.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000032,10,2,LA,2022-02-11,1.0,,2022-02-04,07:52:29,10.0,,2.0,,X,,180000754.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000047,10,2,LA,2022-02-21,1.0,,2022-02-04,07:52:41,10.0,,2.0,,X,,180000836.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000048,10,2,LA,2022-02-13,1.0,,2022-02-04,07:52:29,10.0,,2.0,,X,,180000755.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000050,10,5,LA,2022-02-14,1.0,,2022-02-04,07:52:29,10.0,,2.0,,X,,180000756.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000051,10,2,LA,2022-02-09,1.0,,2022-02-04,07:52:28,10.0,,2.0,,X,,180000749.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000053,10,2,LA,2022-02-09,1.0,,2022-02-04,07:52:28,10.0,,2.0,,X,,180000751.0,10.0,,TEST,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000055,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:29,10.0,,2.0,,X,,180000757.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000056,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:29,10.0,,2.0,,X,,180000758.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000057,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000759.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000058,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000760.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000059,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000761.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000060,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000762.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000061,10,3,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000763.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000062,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000764.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000064,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:30,10.0,,2.0,,X,,180000765.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000065,10,2,LA,2022-02-14,1.0,,2022-02-04,07:52:31,10.0,,2.0,,X,,180000766.0,10.0,,TEST M1,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000034,10,1,LA,2022-02-10,1.0,,2022-02-04,07:52:29,50.0,,2.0,,X,,180000753.0,10.0,,TEST F_SUB,,,,,,,,,,,,I,False,2022-02-04 07:52:42.757287+00:00
250,4500000067,10,1,LA,2019-01-15,1.0,,2022-02-04,05:57:43,50.0,,2.0,,X,,180000045.0,10.0,,000000006666666666,,,,,,,,,,,,I,False,2022-02-04 05:57:44.523610+00:00
250,4500000068,10,1,LA,2019-01-15,1.0,,2022-02-04,05:57:44,50.0,,2.0,,X,,180000046.0,10.0,,000000006666666667,,,,,,,,,,,,I,False,2022-02-04 05:57:44.523610+00:00
250,4500000069,10,1,LA,2019-01-15,1.0,,2022-02-04,05:57:44,50.0,,2.0,,X,,180000047.0,10.0,,000000006666666668,,,,,,,,,,,,I,False,2022-02-04 05:57:44.523610+00:00
250,4500000725,10,1,LA,2019-01-15,1.0,,2022-02-04,07:50:41,50.0,,2.0,,X,,180000049.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:50:42.641307+00:00
250,4500000745,10,1,LA,2019-01-20,1.0,,2022-02-04,07:50:45,50.0,,2.0,,X,,180000072.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:50:45.546059+00:00
250,4500000703,10,1,LA,2019-01-25,1.0,,2022-02-04,07:50:47,50.0,,2.0,,X,,180000083.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:50:47.160680+00:00
250,4500000579,10,1,LA,2019-02-27,1.0,,2022-02-04,07:51:03,50.0,,2.0,,X,,180000195.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:06.933859+00:00
250,4500000593,10,1,LA,2019-02-28,1.0,,2022-02-04,07:51:04,50.0,,2.0,,X,,180000202.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:06.933859+00:00
250,4500000615,10,1,LA,2019-02-25,1.0,,2022-02-04,07:51:00,50.0,,2.0,,X,,180000169.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:06.933859+00:00
250,4500000723,10,1,LA,2019-01-27,1.0,,2022-02-04,07:50:49,50.0,,2.0,,X,,180000100.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:06.933859+00:00
250,4500000783,10,1,LA,2019-02-20,1.0,,2022-02-04,07:50:59,50.0,,2.0,,X,,180000164.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:06.933859+00:00
250,4500000805,10,1,LA,2019-01-29,1.0,,2022-02-04,07:50:52,50.0,,2.0,,X,,180000121.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:06.933859+00:00
250,4500000675,10,1,LA,2019-03-15,1.0,,2022-02-04,07:51:07,50.0,,2.0,,X,,180000219.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:07.679694+00:00
250,4500000633,10,1,LA,2019-03-20,1.0,,2022-02-04,07:51:10,50.0,,2.0,,X,,180000236.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:10.203423+00:00
250,4500000653,10,1,LA,2019-03-25,1.0,,2022-02-04,07:51:12,50.0,,2.0,,X,,180000253.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:12.842545+00:00
250,4500000943,10,1,LA,2019-03-28,1.0,,2022-02-04,07:51:17,50.0,,2.0,,X,,180000287.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:29.121426+00:00
250,4500000963,10,1,LA,2019-04-15,1.0,,2022-02-04,07:51:20,50.0,,2.0,,X,,180000304.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:29.121426+00:00
250,4500000985,10,1,LA,2019-03-27,1.0,,2022-02-04,07:51:15,50.0,,2.0,,X,,180000270.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:29.121426+00:00
250,4500001045,10,1,LA,2019-04-20,1.0,,2022-02-04,07:51:23,50.0,,2.0,,X,,180000321.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:29.121426+00:00
250,4500001065,10,1,LA,2019-04-25,1.0,,2022-02-04,07:51:27,50.0,,2.0,,X,,180000353.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:29.121426+00:00
250,4500001023,10,1,LA,2019-04-27,1.0,,2022-02-04,07:51:28,50.0,,2.0,,X,,180000359.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:29.121426+00:00
250,4500000855,10,1,LA,2019-04-28,1.0,,2022-02-04,07:51:30,50.0,,2.0,,X,,180000372.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:30.848263+00:00
250,4500000465,10,1,LA,2019-06-15,1.0,,2022-02-04,07:51:46,50.0,,2.0,,X,,180000474.0,10.0,,000000006666666669,,,,,,,,,,,,I,False,2022-02-04 07:51:53.126336+00:00
