mandt,spras,mtart,mtbez,operation_flag,is_deleted,recordstamp
800,1,HIBE,经营供应,L,False,2021-08-06 04:10:50.356760+00:00
800,1,LEIH,可反复利用的包装,L,False,2021-08-06 04:10:50.356760+00:00
800,1,SEMI,半成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZIEN,LSP 服务,L,False,2021-08-06 04:10:50.356760+00:00
800,1,1000,内部生产,L,False,2021-08-06 04:10:50.356760+00:00
800,1,PLM,PLM 最小物料类型,L,False,2021-08-06 04:10:50.356760+00:00
800,1,VOLL,全部产品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ABF,废料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,KMAT,可配置的商品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,YCON,可配置物料MPW,L,False,2021-08-06 04:10:50.356760+00:00
800,1,AEM,样品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,DOCU,凭证批次,L,False,2021-08-06 04:10:50.356760+00:00
800,1,CH00,CH 合同操作,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ROH,原材料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,VKHM,附加品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZPCT,临床试验品（虚拟物料）,L,False,2021-08-06 04:10:50.356760+00:00
800,1,FRIP,生鲜,L,False,2021-08-06 04:10:50.356760+00:00
800,1,CONT,看板容器,L,False,2021-08-06 04:10:50.356760+00:00
800,1,HAWA,贸易货物,L,False,2021-08-06 04:10:50.356760+00:00
800,1,FOOD,食品(生鲜除外),L,False,2021-08-06 04:10:50.356760+00:00
800,1,200,半成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,BLGA,BLGA 空 固定资产,L,False,2021-08-06 04:10:50.356760+00:00
800,1,100,已采购的物料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,VERP,包装材料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,WETT,竞争产品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,FGTR,饮料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,XLMT,服务,L,False,2021-08-06 04:10:50.356760+00:00
800,1,PIPE,管线商品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,CONU,无增值的容器,L,False,2021-08-06 04:10:50.356760+00:00
800,1,LEER,空,L,False,2021-08-06 04:10:50.356760+00:00
800,1,HALB,半成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,MODE,衣物(季节性的),L,False,2021-08-06 04:10:50.356760+00:00
800,1,INTR,内部商品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,UNBW,未估价的商品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZHT1,成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZMDG,成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZHTI,成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,FERT,成品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZTTP,成品,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ABF,ของเสีย,L,False,2021-08-06 04:10:50.356760+00:00
800,2,CONT,คอนเทนเนอร์ KANBAN,L,False,2021-08-06 04:10:50.356760+00:00
800,2,VOLL,ผลิตภัณฑ์เต็มรูปแบบ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,LGUT,บรรจุภัณฑ์ต้องคืน(ค้าปลีก,L,False,2021-08-06 04:10:50.356760+00:00
800,2,PROC,วัสดุจากกระบวนการ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,WETT,ผลิตภัณฑ์ของคู่แข่ง,L,False,2021-08-06 04:10:50.356760+00:00
800,2,COUP,คูปอง,L,False,2021-08-06 04:10:50.356760+00:00
800,2,WERB,แคตตาล็อกผลิตภัณฑ์,L,False,2021-08-06 04:10:50.356760+00:00
800,2,CBAU,หน่วยที่ใช้แทนกันได้,L,False,2021-08-06 04:10:50.356760+00:00
800,2,FOOD,อาหาร(ไม่รวมส/คเน่าเสีย),L,False,2021-08-06 04:10:50.356760+00:00
800,2,FHMI,ทรัพยากร/เครื่องมือผลิต,L,False,2021-08-06 04:10:50.356760+00:00
800,2,FRIP,สินค้าที่เน่าเสียได้,L,False,2021-08-06 04:10:50.356760+00:00
800,2,PROD,กลุ่มผลิตภัณฑ์,L,False,2021-08-06 04:10:50.356760+00:00
800,2,MPO,ออบเจคการวางแผนวัสดุ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZPKG,บรรจุภัณฑ์,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ROH,วัตถุดิบ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,WERT,วัสดุที่มีมูลค่าเท่านั้น,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZHTI,ผลิตภัณฑ์สำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZMDG,ผลิตภัณฑ์สำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,INTR,วัสดุชั่วคราวของกระบวนการ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,HIBE,วัสดุสิ้นเปลือง,L,False,2021-08-06 04:10:50.356760+00:00
800,2,VERP,บรรจุภัณฑ์,L,False,2021-08-06 04:10:50.356760+00:00
800,2,CONU,คอนเทนเนอร์ KANBAN,L,False,2021-08-06 04:10:50.356760+00:00
800,2,DOCU,ผลิตภัณฑ์กึ่งสำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZIEN,การบริการ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,FERT,ผลิตภัณฑ์สำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,PIPE,วัสดุที่ส่งทางท่อ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,LEIH,บรรจุภัณฑ์ต้องคืน,L,False,2021-08-06 04:10:50.356760+00:00
800,2,HALB,ผลิตภัณฑ์กึ่งสำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,UNBW,วัสดุที่ไม่ตีราคา,L,False,2021-08-06 04:10:50.356760+00:00
800,2,HERS,ชิ้นส่วนเพื่อทำการผลิต,L,False,2021-08-06 04:10:50.356760+00:00
800,2,LEER,บรรจุภัณฑ์ต้องคืน,L,False,2021-08-06 04:10:50.356760+00:00
800,2,KMAT,วัสดุกำหนดรูปแบบได้,L,False,2021-08-06 04:10:50.356760+00:00
800,2,EPA,แพคเกจอุปกรณ์,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZTTP,ผลิตภัณฑ์สำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZHT1,ผลิตภัณฑ์สำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,CH00,CH การจัดการสัญญา,L,False,2021-08-06 04:10:50.356760+00:00
800,2,NLAG,วัสดุที่ไม่เก็บสต็อค,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ZPCT,ผลิตภัณฑ์สำเร็จรูป,L,False,2021-08-06 04:10:50.356760+00:00
800,2,FGTR,เครื่องดื่ม,L,False,2021-08-06 04:10:50.356760+00:00
800,2,NOF1,ไม่ใช่อาหาร,L,False,2021-08-06 04:10:50.356760+00:00
800,2,IBAU,แอสเซมบลีการบำรุงรักษา,L,False,2021-08-06 04:10:50.356760+00:00
800,2,MODE,เครื่องแต่งกาย(ตามฤดูกาล),L,False,2021-08-06 04:10:50.356760+00:00
800,2,DIEN,การบริการ,L,False,2021-08-06 04:10:50.356760+00:00
800,2,ERSA,อะไหล่,L,False,2021-08-06 04:10:50.356760+00:00
800,2,PLAN,สินค้าเพื่อขาย (ตามแผน),L,False,2021-08-06 04:10:50.356760+00:00
800,2,HAWA,สินค้าเพื่อขาย,L,False,2021-08-06 04:10:50.356760+00:00
800,2,VKHM,เพิ่มเติม,L,False,2021-08-06 04:10:50.356760+00:00
800,3,HAWA,교역품,L,False,2021-08-06 04:10:50.356760+00:00
800,3,VOLL,전체제품,L,False,2021-08-06 04:10:50.356760+00:00
800,3,DOCU,반제품,L,False,2021-08-06 04:10:50.356760+00:00
800,3,ERSA,예비부품,L,False,2021-08-06 04:10:50.356760+00:00
800,3,IBAU,유지보수조립품,L,False,2021-08-06 04:10:50.356760+00:00
800,3,LEER,빈용기,L,False,2021-08-06 04:10:50.356760+00:00
800,3,YCON,설치 가능 자재 MPW,L,False,2021-08-06 04:10:50.356760+00:00
800,3,BLG,BLG 용기 외부,L,False,2021-08-06 04:10:50.356760+00:00
800,3,AEM,샘풀,L,False,2021-08-06 04:10:50.356760+00:00
800,3,VKHM,추가사항,L,False,2021-08-06 04:10:50.356760+00:00
800,3,WERT,자재 (가격 만 관리),L,False,2021-08-06 04:10:50.356760+00:00
800,3,200,반제품,L,False,2021-08-06 04:10:50.356760+00:00
800,3,PLM,PLM 최소 제품 유형,L,False,2021-08-06 04:10:50.356760+00:00
