mandt,matkl,spart,lref3,wwgda,wwgpa,abtnr,begru,gewei,j_1bnbm,bklas,ekwsl,anlkl,def_schdsc,price_group,operation_flag,is_deleted,recordstamp
250,CONDIMENT,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,COOKING,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,DRY GOODS,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,ENTREE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,GRAINS,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,MISC,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,PAPERGOOD,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,PROTEIN,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,SAUCE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,SNACK,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,VEGETABLE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
0,01,,,,,,,,NBM1,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
1,01,,,,,,,,NBM1,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
50,01,,,,,,,,NBM1,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
100,01,,,,,,,,NBM1,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,01,,,,,,,,NBM1,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,01,,,,,,,,NBM1,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
0,02,,,,,,,,NBM2,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
1,02,,,,,,,,NBM2,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
50,02,,,,,,,,NBM2,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
100,02,,,,,,,,NBM2,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,02,,,,,,,,NBM2,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,02,,,,,,,,NBM2,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
100,01,,,,,,,,NBM1,,,,,,I,False,2022-04-21 15:05:24.992482+00:00
100,02,,,,,,,,NBM2,,,,,,I,False,2022-04-21 15:05:24.992482+00:00
800,ZT08,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00714,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01204,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01502,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,02101,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,10000000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25172800,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25173900,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,RFID_KBN,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZHYBRIS2,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,060,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,DAD,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,XLSW,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,XLWB,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT30,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT521,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25174600,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZUTIL2,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24121800,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,HYBPWT01,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT27,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZINS2,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25000000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25172100,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,300,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT09,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT29,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00302,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,MIC010,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,0021501,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,FIOMRP2,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,FIOMRP3,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCHEM02,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,07_01_06,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24111507,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZHYBRIS1,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007211400,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,CP20,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,XLET,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00802,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00902,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01509,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,07_02,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007EXQ,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24121803,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,013,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25172600,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,LSS,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,XLOT,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,XLWC,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT00,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,001041,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,001210,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007EMT,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,MIC004,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24111502,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24121804,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,SMI,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT28,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01002,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01503,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24122001,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24122003,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25172900,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,021,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,409,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00209,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01001,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZTW29,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,YN_CHOC,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24111503,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25172300,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25172400,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,020,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00107,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00203,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00805,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01506,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01510,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,07_03,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCON5,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,OA_SRV,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,SP_TRR,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,FIOMRP7,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24000000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00304,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00602,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00901,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01407,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01703,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01710,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,02005,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZTEL4,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,MIC005,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,FIOMRP1,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24141500,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24141602,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25173300,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007130000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,XLDM,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,02103,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,SCRAP,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZMED1,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,002501,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,002503,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,MIC003,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007131100,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,006,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,CPG,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT19,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCON2,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,0020020,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007212000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,OM01,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00201,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01507,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01508,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01511,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZUTIL1,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,VEGMGMT,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCHEM05,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZSIMSAM,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,25173700,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,007310000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,0026,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT05,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT07,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZT25,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00212,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCON4,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCHEM01,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCHEM06,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,HYBELE01,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00204,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00808,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01406,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,ZCHEM04,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24100000,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24121500,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,07,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,00105,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01004,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,01701,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,02003,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,24141607,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,45000222,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,016,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,CP10,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
800,OM05,,,,,,,,,,,,,,I,False,2021-03-31 05:00:41.125532+00:00
