mandt,langu,rldnr,name,operation_flag,is_deleted,recordstamp
100,D,9A,Zahlungsbudget Haushaltsmgm.,I,False,2022-04-21 15:18:15.197176+00:00
100,E,09,Additnal Consolidation Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9N,Bud.Incr.Rev.: Commit. Budget,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9M,Bud.Incr.Rev.: Payment Budget,I,False,2022-04-21 15:18:15.197176+00:00
100,E,0F,Cost of Sales Accounting Ldgr,I,False,2022-04-21 15:18:15.197176+00:00
100,E,1A,FI-LC: Direct Postng Bus.Area,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9A,Funds Management Payment Bdgt,I,False,2022-04-21 15:18:15.197176+00:00
100,E,00,G/L Accnt Transaction Figures,I,False,2022-04-21 15:18:15.197176+00:00
100,D,G0,Globales Durchbuchungs-Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,3K,ISSR: Meldewesen DE Forderung,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9B,Verpflichtungsb.Haushaltsmgm.,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9N,BEE Ledger: Verpflichtungsbdgt,I,False,2022-04-21 15:18:15.197176+00:00
100,E,3B,Export Ledger for Recon.Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,3B,Exportledger zum Abstimmledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,1B,FI-LC: Dir.Pstng Bus.Ar.Rollup,I,False,2022-04-21 15:18:15.197176+00:00
100,D,1A,FI-LC: dir. Durchbuchung Gsber,I,False,2022-04-21 15:18:15.197176+00:00
100,D,1B,FI-LC: dir.Durch. Gsber Rollup,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9B,Funds Management Commit.Budget,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9K,GM ZB Verfügbarkeitskontrolle,I,False,2022-04-21 15:18:15.197176+00:00
100,E,3J,ISSR: Reporting DE Profit&Loss,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9I,HHM VB Verfügbarkeitskontrolle,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9H,HHM ZB Verfügbarkeitskontrolle,I,False,2022-04-21 15:18:15.197176+00:00
0,D,3A,Abstimmledger,L,False,2022-01-31 20:43:51.102548+00:00
1,D,3A,Abstimmledger,L,False,2022-01-31 20:43:51.102548+00:00
50,D,3A,Abstimmledger,L,False,2022-01-31 20:43:51.102548+00:00
100,D,3A,Abstimmledger,L,False,2022-01-31 20:43:51.102548+00:00
200,D,3A,Abstimmledger,L,False,2022-01-31 20:43:51.102548+00:00
250,D,3A,Abstimmledger,L,False,2022-01-31 20:43:51.102548+00:00
0,D,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,E,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,D,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,E,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,D,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,E,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,D,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,E,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,D,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,E,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,D,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,E,7R,Retail Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,D,9J,HHM Finanzplan,L,False,2022-01-31 20:43:51.102548+00:00
1,D,9J,HHM Finanzplan,L,False,2022-01-31 20:43:51.102548+00:00
50,D,9J,HHM Finanzplan,L,False,2022-01-31 20:43:51.102548+00:00
100,D,9J,HHM Finanzplan,L,False,2022-01-31 20:43:51.102548+00:00
200,D,9J,HHM Finanzplan,L,False,2022-01-31 20:43:51.102548+00:00
250,D,9J,HHM Finanzplan,L,False,2022-01-31 20:43:51.102548+00:00
0,E,0L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,E,1L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,E,0L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,E,1L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,E,0L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,E,1L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,E,0L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,E,1L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,E,0L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,E,1L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,E,0L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,E,1L,Leading Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,E,9F,FM Payment Budget,L,False,2022-01-31 20:43:51.102548+00:00
1,E,9F,FM Payment Budget,L,False,2022-01-31 20:43:51.102548+00:00
50,E,9F,FM Payment Budget,L,False,2022-01-31 20:43:51.102548+00:00
100,E,9F,FM Payment Budget,L,False,2022-01-31 20:43:51.102548+00:00
200,E,9F,FM Payment Budget,L,False,2022-01-31 20:43:51.102548+00:00
250,E,9F,FM Payment Budget,L,False,2022-01-31 20:43:51.102548+00:00
0,D,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
0,E,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
1,D,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
1,E,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
50,D,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
50,E,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
100,D,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
100,E,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
200,D,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
200,E,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
250,D,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
250,E,90,Grants Management,L,False,2022-01-31 20:43:51.102548+00:00
0,D,0L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,D,1L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,D,0L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,D,1L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,D,0L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,D,1L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,D,0L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,D,1L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,D,0L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,D,1L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,D,0L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,D,1L,führendes Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,D,9F,HHM Zahlungsbudget,L,False,2022-01-31 20:43:51.102548+00:00
1,D,9F,HHM Zahlungsbudget,L,False,2022-01-31 20:43:51.102548+00:00
50,D,9F,HHM Zahlungsbudget,L,False,2022-01-31 20:43:51.102548+00:00
100,D,9F,HHM Zahlungsbudget,L,False,2022-01-31 20:43:51.102548+00:00
200,D,9F,HHM Zahlungsbudget,L,False,2022-01-31 20:43:51.102548+00:00
250,D,9F,HHM Zahlungsbudget,L,False,2022-01-31 20:43:51.102548+00:00
0,E,9J,FM Financial Budget,L,False,2022-01-31 20:43:51.102548+00:00
1,E,9J,FM Financial Budget,L,False,2022-01-31 20:43:51.102548+00:00
50,E,9J,FM Financial Budget,L,False,2022-01-31 20:43:51.102548+00:00
100,E,9J,FM Financial Budget,L,False,2022-01-31 20:43:51.102548+00:00
200,E,9J,FM Financial Budget,L,False,2022-01-31 20:43:51.102548+00:00
250,E,9J,FM Financial Budget,L,False,2022-01-31 20:43:51.102548+00:00
0,E,LR,Local rollup ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,E,LR,Local rollup ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,E,LR,Local rollup ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,E,LR,Local rollup ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,E,LR,Local rollup ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,E,LR,Local rollup ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,E,10,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,E,1C,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,E,10,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
1,E,1C,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,E,10,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
50,E,1C,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,E,10,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
100,E,1C,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,E,10,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
200,E,1C,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,E,10,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
250,E,1C,Consolidation Ledger,L,False,2022-01-31 20:43:51.102548+00:00
0,E,8E,Export Ledger for 8A,L,False,2022-01-31 20:43:51.102548+00:00
1,E,8E,Export Ledger for 8A,L,False,2022-01-31 20:43:51.102548+00:00
50,E,8E,Export Ledger for 8A,L,False,2022-01-31 20:43:51.102548+00:00
100,E,8E,Export Ledger for 8A,L,False,2022-01-31 20:43:51.102548+00:00
200,E,8E,Export Ledger for 8A,L,False,2022-01-31 20:43:51.102548+00:00
250,E,8E,Export Ledger for 8A,L,False,2022-01-31 20:43:51.102548+00:00
0,E,9G,FM Commitment Budget,L,False,2022-01-31 20:43:51.102548+00:00
1,E,9G,FM Commitment Budget,L,False,2022-01-31 20:43:51.102548+00:00
50,E,9G,FM Commitment Budget,L,False,2022-01-31 20:43:51.102548+00:00
100,E,9G,FM Commitment Budget,L,False,2022-01-31 20:43:51.102548+00:00
200,E,9G,FM Commitment Budget,L,False,2022-01-31 20:43:51.102548+00:00
250,E,9G,FM Commitment Budget,L,False,2022-01-31 20:43:51.102548+00:00
0,D,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
0,E,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
1,D,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
1,E,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
50,D,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
50,E,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
100,D,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
100,E,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
200,D,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
200,E,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
250,D,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
250,E,8C,Rollup Profit Center,L,False,2022-01-31 20:43:51.102548+00:00
0,D,10,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
0,D,1C,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
1,D,10,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
1,D,1C,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
50,D,10,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
50,D,1C,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
100,D,10,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
100,D,1C,Konsolidierungsledger,L,False,2022-01-31 20:43:51.102548+00:00
