mandt,vbeln,erdat,erzet,ernam,angdt,bnddt,audat,vbtyp,trvog,auart,augru,gwldt,submi,lifsk,faksk,netwr,waerk,vkorg,vtweg,spart,vkgrp,vkbur,gsber,gskst,guebg,gueen,knumv,vdatu,vprgr,autlf,vbkla,vbklt,kalsm,vsbed,fkara,awahr,ktext,bstnk,bsark,bstdk,bstzd,ihrez,bname,telf1,mahza,mahdt,kunnr,kostl,stafo,stwae,aedat,kvgr1,kvgr2,kvgr3,kvgr4,kvgr5,knuma,kokrs,ps_psp_pnr,kurst,kkber,knkli,grupp,sbgrp,ctlpc,cmwae,cmfre,cmnup,cmngv,amtbl,hityp_pr,abrvw,abdis,vgbel,objnr,bukrs_vf,taxk1,taxk2,taxk3,taxk4,taxk5,taxk6,taxk7,taxk8,taxk9,xblnr,zuonr,vgtyp,kalsm_ch,agrzr,aufnr,qmnum,vbeln_grp,scheme_grp,abruf_part,abhod,abhov,abhob,rplnr,vzeit,stceg_l,landtx,xegdr,enqueue_grp,dat_fzau,fmbdat,vsnmr_v,handle,proli,cont_dg,crm_guid,upd_tmstmp,msr_id,tm_ctrl_key,handoverloc,dataaging,glo_log_ref1_hd,psm_budat,fsh_kvgr6,fsh_kvgr7,fsh_kvgr8,fsh_kvgr9,fsh_kvgr10,fsh_rereg,fsh_cq_check,fsh_vrsn_status,fsh_transaction,fsh_vas_cg,fsh_candate,fsh_ss,fsh_os_stg_change,swenr,smenr,phase,mtlaur,stage,hb_cont_reason,hb_expdate,hb_resdate,mill_appl_id,tas,betc,mod_allow,cancel_allow,pay_method,bpn,rep_freq,logsysb,kalcd,multi,sppaym,wtysc_clm_hdr,operation_flag,is_deleted,recordstamp
250,11,2022-01-18,14:10:27,MALVIYAH,,,2022-01-18,C,0,TA,,,,,,48.5,USD,US10,10,02,,,,,,,17,2022-01-18,1,,,,ZUS001,1,F2,100,,PO1,,2022-01-18,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-18,,GW4AW00F7joUZGnRyhV5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,12,2022-01-19,09:52:34,MALVIYAH,,,2022-01-19,C,0,TA,,,,,,97.0,USD,US10,10,02,,,,,,,18,2022-01-19,1,,,,ZUS001,1,F2,100,,PO1,,2022-01-19,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-19,,GW4AW00F7joUeR2zZXrbAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,13,2022-01-19,14:11:31,SUMITSAXENA,,,2022-01-19,C,0,TA,,,,,,97.0,USD,US10,10,03,,,,,,,22,2022-01-19,1,,,,ZUS001,1,F2,100,,PO,,2022-01-19,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-19,,GW4AW00F7joUfZPpPHL5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,14,2022-01-19,16:49:06,MALVIYAH,,,2022-01-19,C,0,TA,,,,,,97.0,USD,US10,10,02,,,,,,,23,2022-01-19,1,,,,ZUS001,1,F2,100,,PO,,2022-01-19,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-19,,GW4AW00F7joUgFRarMU5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,17,2022-01-21,09:43:22,MALVIYAH,,,2020-01-01,C,0,TA,,,,,,48.5,USD,US10,10,02,,,,,,,29,2022-01-04,1,,,,ZUS001,1,F2,100,,PO,,2022-01-04,,,,,,,0000000002,,,USD,2022-01-21,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-21,,GW4AW00F7joUqz9Oukc5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,23,2022-01-24,18:44:53,DEMANDI,,,2022-01-24,C,0,TA,,,,,,9.7,USD,US10,10,03,,,,,,,50,2022-02-10,1,,,,ZUS001,1,F2,100,,EDS_1,,,,,,,,,0000000002,,,USD,2022-01-24,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-09,,GW4AW00F7joVgBRbdO}5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,24,2022-02-07,05:29:37,MALVIYAH,,,2022-02-06,C,0,TA,,,,,,97.0,USD,US10,10,03,,,,,,,84,2022-02-07,1,,,,ZUS001,1,F2,100,,PO,,2022-02-06,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-07,,GW4AW00F7joX{juNnXM5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,26,2022-02-07,08:19:37,MALVIYAH,,,2022-02-07,C,0,TA,,,,,,97.0,USD,US10,10,03,,,,,,,92,2022-02-07,1,,,,ZUS001,1,F2,100,,PO1,,,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-07,,GW4AW00F7joX}TO9RZ25Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,29,2022-02-23,18:13:06,SIBASISM,,,2022-02-23,C,0,TA,,,,,,48.5,USD,US10,10,02,,US21,,,,,101,2022-02-23,1,,,,ZUS001,1,F2,100,,PO10,,,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-23,,GW4AW00F7jobceW0FFj5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,30,2022-02-24,07:53:41,MALVIYAH,,,2022-02-23,C,0,TA,,,,,,97.0,USD,US10,10,03,,,,,,,105,2022-02-23,1,,,,ZUS001,1,F2,100,,PO,,2022-01-02,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-24,,GW4AW00F7jobgDmgnOK5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,31,2022-02-25,14:06:58,PKADARI,,,2022-02-24,C,0,TA,,,,,,9.7,USD,US10,10,02,,US21,,,,,106,2022-02-27,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25,,GW4AW00F7jobo8O}9Bk5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,32,2022-02-28,08:25:35,VISHAKHA,,,2022-02-24,C,0,TA,,,,,,9.7,USD,US10,10,02,,US21,,,,,107,2022-02-27,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocZW0ApUL5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,33,2022-02-28,08:26:46,VISHAKHA,,,2022-02-24,C,0,TA,,,,,,9.7,USD,US10,10,02,,US21,,,,,108,2022-02-27,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocZWLX{f35Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,34,2022-02-28,11:50:48,PKADARI,,,2022-02-24,C,0,TA,,,,,,9.7,USD,US10,10,02,,US21,,,,,109,2022-02-27,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocaPLy2b35Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,35,2022-02-28,12:06:27,MALVIYAH,,,2022-02-24,C,0,TA,,,,,,10.0,USD,US10,10,02,,US21,,,,,110,2021-01-01,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocaTjKdX6bAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,36,2022-02-28,12:14:46,PKADARI,,,2022-02-24,C,0,TA,,,,,,9.7,USD,US10,10,02,,US21,,,,,111,2022-02-27,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocaW2Uvdz5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,37,2022-02-28,12:21:17,MALVIYAH,,,2022-02-24,C,0,TA,,,,,,10.0,USD,US10,10,02,,US21,,,,,112,2021-01-01,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocaXsurLl5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,38,2022-02-28,12:21:17,MALVIYAH,,,2022-02-24,C,0,TA,,,,,,2.0,USD,US10,10,02,,US21,,,,,113,2021-01-01,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,GW4AW00F7jocaXsurLsbAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,39,2022-03-01,04:58:42,MALVIYAH,,,2022-02-25,C,0,TA,,,,,,1.95,USD,US10,10,02,,US21,,,,,114,2022-02-25,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,2022-03-01,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-01,,GW4AW00F7joceuY4yOj5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,40,2022-03-01,06:46:36,MALVIYAH,,,2022-02-28,C,0,TA,,,,,,7.76,USD,US10,10,03,,,,,,,115,2022-01-25,1,,,,ZUS001,1,F2,100,,PO,,2022-01-01,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-24,,GW4AW00F7jocfMhTY{h5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,41,2022-03-01,06:53:40,MALVIYAH,,,2022-02-28,C,0,TA,,,,,,7.76,USD,US10,10,03,,,,,,,117,2019-02-28,1,,,,ZUS001,1,F2,100,,P,,2019-02-28,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-27,,GW4AW00F7jocfOfltIo5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,42,2022-03-01,07:12:52,MALVIYAH,,,2022-02-28,C,0,TA,,,,,,77.6,USD,US10,10,03,,,,,,,118,2022-02-28,1,,,,ZUS001,1,F2,100,,PO,,2022-01-01,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25,,GW4AW00F7jocfU16PIK5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,43,2022-03-01,12:34:37,PKADARI,,,2022-02-24,C,0,TA,,,,,,9.7,USD,US10,10,02,,US21,,,,,122,2022-02-27,1,,,,ZUS001,1,F2,100,,PO,,2022-02-25,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25,,GW4AW00F7jocgtwhSgl5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,44,2022-03-03,06:30:23,MALVIYAH,,,2022-03-02,C,0,TA,,,,,,7.76,USD,US10,10,03,,,,,,,123,2022-03-02,1,,,,ZUS001,1,F2,100,,PO,,2022-01-02,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-01,,GW4AW00F7jocrsq3Syg5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,50,2022-03-07,04:24:54,MALVIYAH,,,2022-03-06,C,0,TA,,,,,,1.94,USD,US10,10,03,,,,,,,129,2022-03-07,1,,,,ZUS001,1,F2,100,,PO,,2022-03-03,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-04,,GW4AW00F7jodkT53fHc5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,51,2022-03-07,07:20:38,MALVIYAH,,,2020-02-10,C,0,TA,,,,,,20.0,USD,US10,10,02,,US21,,,,,130,2020-04-10,1,,,,ZUS001,1,F2,100,,PO,,2020-02-10,,,,,,,0000000002,,,USD,2022-03-07,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,,GW4AW00F7jodlEBUyLA5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,52,2022-03-07,07:20:39,MALVIYAH,,,2020-02-10,C,0,TA,,,,,,3.9,USD,US10,10,02,,US21,,,,,131,2022-03-07,1,,,,ZUS001,1,F2,100,,PO,,2020-02-10,,,,,,,0000000002,,,USD,2022-03-07,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,,GW4AW00F7jodlEBUyLHbAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,53,2022-03-07,07:20:39,MALVIYAH,,,2020-02-10,C,0,TA,,,,,,4.0,USD,US10,10,02,,US21,,,,,132,2020-04-10,1,,,,ZUS001,1,F2,100,,PO,,2020-02-10,,,,,,,0000000002,,,USD,2022-03-07,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,,GW4AW00F7jodlEBUyLMbAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,54,2022-03-07,08:26:55,MALVIYAH,,,2022-03-07,C,0,TA,,,,,,100.0,USD,US10,10,02,,US21,,,,,133,2020-04-07,1,,,,ZUS001,1,F2,100,,PO,,2022-03-03,,,,,,,0000000002,,,USD,2022-03-07,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-06,,GW4AW00F7jodlWibkJ75Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,55,2022-03-07,09:41:04,MALVIYAH,,,2022-03-07,C,0,TA,,,,,,4.0,USD,US10,10,03,,,,,,,134,2020-04-07,1,,,,ZUS001,1,F2,100,,PO,,2022-03-03,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-06,,GW4AW00F7jodlrQS5lf5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,56,2022-03-07,10:18:07,MALVIYAH,,,2020-02-10,C,0,TA,,,,,,20.0,USD,US10,10,02,,US21,,,,,135,2020-02-10,1,,,,ZUS001,1,F2,100,,PO,,2020-02-10,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,,GW4AW00F7jodl}n73}q5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,57,2022-03-07,10:18:08,MALVIYAH,,,2020-02-10,C,0,TA,,,,,,4.0,USD,US10,10,02,,US21,,,,,136,2020-02-10,1,,,,ZUS001,1,F2,100,,PO,,2020-02-10,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,,GW4AW00F7jodl}n73}xbAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,58,2022-03-07,10:18:08,MALVIYAH,,,2020-02-10,C,0,TA,,,,,,4.0,USD,US10,10,02,,US21,,,,,137,2020-02-10,1,,,,ZUS001,1,F2,100,,PO,,2020-02-10,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,,GW4AW00F7jodl}n7400bAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
