mandt,vbeln,ernam,erzet,erdat,bzirk,vstel,vkorg,lfart,autlf,kzazu,wadat,lddat,tddat,lfdat,kodat,ablad,inco1,inco2,expkz,route,faksk,lifsk,vbtyp,knfak,tpqua,tpgrp,lprio,vsbed,kunnr,kunag,kdgrp,stzkl,stzzu,btgew,ntgew,gewei,volum,voleh,anzpk,berot,lfuhr,grulg,lstel,tragr,fkarv,fkdat,perfk,routa,stafo,kalsm,knumv,waerk,vkbur,vbeak,zukrl,verur,commn,stwae,stcur,exnum,aenam,aedat,lgnum,lispl,vkoiv,vtwiv,spaiv,fkaiv,pioiv,fkdiv,kuniv,kkber,knkli,grupp,sbgrp,ctlpc,cmwae,amtbl,bolnr,lifnr,traty,traid,cmfre,cmngv,xabln,bldat,wadat_ist,trspg,tpsid,lifex,ternr,kalsm_ch,klief,kalsp,knump,netwr,aulwe,werks,lcnum,abssc,kouhr,tduhr,lduhr,wauhr,lgtor,lgbzo,akwae,akkur,akprz,proli,xblnr,handle,tsegfl,tsegtp,tzonis,tzonrc,cont_dg,verursys,kzwab,vlstk,tcode,vsart,trmtyp,sdabw,vbund,xwoff,dirta,prvbe,folar,podat,potim,vganz,imwrk,spe_loekz,spe_loc_seq,spe_acc_app_sts,spe_shp_inf_sts,spe_ret_canc,spe_wauhr_ist,spe_wazone_ist,spe_rev_vlstk,spe_le_scenario,spe_orig_sys,spe_chng_sys,spe_georoute,spe_georouteind,spe_carrier_ind,spe_gts_rel,spe_gts_rt_cde,spe_rel_tmstmp,spe_unit_system,spe_inv_bfr_gi,spe_qi_status,spe_red_ind,sakes,spe_lifex_type,spe_ttype,spe_pro_number,loc_guid,spe_billing_ind,printer_profile,msr_active,prtnr,stge_loc_change,tm_ctrl_key,dlv_split_initia,dlv_version,handoverloc,handoverdate,handovertime,handovertzone,incov,inco2_l,inco3_l,bev1_luleinh,bev1_rpfaess,bev1_rpkist,bev1_rpcont,bev1_rpsonst,bev1_rpflgnr,borgr_grp,fsh_transaction,fsh_vas_last_item,fsh_vas_cg,operation_flag,is_deleted,recordstamp
250,80000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-01 07:21:36.711322+00:00
250,80000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-01 07:34:28.700186+00:00
250,180000965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-02 06:27:24.039971+00:00
250,80000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-03 07:58:10.973761+00:00
250,80000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-03 08:02:14.224581+00:00
250,80000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-07 09:01:33.496599+00:00
250,80000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-07 09:08:32.510559+00:00
250,80000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-07 08:38:58.047752+00:00
50,80000187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-19 08:58:44.787508+00:00
50,80000188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-19 08:59:17.747149+00:00
50,80001663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-23 02:51:34.129953+00:00
50,80001664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-23 03:02:46.554875+00:00
50,80002106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-26 02:44:48.903017+00:00
50,80002402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-29 04:50:31.771026+00:00
250,180000003,GAIKWADPAWAR,11:17:09,2022-01-20,,,,EL,,X,,,,2022-01-20,,,,,,,,,7.0,,,,,,,,,,,2000.0,2000.0,G,,,,,,10.0,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joUl517kQt5Am,,IDHDR,PST,PST,,,I,,VL31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:12.093112+00:00
250,180000010,MOUNIKAPALI,13:28:07,2022-01-24,,,,EL,,X,,,,2022-02-03,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joVeoxdxC}5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:12.093112+00:00
250,180000011,MOUNIKAPALI,14:22:04,2022-01-24,,,,EL,,X,,,,2022-02-03,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joVf20eL095Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:12.093112+00:00
250,180000014,MOUNIKAPALI,12:36:45,2022-01-25,,,,EL,,X,,,,2022-01-31,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joVkswN8rH5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:12.093112+00:00
250,180000021,MOUNIKAPALI,06:13:48,2022-02-03,,,,EL,,X,,,,2022-02-02,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXbmvZ3o95Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:14:15.927457+00:00
250,180000044,VISHAKHA,13:07:28,2022-02-03,,,,EL,,X,,,,2022-02-09,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXdaUP03pbAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 13:07:30.580133+00:00
250,180000683,VISHAKHA,07:52:17,2022-02-04,,,,EL,,X,,,,2022-01-21,,,,,,,,,7.0,,,,,,,,,,,2000.0,2000.0,G,,,,,,10.0,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUllcBibAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:18.284524+00:00
250,180000741,VISHAKHA,07:52:27,2022-02-04,,,,EL,,X,,,,2022-02-03,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUojaNb5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:27.388742+00:00
250,180000742,VISHAKHA,07:52:27,2022-02-04,,,,EL,,X,,,,2022-02-03,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUojaNdbAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:27.693833+00:00
250,180000744,VISHAKHA,07:52:27,2022-02-04,,,,EL,,X,,,,2022-02-04,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUojaNibAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:27.980481+00:00
250,180000747,VISHAKHA,07:52:28,2022-02-04,,,,EL,,X,,,,2022-02-07,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUojaNrbAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:28.631205+00:00
250,180000755,VISHAKHA,07:52:29,2022-02-04,,,,EL,,X,,,,2022-02-13,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUpJg8}5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:29.829941+00:00
250,180000767,VISHAKHA,07:52:31,2022-02-04,,,,EL,,X,,,,2022-02-14,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUpw3e35Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:31.542817+00:00
250,180000939,VISHAKHA,07:52:56,2022-02-04,,,,EL,,X,,,,2022-03-05,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUx4FOPbAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:57.012139+00:00
250,180000942,VISHAKHA,07:52:57,2022-02-04,,,,EL,,X,,,,2022-03-21,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST EU,,,,,,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXiUxgLiHbAm,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:57.627760+00:00
250,180000013,MOUNIKAPALI,09:03:25,2022-01-25,,,,EL,,X,,,,2020-01-05,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joVjxJh4}Q5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:12.093112+00:00
250,180000017,KUPRAVESH,13:26:00,2022-02-01,,,,EL,,X,,,,2022-02-08,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joWx4}avdv5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 13:26:56.765706+00:00
250,180000019,MOUNIKAPALI,06:11:16,2022-02-03,,,,EL,,X,,,,2022-02-10,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXbmC1NQt5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:11:28.486051+00:00
250,180000020,MOUNIKAPALI,06:13:48,2022-02-03,,,,EL,,X,,,,2022-02-02,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXbmvZ3o85Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:14:15.927457+00:00
250,180000024,SHOBHITSAURA,06:55:30,2022-02-03,,,,EL,,X,,,,2022-02-02,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXbyZ6QGp5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:55:41.622182+00:00
250,180000025,SHOBHITSAURA,06:56:43,2022-02-03,,,,EL,,X,,,,2022-02-02,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXbyux7tB5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:56:50.457410+00:00
250,180000026,SHOBHITSAURA,06:57:50,2022-02-03,,,,EL,,X,,,,2022-02-02,,,CFR,Costs and Freight,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,F2,,,,,E10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST V1,,,,,,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,GW4AW00F7joXbzCkyRg5Am,,IDHDR,PST,PST,,,I,,VL31N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:57:57.376020+00:00
