mandt,prodh,stufe,operation_flag,is_deleted,recordstamp
100,101AACDRSY,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACLDPB,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACLDSY,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCCLCS,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCCLSY,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCWPBG,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCWPMD,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCWPSM,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACCCPWH,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACCCPWN,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACCWVWH,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACCWVWN,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCLMBD,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCLMFC,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCLMHN,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCSLBR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCSLHW,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCSLSW,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECCSBD,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECCSFC,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECCSFR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECCSHN,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECSDBS,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECSDDS,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECSDSS,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFCTBAD,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFCTBCH,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFCTPPS,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFCTPPW,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCBTPL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCBTSL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCICFC,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCICZF,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCYGFL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCYGPL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCMTDR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCMTLG,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCPLDR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCPLEG,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCPLWH,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCBRML,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCBRST,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCHDBL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCHDPR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCWNRD,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCWNWH,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCNSCL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCNSPL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCPLSD,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCSGCL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCSGPL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJCMXFC,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJCMXFR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJCPRFC,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJCPRFR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSCBTPT,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSCBTSK,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSCHTH2,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSCHTH5,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCLDCV,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCLDFT,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCPLP3,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCPLP4,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCPLP5,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCLNNT,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCLNSL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCLNTW,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCWNNT,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCWNSL,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCWNTW,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTCLNDR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTCLNGR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTCWNDR,6.0,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTCWNGM,6.0,I,False,2022-04-21 15:06:07.067949+00:00
800,5000,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00100,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00105,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00110,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00115,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00120,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00125,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00130,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00135,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00140,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00145,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00150,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00160,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00170,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00180,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00190,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00200,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00210,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00220,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00230,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00300,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00301,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00302,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00303,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00304,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00305,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00310,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,00400,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,CPG00,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,DD100,1.0,I,False,2021-04-23 14:47:22.979082+00:00
800,DD200,1.0,I,False,2021-04-23 14:47:22.979082+00:00
