mandt,spras,anlkl,txk20,txk50,txt50,txa50,xltxid,operation_flag,is_deleted,recordstamp
250,D,8100,Vorauszahlungen,Vorauszahlungen,,,,L,False,2022-01-31 20:41:43.517301+00:00
0,E,8100,Advance payments,Advance payments,,,,L,False,2022-01-31 20:41:43.517301+00:00
1,E,8100,Advance payments,Advance payments,,,,L,False,2022-01-31 20:41:43.517301+00:00
50,E,8100,Advance payments,Advance payments,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,E,8100,Advance payments,Advance payments,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,E,8100,Advance payments,Advance payments,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,E,8100,Advance payments,Advance payments,,,,L,False,2022-01-31 20:41:43.517301+00:00
0,D,7000,Gründungsaufwand,Gründungsaufwand,,,,L,False,2022-01-31 20:41:43.517301+00:00
1,D,7000,Gründungsaufwand,Gründungsaufwand,,,,L,False,2022-01-31 20:41:43.517301+00:00
50,D,7000,Gründungsaufwand,Gründungsaufwand,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,D,7000,Gründungsaufwand,Gründungsaufwand,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,D,7000,Gründungsaufwand,Gründungsaufwand,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,D,7000,Gründungsaufwand,Gründungsaufwand,,,,L,False,2022-01-31 20:41:43.517301+00:00
0,D,6100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
1,D,6100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
50,D,6100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
100,D,6100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
200,D,6100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
250,D,6100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
0,E,6100,Leasing (capital),Leased assets (capital lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
1,E,6100,Leasing (capital),Leased assets (capital lease),,,,L,False,2022-01-31 20:41:43.517301+00:00
