mandt,rldnr,gcurr,class,typ,trcur,lccur,rccur,occur,quant,atqnt,tab,rcopy,shkz,glsip,vortrag,dldnr,xdldnr,curt1,curt2,curt3,v2post,lctyp,fix,post,rollup,depld,appl,subappl,komp,gzledger,exit,kldnr,logsys,valutyp,gcompress,splitmethd,date_det_poper,glflex,xleading,orient_ledger,avg_rollup,xcash_ledger,operation_flag,is_deleted,recordstamp
0,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
800,8Z,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,8A,,10,90.0,,,,X,X,,X,EC,PCA,,,G01,8E,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,8C,,,0.0,X,X,X,,X,,GLPCT,X,X,,X,,,10,90.0,,,,X,,X,,EC,PCA,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,X,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,8E,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,X,EC,PCA,,,,8A,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,BR,BRL,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,B1,DEM,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,UK,GBP,,0.0,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
0,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,1C,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
800,US,USD,,0.0,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,CS,USD,,,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,1C,USD,,0.0,X,X,X,,X,,ECMCT,,,,,,,C0,80.0,,,,X,X,X,,EC,CS,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
0,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,00,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,,FI,GL,,,,0R,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
