mandt,spras,waers,ltext,ktext,operation_flag,is_deleted,recordstamp
50,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
100,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
200,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
250,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
0,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
1,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
50,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
100,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
200,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
250,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
0,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
1,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
50,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
100,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
200,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
250,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
0,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
1,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
50,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
100,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
200,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
250,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
0,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
1,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
50,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
100,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
200,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
250,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
0,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
1,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
50,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
100,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
200,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
250,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
0,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
1,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
50,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
100,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
200,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
250,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
0,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
1,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
50,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
100,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
200,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
250,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
0,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
1,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
50,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
100,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
200,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
250,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
0,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
1,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
50,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
100,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
200,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
250,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
0,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
1,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
50,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
100,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
200,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
250,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
0,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
1,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
50,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
100,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
200,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
250,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
0,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
1,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
50,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
100,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
200,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
250,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
0,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
1,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
50,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
100,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
200,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
250,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
0,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
1,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
50,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
100,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
200,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
250,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
0,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
1,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
50,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
100,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
200,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
250,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
0,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
1,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
50,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
100,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
200,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
250,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
0,F,THB,Bhat thailandais,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
1,F,THB,Bhat thailandais,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
50,F,THB,Bhat thailandais,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
100,F,THB,Bhat thailandais,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
200,F,THB,Bhat thailandais,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
250,F,THB,Bhat thailandais,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
0,E,ETB,Ethiopian Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
1,E,ETB,Ethiopian Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
50,E,ETB,Ethiopian Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
100,E,ETB,Ethiopian Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
200,E,ETB,Ethiopian Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
250,E,ETB,Ethiopian Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
0,D,ETB,Äthiopische Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
1,D,ETB,Äthiopische Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
50,D,ETB,Äthiopische Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
100,D,ETB,Äthiopische Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
200,D,ETB,Äthiopische Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
250,D,ETB,Äthiopische Birr,Birr,L,False,2022-01-31 20:43:53.037378+00:00
0,E,GHS,Ghanian Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
1,E,GHS,Ghanian Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
50,E,GHS,Ghanian Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
100,E,GHS,Ghanian Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
200,E,GHS,Ghanian Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
250,E,GHS,Ghanian Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
0,D,GHS,Ghanesische Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
1,D,GHS,Ghanesische Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
50,D,GHS,Ghanesische Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
100,D,GHS,Ghanesische Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
200,D,GHS,Ghanesische Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
250,D,GHS,Ghanesische Cedi,Cedi,L,False,2022-01-31 20:43:53.037378+00:00
0,E,GHC,Ghanaian Cedi (Old),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
1,E,GHC,Ghanaian Cedi (Old),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
50,E,GHC,Ghanaian Cedi (Old),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
100,E,GHC,Ghanaian Cedi (Old),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
200,E,GHC,Ghanaian Cedi (Old),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
250,E,GHC,Ghanaian Cedi (Old),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
0,D,GHC,Ghanesische Cedi (alt),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
1,D,GHC,Ghanesische Cedi (alt),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
50,D,GHC,Ghanesische Cedi (alt),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
100,D,GHC,Ghanesische Cedi (alt),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
200,D,GHC,Ghanesische Cedi (alt),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
250,D,GHC,Ghanesische Cedi (alt),Cedi,L,False,2022-01-31 20:43:53.037378+00:00
0,E,VND,Vietnamese Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
1,E,VND,Vietnamese Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
50,E,VND,Vietnamese Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
100,E,VND,Vietnamese Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
200,E,VND,Vietnamese Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
250,E,VND,Vietnamese Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
0,D,VND,Vietnamesische Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
1,D,VND,Vietnamesische Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
50,D,VND,Vietnamesische Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
100,D,VND,Vietnamesische Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
200,D,VND,Vietnamesische Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
250,D,VND,Vietnamesische Dong,Dong,L,False,2022-01-31 20:43:53.037378+00:00
0,E,AMD,Armenian Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
1,E,AMD,Armenian Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
50,E,AMD,Armenian Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
100,E,AMD,Armenian Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
200,E,AMD,Armenian Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
250,E,AMD,Armenian Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
0,D,AMD,Armenische Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
1,D,AMD,Armenische Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
50,D,AMD,Armenische Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
100,D,AMD,Armenische Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
200,D,AMD,Armenische Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
250,D,AMD,Armenische Dram,Dram,L,False,2022-01-31 20:43:53.037378+00:00
0,E,EUR,European Euro,Euro,L,False,2022-01-31 20:43:53.037378+00:00
1,E,EUR,European Euro,Euro,L,False,2022-01-31 20:43:53.037378+00:00
