mandt,prctr,datbi,kokrs,datab,ersda,usnam,merkmal,abtei,verak,verak_user,waers,nprctr,land1,anred,name1,name2,name3,name4,ort01,ort02,stras,pfach,pstlz,pstl2,spras,telbx,telf1,telf2,telfx,teltx,telx1,datlt,drnam,khinr,bukrs,vname,recid,etype,txjcd,regio,kvewe,kappl,kalsm,logsystem,lock_ind,pca_template,segment,operation_flag,is_deleted,recordstamp
0,SAP-DUMMY,9999-12-31,PL01,1950-01-01,2002-01-15,SAP,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,PPL01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,0001,1950-01-01,2002-01-15,SAP,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,P0001-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,KR01,1950-01-01,2002-01-15,SAP,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,PKR01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,PL01,1950-01-01,2002-01-15,SAP,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,PPL01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
800,0000002100,9999-12-31,1000,1994-01-01,1994-11-09,KATO,,Sales,Samuel,,,,,,,,,,,,,,,,,,,,,,,,,XE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001402,9999-12-31,1000,1994-01-01,1994-11-09,KATO,,Admin,Phill,,,,,,,,,,,,,,,,,,,,,,,,,H1420,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003060,9999-12-31,2000,1994-01-01,1995-11-08,BEGGS,,Products,Barton,,,,,,,,,,,,,,,,,,,,,,,,,H3060,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,DUMMY,9999-12-31,4500,1950-01-01,2002-01-02,HOMMY,,,Doug Hommy,,,,,,,,,,,,,,,,,,,,,,,,,PCASTD,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009998,9999-12-31,1000,1994-01-01,1995-05-09,TOMEK,,,XXXX,,,,,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009000,9999-12-31,1000,1994-01-01,1995-05-09,TOMEK,,,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,XE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001500,9999-12-31,1000,1994-01-01,1995-05-09,TOMEK,,Products,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,H1050,,,,,,,,,,,,,RETA,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001600,9999-12-31,1000,1994-01-01,1995-05-09,TOMEK,,Products,Douglas,,,,,,,,,,,,,,,,,,,,,,,,,H1110,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,6001,1950-01-01,2003-06-06,FRANCO,,,Franco,,,,,,,,,,,,,,,,,,,,,,,,,DM,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,F999,9999-12-31,2200,1950-01-01,1997-08-27,FREIER,,,nn,,,,,,,,,,,,,,,,,,,,,,,,,F1,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001015,9999-12-31,1000,1997-01-01,1997-05-20,FREIER,,Products,Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,H1015,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001016,9999-12-31,1000,1997-01-01,1997-05-20,FREIER,,,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,H1015,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001018,9999-12-31,1000,1997-01-01,1997-05-20,FREIER,,Products,Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,H1015,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001017,9999-12-31,1000,1997-01-01,1997-05-20,FREIER,,,Batista,,,,,,,,,,,,,,,,,,,,,,,,,H1015,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001000,9999-12-31,2200,1997-01-01,1997-08-27,FREIER,,Products,Dor,,,,,,,,,,,,,,,,,,,,,,,,,PH101,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,CPF,9999-12-31,PA22,1950-01-01,2014-01-18,I004952,,,M Franklin,,,,,,,,,,,,,,,,,,,,,,,,,HCP1,,,,,,,,,,,,,SEG1,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,2003-12-31,5000,1950-01-01,2004-06-07,I016020,,,,,,,,,,,,,,,,,,,,,,,,,,,,H5,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,5000,2004-01-01,2004-06-07,I016020,,,佐藤,,,,,,,,,,,,,,,,,,,,,,,,,H5,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,SS-ADMIN,9999-12-31,8500,1950-01-01,2005-08-16,I021815,,Corporate,i021815,,,,,,,,,,,,,,,,,,,,,,,,,H999900,,,,,,,,,,,,,RETA,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,6650,1950-01-01,2011-03-31,I046762,,,,,,,,,,,,,,,,,,,,,,,,,,,,6650,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,6700,1950-01-01,2011-03-31,I046762,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,6750,1950-01-01,2011-03-31,I046762,,,,,,,,,,,,,,,,,,,,,,,,,,,,6750,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,N999,9999-12-31,2000,1950-01-01,1995-05-13,JOHNSON,,,Phillips,,,,,,,,,,,,,,,,,,,,,,,,,DN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,N998,9999-12-31,2000,1992-01-01,1995-05-13,JOHNSON,,Controlling,Oliver,,,,,,,,,,,,,,,,,,,,,,,,,DN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009100,9999-12-31,2000,1994-01-01,1995-09-25,JOHNSON,,Sales,Hartman,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000004900,9999-12-31,2000,1994-01-01,1995-09-25,JOHNSON,,Controlling,Hackett,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003500,9999-12-31,2000,1992-01-01,1995-05-13,JOHNSON,,Products,Hill,,,,,,,,,,,,,,,,,,,,,,,,,H3050,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003600,9999-12-31,2000,1992-01-01,1995-05-13,JOHNSON,,Service,Brinker,,,,,,,,,,,,,,,,,,,,,,,,,H3110,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003402,9999-12-31,2000,1992-01-01,1995-05-13,JOHNSON,,Admin,Matthews,,,,,,,,,,,,,,,,,,,,,,,,,H3420,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003900,9999-12-31,2000,1994-01-01,1995-09-25,JOHNSON,,Controlling,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,H3910,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001005,9999-12-31,1000,1994-01-01,1998-10-02,KNUDSEN,,Products,Kelly,,,,,,,,,,,,,,,,,,,,,,,,,H1010,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001060,9999-12-31,1000,1994-01-01,1998-09-28,KNUDSEN,,Products,Bocuse,,,,,,,,,,,,,,,,,,,,,,,,,H1060,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003010,9999-12-31,S300,1998-01-01,1999-04-23,KNUDSEN,,,Herr Schneider,,,,,,,,,,,,,,,,,,,,,,,,,S3010,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003020,9999-12-31,S300,1998-01-01,1999-04-23,KNUDSEN,,,Herr Knudson,,,,,,,,,,,,,,,,,,,,,,,,,S3020,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003030,9999-12-31,S300,1998-01-01,1999-04-23,KNUDSEN,,,Frau Albert,,,,,,,,,,,,,,,,,,,,,,,,,S3030,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003040,9999-12-31,S300,1998-01-01,1999-04-23,KNUDSEN,,,Frau Miller,,,,,,,,,,,,,,,,,,,,,,,,,S3040,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003050,9999-12-31,S300,1998-01-01,1999-04-23,KNUDSEN,,,Herr Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,S3050,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003060,9999-12-31,S300,1998-01-01,1999-04-23,KNUDSEN,,,Herr Finder,,,,,,,,,,,,,,,,,,,,,,,,,S3060,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,S300DUMMY,9999-12-31,S300,1950-01-01,1999-04-22,KNUDSEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,S9999,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,1000,1950-01-01,1994-11-07,BUERKLEU,,,xxxx,,,,,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000002200,9999-12-31,1000,1994-01-01,1994-11-10,BUERKLEU,,Admin,Engel,,,,,,,,,,,,,,,,,,,,,,,,,XE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000002000,9999-12-31,1000,1994-01-01,1994-11-07,BUERKLEU,,Production,Smith,,,,,,,,,,,,,,,,,,,,,,,,,XE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000004000,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Production,O'Brian,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000004200,9999-12-31,2000,1994-01-01,1994-11-10,BUERKLEU,,Admin.,Nicklas,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001000,9999-12-31,1000,1994-01-01,1994-11-07,BUERKLEU,,Products,Robert,,,,,,,,,,,,,,,,,,,,,,,,,H1010,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001010,9999-12-31,1000,1994-01-01,1994-11-07,BUERKLEU,,Products,Bosch,,,,,,,,,,,,,,,,,,,,,,,,,H1020,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001100,9999-12-31,1000,1994-01-01,1994-11-07,BUERKLEU,,Products,Linger,,,,,,,,,,,,,,,,,,,,,,,,,H1030,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001200,9999-12-31,1000,1994-01-01,1994-11-07,BUERKLEU,,Products,Rose,,,,,,,,,,,,,,,,,,,,,,,,,H1040,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001300,9999-12-31,1000,1994-01-01,1994-11-07,BUERKLEU,,Projects,Schrempp,,,,,,,,,,,,,,,,,,,,,,,,,H1310,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001400,9999-12-31,1000,1992-01-01,1994-11-07,BUERKLEU,,Admin,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,H1410,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003000,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Products,Roberts,,,,,,,,,,,,,,,,,,,,,,,,,H3010,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003010,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Products,Bosch,,,,,,,,,,,,,,,,,,,,,,,,,H3020,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003100,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Products,Linger,,,,,,,,,,,,,,,,,,,,,,,,,H3030,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003200,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Products,Rose,,,,,,,,,,,,,,,,,,,,,,,,,H3040,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003300,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Products,Carter,,,,,,,,,,,,,,,,,,,,,,,,,H3310,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003400,9999-12-31,2000,1994-01-01,1994-11-08,BUERKLEU,,Admin,Martin,,,,,,,,,,,,,,,,,,,,,,,,,H3410,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,9000-1,9999-12-31,9000,1950-01-01,2009-11-03,C5066469,,,Alexey Ulnirov,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,2800,1950-01-01,2011-12-22,C5099438,,,,,,,,,,,,,,,,,,,,,,,,,,,,H28,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,4100,1950-01-01,2012-02-02,C5165216,,,,,,,,,,,,,,,,,,,,,,,,,,,,H41,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,7500,1950-01-01,2011-12-28,C5165216,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500STD,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009110,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,GENERAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009130,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,GENERAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009120,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,GENERAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009152,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,COMMERCIAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009154,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,COMMERCIAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009151,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,COMMERCIAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009153,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,COMMERCIAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009150,9999-12-31,2000,1950-01-01,1999-05-12,KUERSTEN,,,Smagowicz,,,,,,,,,,,,,,,,,,,,,,,,,COMMERCIAL,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009999,9999-12-31,6000,1950-01-01,2000-02-14,MUELLERJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,H6,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,DUMMY,9999-12-31,F100,1950-01-01,1999-03-08,SCHUNTER,,,Marmetschke,,,,,,,,,,,,,,,,,,,,,,,,,3-PCR,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,DUMMY,9999-12-31,F300,1950-01-01,1999-03-08,SCHUNTER,,,Marmetschke,,,,,,,,,,,,,,,,,,,,,,,,,DUMMY,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000005010,9999-12-31,2000,1998-01-01,1998-08-06,SCHUNTER,,PM A & D,Helmut Diehl,,,,,,,,,,,,,,,,,,,,,,,,,H5010,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000005000,9999-12-31,2000,1998-01-01,1998-08-06,SCHUNTER,,PM A & D,Helmut Diehl,,,,,,,,,,,,,,,,,,,,,,,,,H5010,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001430,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001480,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001460,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001440,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001410,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001450,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001470,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001420,9999-12-31,1000,1950-01-01,1998-12-08,EISENMANN,,Facilities,Eisenmann,,,,,,,,,,,,,,,,,,,,,,,,,H1430,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009990,9999-12-31,1000,1994-01-01,1995-06-13,ODABASHIAN,,Accounting,Smith,,,,,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000009990,9999-12-31,2000,1997-01-01,1997-01-20,ODABASHIAN,,Finance,Trevor,,,,,,,,,,,,,,,,,,,,,,,,,DN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000002900,9999-12-31,1000,1994-01-01,1995-06-09,ODABASHIAN,,Accounting,Peter,,,,,,,,,,,,,,,,,,,,,,,,,XE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001070,9999-12-31,1000,1994-01-01,1997-01-16,ODABASHIAN,,Products,Koenig,,,,,,,,,,,,,,,,,,,,,,,,,H1070,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,0000001900,9999-12-31,1000,1994-01-01,1995-06-09,ODABASHIAN,,Accounting,Marcus,,,,,,,,,,,,,,,,,,,,,,,,,H1910,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003005,9999-12-31,2000,1996-01-01,1996-12-17,ODABASHIAN,,Products,Kelly,,,,,,,,,,,,,,,,,,,,,,,,,H3010,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003070,9999-12-31,2000,1996-01-01,1997-01-20,ODABASHIAN,,Products,Garner,,,,,,,,,,,,,,,,,,,,,,,,,H3070,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000003700,9999-12-31,2000,1996-01-01,1996-01-10,WESSENDORF,,Service,Grant,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
0,SAP-DUMMY,9999-12-31,BE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PBE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,CN01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PCN01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,CO01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PCO01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,CZ01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PCZ01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,DE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PDE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,DE02,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PDE02-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,ES01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PES01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,HU01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PHU01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,JP01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PJP01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,NO01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PNO01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,PE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PPE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,RU01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PRU01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,SE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PSE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,SK01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PSK01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,TR01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PTR01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,TW01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PTW01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,SAP-DUMMY,9999-12-31,UA01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PUA01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
