mandt,land1,bland,fprcd,herbl,operation_flag,is_deleted,recordstamp
800,CO,76,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,47,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,86,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,41,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,05,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,13,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,50,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,20,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,70,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,17,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,66,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,15,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,85,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,54,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,63,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,23,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,68,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,97,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,95,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,44,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CR,721,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,219,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,032,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,511,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,212,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,714,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,322,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CZ,119,,,I,False,2021-04-03 10:20:05.242435+00:00
