mandt,vbeln,posnr,rfsta,rfgsa,besta,lfsta,lfgsa,wbsta,fksta,fksaa,absta,gbsta,kosta,lvsta,uvall,uvvlk,uvfak,uvprs,fkivp,uvp01,uvp02,uvp03,uvp04,uvp05,pksta,koqua,costa,cmppi,cmppj,uvpik,uvpak,uvwak,dcsta,rrsta,vlstp,fssta,lssta,pdsta,manek,hdall,ltsps,fsh_ar_stat_itm,mill_vs_vssta,operation_flag,is_deleted,recordstamp
200,70000100,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,16516,52,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5765,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5734,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18131,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18139,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17815,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18032,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,16516,51,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17287,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17326,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17345,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18059,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17282,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,150,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18084,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17522,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18099,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,16425,21,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17222,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17571,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18146,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5731,80,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17346,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18087,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000074,80,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,16425,24,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5731,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18080,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17548,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,100,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5728,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17194,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5732,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18038,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17203,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18179,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18157,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5734,80,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17264,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18123,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18133,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18160,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18073,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,120,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18110,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17783,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000092,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000102,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,110,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,90,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5765,80,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18057,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18048,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18112,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000074,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000105,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
