mandt,ktopl,saknr,xbilk,sakan,bilkt,erdat,ernam,gvtyp,ktoks,mustr,vbund,xloev,xspea,xspeb,xspep,mcod1,func_area,operation_flag,is_deleted,recordstamp
1,GKR,209100,,209100,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209100,,209100,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209100,,209100,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209100,,209100,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209100,,209100,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209200,,209200,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,209200,,209200,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209200,,209200,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209200,,209200,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209200,,209200,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209200,,209200,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209300,,209300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,209300,,209300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209300,,209300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209300,,209300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209300,,209300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209300,,209300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209400,,209400,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,209400,,209400,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209400,,209400,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209400,,209400,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209400,,209400,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209400,,209400,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209700,,209700,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,209700,,209700,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209700,,209700,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209700,,209700,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209700,,209700,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209700,,209700,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209800,,209800,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,209800,,209800,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209800,,209800,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209800,,209800,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209800,,209800,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209800,,209800,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209900,,209900,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,209900,,209900,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,209900,,209900,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,209900,,209900,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,209900,,209900,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,209900,,209900,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,221555,,221555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,221555,,221555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,221555,,221555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,221555,,221555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,221555,,221555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,221555,,221555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,226555,,226555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,226555,,226555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,226555,,226555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,226555,,226555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,226555,,226555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,226555,,226555,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,228100,,228100,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,228100,,228100,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,228100,,228100,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,228100,,228100,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,228100,,228100,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,228100,,228100,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,228600,,228600,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,228600,,228600,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,228600,,228600,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,228600,,228600,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,228600,,228600,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,228600,,228600,,1999-02-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,230610,,230610,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,230610,,230610,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,230610,,230610,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,230610,,230610,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,230610,,230610,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,230610,,230610,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,230690,,230690,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,230690,,230690,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,230690,,230690,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,230690,,230690,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,230690,,230690,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,230690,,230690,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,239300,,239300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,239300,,239300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,239300,,239300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,239300,,239300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,239300,,239300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,239300,,239300,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,253050,,253050,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,253050,,253050,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,253050,,253050,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,253050,,253050,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,253050,,253050,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,253050,,253050,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,400002,,400002,,1997-07-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,400002,,400002,,1997-07-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,400002,,400002,,1997-07-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,400002,,400002,,1997-07-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,400002,,400002,,1997-07-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,400002,,400002,,1997-07-23,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,425100,,425100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,425100,,425100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,425100,,425100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,425100,,425100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,425100,,425100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,425100,,425100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,425150,,425150,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,425150,,425150,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,425150,,425150,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,425150,,425150,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,425150,,425150,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,425150,,425150,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,425200,,425200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,425200,,425200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,425200,,425200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,425200,,425200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,425200,,425200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,425200,,425200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,425300,,425300,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,425300,,425300,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,425300,,425300,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,425300,,425300,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,425300,,425300,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,425300,,425300,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,431900,,431900,,1997-01-08,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,431900,,431900,,1997-01-08,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,431900,,431900,,1997-01-08,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,431900,,431900,,1997-01-08,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,431900,,431900,,1997-01-08,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,431900,,431900,,1997-01-08,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,432100,,432100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,432100,,432100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,432100,,432100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,432100,,432100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,432100,,432100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,432100,,432100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,433100,,433100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,433100,,433100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,433100,,433100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,433100,,433100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,433100,,433100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,433100,,433100,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,433200,,433200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,433200,,433200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,433200,,433200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,433200,,433200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,433200,,433200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,433200,,433200,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,439000,,439000,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,439000,,439000,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,439000,,439000,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,439000,,439000,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,439000,,439000,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,439000,,439000,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,439100,,439100,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,439100,,439100,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,439100,,439100,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,439100,,439100,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,439100,,439100,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,439100,,439100,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,439200,,439200,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,439200,,439200,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,439200,,439200,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,439200,,439200,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,439200,,439200,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,439200,,439200,,1997-08-06,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,439900,,439900,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,439900,,439900,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,439900,,439900,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,439900,,439900,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,439900,,439900,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,439900,,439900,,1997-02-13,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,440100,,440100,,1997-01-14,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
