mandt,kurst,fcurr,tcurr,gdatu,ukurs,ffact,tfact,operation_flag,is_deleted,recordstamp
100,M,USD,ILS,79989898,4.076,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,PEN,79989898,3.52,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,RSD,79989898,62.8,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,UAH,79989898,5.4346,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,PLN,79989898,4.129,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,ZAR,79989898,7.561,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,SAR,79989898,3.7434,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,JPY,79989898,114.75,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,SKK,79989898,47.31,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,VEF,79989898,2.15,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,LTL,79989898,2.63,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,NOK,79989898,8.7708,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,MXN,79989898,9.71,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,INR,79989898,46.69,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,JPY,79779898,118.85241,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,RUB,79989898,28.515,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,KRW,79989898,1277.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,VEB,79989898,700.19,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,CLP,79989898,0.8216,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,VEF,79989898,1.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,CAD,79989898,2.137,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,ARS,79989898,1.4282,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,BRL,79989898,2.7864,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,JPY,79989898,16.4,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEB,PEN,79989898,5.02721,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,VEB,79989898,0.001,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,CAD,79989898,0.5,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,ARS,79989898,1.44,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,BRL,79989898,0.9,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,PEN,79989898,1.477,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,CLP,79989898,250.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,VEF,JPY,79989898,58.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,ZAR,JPY,79989898,15.176,,,I,False,2022-04-21 15:21:03.534689+00:00
100,MCA,AUD,GBP,79899898,1.5,,,I,False,2022-04-21 15:21:03.534689+00:00
100,MCA,AUD,CHF,79899898,1.3,,,I,False,2022-04-21 15:21:03.534689+00:00
0,P,EUR,JPY,79989898,108.5,,,L,False,2022-01-31 20:43:52.515723+00:00
1,P,EUR,JPY,79989898,108.5,,,L,False,2022-01-31 20:43:52.515723+00:00
50,P,EUR,JPY,79989898,108.5,,,L,False,2022-01-31 20:43:52.515723+00:00
100,P,EUR,JPY,79989898,108.5,,,L,False,2022-01-31 20:43:52.515723+00:00
200,P,EUR,JPY,79989898,108.5,,,L,False,2022-01-31 20:43:52.515723+00:00
250,P,EUR,JPY,79989898,108.5,,,L,False,2022-01-31 20:43:52.515723+00:00
0,P,USD,JPY,79989898,115.0,,,L,False,2022-01-31 20:43:52.515723+00:00
1,P,USD,JPY,79989898,115.0,,,L,False,2022-01-31 20:43:52.515723+00:00
50,P,USD,JPY,79989898,115.0,,,L,False,2022-01-31 20:43:52.515723+00:00
100,P,USD,JPY,79989898,115.0,,,L,False,2022-01-31 20:43:52.515723+00:00
200,P,USD,JPY,79989898,115.0,,,L,False,2022-01-31 20:43:52.515723+00:00
250,P,USD,JPY,79989898,115.0,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,AED,KWD,79989898,0.07731,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,AED,KWD,79989898,0.07731,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,AED,KWD,79989898,0.07731,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,AED,KWD,79989898,0.07731,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,AED,KWD,79989898,0.07731,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,AED,KWD,79989898,0.07731,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,AED,JPY,79989898,31.187,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,AED,JPY,79989898,31.187,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,AED,JPY,79989898,31.187,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,AED,JPY,79989898,31.187,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,AED,JPY,79989898,31.187,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,AED,JPY,79989898,31.187,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,VEF,79989898,0.696,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,VEF,79989898,0.696,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,VEF,79989898,0.696,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,VEF,79989898,0.696,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,VEF,79989898,0.696,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,VEF,79989898,0.696,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,CAD,79989898,1.496,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,CAD,79989898,1.496,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,CAD,79989898,1.496,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,CAD,79989898,1.496,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,CAD,79989898,1.496,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,CAD,79989898,1.496,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,BRL,79989898,1.951,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,BRL,79989898,1.951,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,BRL,79989898,1.951,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,BRL,79989898,1.951,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,BRL,79989898,1.951,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,BRL,79989898,1.951,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,MXN,79989898,9.7,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,MXN,79989898,9.7,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,MXN,79989898,9.7,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,MXN,79989898,9.7,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,MXN,79989898,9.7,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,MXN,79989898,9.7,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,PEN,79989898,3.52,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,PEN,79989898,3.52,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,PEN,79989898,3.52,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,PEN,79989898,3.52,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,PEN,79989898,3.52,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,PEN,79989898,3.52,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,COP,79989898,2.213,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,COP,79989898,2.213,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,COP,79989898,2.213,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,COP,79989898,2.213,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,COP,79989898,2.213,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,COP,79989898,2.213,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,JPY,79989898,114.75,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,JPY,79989898,114.75,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,JPY,79989898,114.75,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,JPY,79989898,114.75,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,JPY,79989898,114.75,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,JPY,79989898,114.75,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,CLP,79989898,575.28,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,CLP,79989898,575.28,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,CLP,79989898,575.28,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,CLP,79989898,575.28,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,CLP,79989898,575.28,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,CLP,79989898,575.28,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,ARS,VEB,79989898,700.0,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,ARS,VEB,79989898,700.0,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,ARS,VEB,79989898,700.0,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,ARS,VEB,79989898,700.0,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,ARS,VEB,79989898,700.0,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,ARS,VEB,79989898,700.0,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,AUD,NZD,79989898,0.8,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,AUD,NZD,79989898,0.8,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,AUD,NZD,79989898,0.8,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,AUD,NZD,79989898,0.8,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,AUD,NZD,79989898,0.8,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,AUD,NZD,79989898,0.8,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,AUD,JPY,79989898,64.15,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,AUD,JPY,79989898,64.15,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,AUD,JPY,79989898,64.15,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,AUD,JPY,79989898,64.15,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,AUD,JPY,79989898,64.15,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,AUD,JPY,79989898,64.15,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BGN,JPY,79989898,52.78,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BGN,JPY,79989898,52.78,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,BGN,JPY,79989898,52.78,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,BGN,JPY,79989898,52.78,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,BGN,JPY,79989898,52.78,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,BGN,JPY,79989898,52.78,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BHD,KWD,79989898,0.74768,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BHD,KWD,79989898,0.74768,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,BHD,KWD,79989898,0.74768,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,BHD,KWD,79989898,0.74768,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,BHD,KWD,79989898,0.74768,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,BHD,KWD,79989898,0.74768,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BRL,PEN,79989898,1.8,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BRL,PEN,79989898,1.8,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,BRL,PEN,79989898,1.8,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,BRL,PEN,79989898,1.8,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,BRL,PEN,79989898,1.8,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,BRL,PEN,79989898,1.8,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BRL,ARS,79989898,0.5125,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BRL,ARS,79989898,0.5125,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,BRL,ARS,79989898,0.5125,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,BRL,ARS,79989898,0.5125,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,BRL,ARS,79989898,0.5125,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,BRL,ARS,79989898,0.5125,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BRL,VEF,79989898,1.11,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BRL,VEF,79989898,1.11,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,BRL,VEF,79989898,1.11,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,BRL,VEF,79989898,1.11,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,BRL,VEF,79989898,1.11,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,BRL,VEF,79989898,1.11,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BRL,CAD,79989898,0.767,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BRL,CAD,79989898,0.767,,,L,False,2022-01-31 20:43:52.515723+00:00
50,M,BRL,CAD,79989898,0.767,,,L,False,2022-01-31 20:43:52.515723+00:00
100,M,BRL,CAD,79989898,0.767,,,L,False,2022-01-31 20:43:52.515723+00:00
200,M,BRL,CAD,79989898,0.767,,,L,False,2022-01-31 20:43:52.515723+00:00
250,M,BRL,CAD,79989898,0.767,,,L,False,2022-01-31 20:43:52.515723+00:00
0,M,BRL,COP,79989898,1.135,,,L,False,2022-01-31 20:43:52.515723+00:00
1,M,BRL,COP,79989898,1.135,,,L,False,2022-01-31 20:43:52.515723+00:00
