mandt,waers,isocd,altwr,gdatu,xprimary,operation_flag,is_deleted,recordstamp
50,BDT,BDT,50,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BDT,BDT,50,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BDT,BDT,50,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BDT,BDT,50,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BEF,BEF,56,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BEF,BEF,56,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BEF,BEF,56,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BEF,BEF,56,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BEF,BEF,56,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BEF,BEF,56,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BHD,BHD,48,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BHD,BHD,48,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BHD,BHD,48,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BHD,BHD,48,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BHD,BHD,48,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BHD,BHD,48,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BMD,BMD,60,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BMD,BMD,60,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BMD,BMD,60,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BMD,BMD,60,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BMD,BMD,60,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BMD,BMD,60,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BND,BND,96,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BND,BND,96,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BND,BND,96,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BND,BND,96,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BND,BND,96,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BND,BND,96,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BOB,BOB,68,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BOB,BOB,68,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BOB,BOB,68,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BOB,BOB,68,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BOB,BOB,68,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BOB,BOB,68,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BSD,BSD,44,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BSD,BSD,44,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BSD,BSD,44,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BSD,BSD,44,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BSD,BSD,44,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BSD,BSD,44,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BTN,BTN,64,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BTN,BTN,64,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BTN,BTN,64,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BTN,BTN,64,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BTN,BTN,64,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BTN,BTN,64,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BWP,BWP,72,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BWP,BWP,72,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BWP,BWP,72,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BWP,BWP,72,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BWP,BWP,72,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BWP,BWP,72,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BZD,BZD,84,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BZD,BZD,84,,,L,False,2022-01-31 20:43:51.581515+00:00
