mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
50,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
0,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
0,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
0,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
100,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
100,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
100,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
100,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
100,UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BT,BHT,,,,X,,,,X,,,,BT,BTN,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,675,,BHUTAN,,,,,,BTN,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BN,BRU,,,,X,,7,,X,,,,BN,BRN,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,703,,BRUNEI,,,,,,BND,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CN,CHI,6.0,4.0,22.0,X,,1,X,X,,,,CN,CHN,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CG,RCB,,,,X,,F,,X,,,,CG,COG,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CD,RCB,,,,,,F,,X,,,,CD,COD,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,318,,KONGO,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GS,,,,,,,E,,X,,,,GS,SGS,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,SANDWIC,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AX,,,,,,,U,,X,,,,AX,ALA,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,TF,,,,,,,F,,X,,,,TF,ATF,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,PS,,,,,,,A,,X,,,,PS,PSE,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,ME,MNE,5.0,4.0,,,,,,X,,,,ME,MNE,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
