mandt,mtart,mtref,mbref,flref,numki,numke,envop,bsext,bsint,pstat,kkref,vprsv,kzvpr,vmtpo,ekalr,kzgrp,kzkfg,begru,kzprc,kzpip,prdru,aranz,wmakg,izust,ardel,kzmpn,mstae,cchis,ctype,class,chneu,vtype,vnumki,vnumke,kzrac,operation_flag,is_deleted,recordstamp
50,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,WETT,WETT,ROH,WETT,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,ROH,ROH,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,ROH,ROH,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,ROH,ROH,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ROH,ROH,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,ROH,ROH,ROH,ROH,1.0,2.0,X,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,ROH,ROH,ROH,ROH,1.0,2.0,X,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ROH,ROH,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,COMP,ROH,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEGKLPQSXZ,1.0,S,X,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CONT,ROH,ROH,ROH,,,X,2.0,2.0,K,1.0,V,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CONU,ROH,HAWA,HAWA,,,X,2.0,2.0,CEKLVXZ,1.0,V,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ROH,ROH,ROH,ROH,,,X,2.0,0.0,BCDEGKLPQSVXZ,1.0,V,,,X,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,INTR,INTR,ROH,ROH,1.0,2.0,,0.0,0.0,BCKLQXZ,1.0,V,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PIPE,PIPE,ROH,ROH,1.0,2.0,,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,PIPE,PIPE,ROH,ROH,1.0,2.0,X,0.0,0.0,BCEKXZ,1.0,V,,,,,,,,X,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HIBE,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,HIBE,HIBE,ROH,ROH,1.0,2.0,X,2.0,0.0,BCDEKLPQSXZ,2.0,V,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,ERSA,HIBE,ROH,ROH,1.0,2.0,,2.0,0.0,BCDEKLPQSXZ,3.0,V,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEER,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEIH,VERP,ROH,VERP,1.0,2.0,X,2.0,1.0,BDEKLSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LGUT,VERP,LEER,VERP,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VERP,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,VERP,VERP,ROH,VERP,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,LEER,VERP,ROH,ROH,1.0,2.0,,2.0,1.0,BCDEKLPQSVXZ,4.0,V,,LEIH,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,EPA,VERP,ROH,VERP,1.0,2.0,,2.0,1.0,BDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ZPKG,VERP,ROH,VERP,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,4.0,V,,VERP,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,LGUT,VERP,ROH,VERP,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,4.0,V,,LEER,,,,,,,,,2.0,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,LEIH,VERP,ROH,VERP,,,X,2.0,1.0,BDEKLQSVXZ,4.0,V,,VERP,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
