mandt,spras,prctr,datbi,kokrs,ktext,ltext,mctxt,operation_flag,is_deleted,recordstamp
50,E,CA01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-02-01 14:21:36.035484+00:00
100,E,AP01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PURCH,9999-12-31,C001,Purchase,Profit center-Purchase,PURCHASE,I,False,2022-02-01 11:44:45.427012+00:00
50,E,US01PURCH,9999-12-31,C001,Purchase,Profit center-Purchase,PURCHASE,I,False,2022-02-12 15:23:22.109866+00:00
100,E,US01PURCH,9999-12-31,C001,Purchase,Profit center-Purchase,PURCHASE,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-02-01 11:16:39.956735+00:00
50,E,US02PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-02-01 12:07:00.931232+00:00
50,E,CA01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-Bar,SOAP-BAR,I,False,2022-02-01 13:45:01.714439+00:00
100,E,AP01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-BAR,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
50,E,CA01ELHC08,9999-12-31,C001,W-Gaming,W-Gaming,W-GAMING,I,False,2022-03-29 15:57:11.350475+00:00
50,E,US01ELHC08,9999-12-31,C001,W-Gaming,W-Gaming,W-GAMING,I,False,2022-03-29 16:09:58.525730+00:00
50,E,US02ELHC08,9999-12-31,C001,W-Gaming,W-Gaming,W-GAMING,I,False,2022-03-29 16:16:45.869439+00:00
100,E,CA01ELHC08,9999-12-31,C001,W-Gaming,W-Gaming,W-GAMING,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC08,9999-12-31,C001,W-Gaming,W-Gaming,W-GAMING,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC08,9999-12-31,C001,W-Gaming,W-Gaming,W-GAMING,I,False,2022-04-21 14:42:31.483479+00:00
50,E,AP01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-03-29 15:50:40.790070+00:00
50,E,CA01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-03-29 15:53:38.094870+00:00
50,E,EU01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-03-29 16:00:58.598916+00:00
50,E,US01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-03-29 16:10:36.570199+00:00
50,E,US02ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-03-29 16:17:21.181113+00:00
100,E,AP01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC03,9999-12-31,C001,W-Nettop,W-Nettop,W-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV10,9999-12-31,C001,Beer-Mild,Beer-Mild,BEER-MILD,I,False,2022-02-01 11:30:25.060982+00:00
50,E,CA01PSBV10,9999-12-31,C001,Beer-Mild,Beer-Mild,BEER-MILD,I,False,2022-02-01 13:57:24.738758+00:00
50,E,US02PSBV10,9999-12-31,C001,Beer-Mild,Beer-Mild,BEER-MILD,I,False,2022-02-01 12:19:51.799019+00:00
100,E,CA01PSBV10,9999-12-31,C001,Beer-Mild,Beer-Mild,BEER-MILD,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV10,9999-12-31,C001,Beer-Mild,Beer-Mild,BEER-MILD,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV10,9999-12-31,C001,Beer-Mild,Beer-Mild,BEER-MILD,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV15,9999-12-31,C001,Hard-Pure,Hard-Pure,HARD-PURE,I,False,2022-02-01 11:32:25.475780+00:00
50,E,CA01PSBV15,9999-12-31,C001,Hard-Pure,Hard-Pure,HARD-PURE,I,False,2022-02-01 13:58:53.327087+00:00
50,E,US02PSBV15,9999-12-31,C001,Hard-Pure,Hard-Pure,HARD-PURE,I,False,2022-02-01 12:21:36.345691+00:00
100,E,CA01PSBV15,9999-12-31,C001,Hard-Pure,Hard-Pure,HARD-PURE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV15,9999-12-31,C001,Hard-Pure,Hard-Pure,HARD-PURE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV15,9999-12-31,C001,Hard-Pure,Hard-Pure,HARD-PURE,I,False,2022-04-21 14:42:31.483479+00:00
50,E,CA01ELHC09,9999-12-31,C001,L-Desktop,L-Desktop Replacement,L-DESKTOP,I,False,2022-03-29 15:57:58.907367+00:00
50,E,US01ELHC09,9999-12-31,C001,L-Desktop,L-Desktop Replacement,L-DESKTOP,I,False,2022-03-29 16:04:20.053354+00:00
50,E,US02ELHC09,9999-12-31,C001,L-Desktop,L-Desktop Replacement,L-DESKTOP,I,False,2022-03-29 16:12:56.400641+00:00
100,E,CA01ELHC09,9999-12-31,C001,L-Desktop,L-Desktop Replacement,L-DESKTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC09,9999-12-31,C001,L-Desktop,L-Desktop Replacement,L-DESKTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC09,9999-12-31,C001,L-Desktop,L-Desktop Replacement,L-DESKTOP,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-02-01 11:24:47.906515+00:00
50,E,CA01PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-02-01 13:52:44.550257+00:00
50,E,US02PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-02-01 12:15:32.441843+00:00
100,E,AP01PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSFD08,9999-12-31,C001,Meat-Dark,Meat-Dark,MEAT-DARK,I,False,2022-04-21 14:42:31.483479+00:00
50,E,CA01ELHC07,9999-12-31,C001,W-Desktop,W-Desktop Replacement,W-DESKTOP,I,False,2022-03-29 15:56:30.118938+00:00
50,E,US01ELHC07,9999-12-31,C001,W-Desktop,W-Desktop Replacement,W-DESKTOP,I,False,2022-03-29 16:09:10.976597+00:00
50,E,US02ELHC07,9999-12-31,C001,W-Desktop,W-Desktop Replacement,W-DESKTOP,I,False,2022-03-29 16:16:12.914516+00:00
100,E,CA01ELHC07,9999-12-31,C001,W-Desktop,W-Desktop Replacement,W-DESKTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC07,9999-12-31,C001,W-Desktop,W-Desktop Replacement,W-DESKTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC07,9999-12-31,C001,W-Desktop,W-Desktop Replacement,W-DESKTOP,I,False,2022-04-21 14:42:31.483479+00:00
50,E,AP01ELHC02,9999-12-31,C001,W-Simline,W-Slimline,W-SIMLINE,I,False,2022-03-29 15:49:52.245078+00:00
100,E,AP01ELHC02,9999-12-31,C001,W-Simline,W-Slimline,W-SIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV13,9999-12-31,C001,Wine-Reds,Wine-Reds,WINE-REDS,I,False,2022-02-01 11:31:45.768100+00:00
50,E,CA01PSBV13,9999-12-31,C001,Wine-Reds,Wine-Reds,WINE-REDS,I,False,2022-02-01 13:58:15.586364+00:00
50,E,US02PSBV13,9999-12-31,C001,Wine-Reds,Wine-Reds,WINE-REDS,I,False,2022-02-01 12:20:53.177737+00:00
100,E,CA01PSBV13,9999-12-31,C001,Wine-Reds,Wine-Reds,WINE-REDS,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV13,9999-12-31,C001,Wine-Reds,Wine-Reds,WINE-REDS,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV13,9999-12-31,C001,Wine-Reds,Wine-Reds,WINE-REDS,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PGHP10,9999-12-31,C001,Wipes-Big,Wipes-Big,WIPES-BIG,I,False,2022-02-01 11:14:08.078971+00:00
50,E,US02PGHP10,9999-12-31,C001,Wipes-Big,Wipes-Big,WIPES-BIG,I,False,2022-02-01 12:04:07.364444+00:00
50,E,CA01PGHP10,9999-12-31,C001,Wipes-Big,Wipes-Big,WIPES-BIG,I,False,2022-02-01 13:42:37.415427+00:00
100,E,CA01PGHP10,9999-12-31,C001,Wipes-Big,Wipes-Big,WIPES-BIG,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PGHP10,9999-12-31,C001,Wipes-Big,Wipes-Big,WIPES-BIG,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PGHP10,9999-12-31,C001,Wipes-Big,Wipes-Big,WIPES-BIG,I,False,2022-04-21 14:42:31.483479+00:00
50,E,CA01ELHC05,9999-12-31,C001,L-Slimline,L-Slimline,L-SLIMLINE,I,False,2022-03-29 15:54:58.437172+00:00
50,E,US01ELHC05,9999-12-31,C001,L-Slimline,L-Slimline,L-SLIMLINE,I,False,2022-03-29 16:06:47.130133+00:00
50,E,US02ELHC05,9999-12-31,C001,L-Slimline,L-Slimline,L-SLIMLINE,I,False,2022-03-29 16:15:00.026304+00:00
100,E,CA01ELHC05,9999-12-31,C001,L-Slimline,L-Slimline,L-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC05,9999-12-31,C001,L-Slimline,L-Slimline,L-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC05,9999-12-31,C001,L-Slimline,L-Slimline,L-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-02-01 11:33:36.815376+00:00
50,E,CA01ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-02-01 14:21:58.704308+00:00
100,E,AP01ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHE02,9999-12-31,C001,LED-Curved,LED-Curved,LED-CURVED,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-02-01 11:24:29.608491+00:00
50,E,CA01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-02-01 13:52:27.124068+00:00
50,E,US02PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-02-01 12:15:15.197073+00:00
50,E,AP01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-02-01 14:40:39.093790+00:00
100,E,AP01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSFD07,9999-12-31,C001,Meat-Light,Meat-Light,MEAT-LIGHT,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PROD,9999-12-31,C001,Production,Profit center-Production,PRODUCTION,I,False,2022-02-01 11:44:20.602208+00:00
100,E,US01PROD,9999-12-31,C001,Production,Profit center-Production,PRODUCTION,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV09,9999-12-31,C001,Soda-Plain,Soda-Plain,SODA-PLAIN,I,False,2022-02-01 11:30:04.783317+00:00
50,E,CA01PSBV09,9999-12-31,C001,Soda-Plain,Soda-Plain,SODA-PLAIN,I,False,2022-02-01 13:57:05.396990+00:00
50,E,US02PSBV09,9999-12-31,C001,Soda-Plain,Soda-Plain,SODA-PLAIN,I,False,2022-02-01 12:19:33.427215+00:00
100,E,CA01PSBV09,9999-12-31,C001,Soda-Plain,Soda-Plain,SODA-PLAIN,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV09,9999-12-31,C001,Soda-Plain,Soda-Plain,SODA-PLAIN,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV09,9999-12-31,C001,Soda-Plain,Soda-Plain,SODA-PLAIN,I,False,2022-04-21 14:42:31.483479+00:00
50,E,CA01ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-03-29 15:52:55.860293+00:00
50,E,EU01ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-03-29 16:01:42.932466+00:00
50,E,US01ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-03-29 16:11:58.109229+00:00
50,E,US02ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-03-29 16:18:00.375028+00:00
100,E,CA01ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC02,9999-12-31,C001,W-Slimline,W-Slimline,W-SLIMLINE,I,False,2022-04-21 14:42:31.483479+00:00
50,E,CA01PSFD02,9999-12-31,C001,Yogurt-Flv,Yogurt-Flavoured,YOGURT-FLV,I,False,2022-02-01 13:51:05.842909+00:00
100,E,AP01PSFD02,9999-12-31,C001,Yogurt-Flv,Yogurt-Flavoured,YOGURT-FLV,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01PSFD02,9999-12-31,C001,Yogurt-Flv,Yogurt-Flavoured,YOGURT-FLV,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01PSFD02,9999-12-31,C001,Yogurt-Flv,Yogurt-Flavoured,YOGURT-FLV,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV11,9999-12-31,C001,Beer-Strong,Beer-Strong,BEER-STRONG,I,False,2022-02-01 11:31:07.509312+00:00
50,E,CA01PSBV11,9999-12-31,C001,Beer-Strong,Beer-Strong,BEER-STRONG,I,False,2022-02-01 13:57:40.966024+00:00
50,E,US02PSBV11,9999-12-31,C001,Beer-Strong,Beer-Strong,BEER-STRONG,I,False,2022-02-01 12:20:17.637600+00:00
100,E,CA01PSBV11,9999-12-31,C001,Beer-Strong,Beer-Strong,BEER-STRONG,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV11,9999-12-31,C001,Beer-Strong,Beer-Strong,BEER-STRONG,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV11,9999-12-31,C001,Beer-Strong,Beer-Strong,BEER-STRONG,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV01,9999-12-31,C001,Juice-Fresh,Juice-Fresh,JUICE-FRESH,I,False,2022-02-01 11:27:18.424514+00:00
50,E,US02PSBV01,9999-12-31,C001,Juice-Fresh,Juice-Fresh,JUICE-FRESH,I,False,2022-02-01 12:17:03.858800+00:00
100,E,AP01PSBV01,9999-12-31,C001,Juice-Fresh,Juice-Fresh,JUICE-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01PSBV01,9999-12-31,C001,Juice-Fresh,Juice-Fresh,JUICE-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV01,9999-12-31,C001,Juice-Fresh,Juice-Fresh,JUICE-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV01,9999-12-31,C001,Juice-Fresh,Juice-Fresh,JUICE-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01ELHC04,9999-12-31,C001,Linux-Tower,Linux-Tower,LINUX-TOWER,I,False,2022-02-01 11:37:28.978530+00:00
50,E,CA01ELHC04,9999-12-31,C001,Linux-Tower,Linux-Tower,LINUX-TOWER,I,False,2022-02-01 14:25:51.533525+00:00
50,E,US02ELHC04,9999-12-31,C001,Linux-Tower,Linux-Tower,LINUX-TOWER,I,False,2022-02-01 12:26:08.884369+00:00
50,E,US01PGPC05,9999-12-31,C001,Lotion-Body,Lotion-Body,LOTION-BODY,I,False,2022-02-01 11:17:39.384571+00:00
50,E,US02PGPC05,9999-12-31,C001,Lotion-Body,Lotion-Body,LOTION-BODY,I,False,2022-02-01 12:08:27.271475+00:00
50,E,CA01PGPC05,9999-12-31,C001,Lotion-Body,Lotion-Body,LOTION-BODY,I,False,2022-02-01 13:45:55.859104+00:00
100,E,CA01PGPC05,9999-12-31,C001,Lotion-Body,Lotion-Body,LOTION-BODY,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PGPC05,9999-12-31,C001,Lotion-Body,Lotion-Body,LOTION-BODY,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PGPC05,9999-12-31,C001,Lotion-Body,Lotion-Body,LOTION-BODY,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PGPC04,9999-12-31,C001,Lotion-Face,Lotion-Face,LOTION-FACE,I,False,2022-02-01 11:17:20.820526+00:00
50,E,US02PGPC04,9999-12-31,C001,Lotion-Face,Lotion-Face,LOTION-FACE,I,False,2022-02-01 12:07:55.996233+00:00
50,E,CA01PGPC04,9999-12-31,C001,Lotion-Face,Lotion-Face,LOTION-FACE,I,False,2022-02-01 13:45:36.361085+00:00
100,E,CA01PGPC04,9999-12-31,C001,Lotion-Face,Lotion-Face,LOTION-FACE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PGPC04,9999-12-31,C001,Lotion-Face,Lotion-Face,LOTION-FACE,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PGPC04,9999-12-31,C001,Lotion-Face,Lotion-Face,LOTION-FACE,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PGPC06,9999-12-31,C001,Lotion-Hand,Lotion-Hand,LOTION-HAND,I,False,2022-02-01 11:17:56.604695+00:00
50,E,US02PGPC06,9999-12-31,C001,Lotion-Hand,Lotion-Hand,LOTION-HAND,I,False,2022-02-01 12:08:49.936105+00:00
50,E,CA01PGPC06,9999-12-31,C001,Lotion-Hand,Lotion-Hand,LOTION-HAND,I,False,2022-02-01 13:46:13.751924+00:00
100,E,CA01PGPC06,9999-12-31,C001,Lotion-Hand,Lotion-Hand,LOTION-HAND,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PGPC06,9999-12-31,C001,Lotion-Hand,Lotion-Hand,LOTION-HAND,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PGPC06,9999-12-31,C001,Lotion-Hand,Lotion-Hand,LOTION-HAND,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV03,9999-12-31,C001,Mixed-Fresh,Mixed-Fresh,MIXED-FRESH,I,False,2022-02-01 11:27:52.509267+00:00
50,E,CA01PSBV03,9999-12-31,C001,Mixed-Fresh,Mixed-Fresh,MIXED-FRESH,I,False,2022-02-01 13:55:21.178763+00:00
50,E,US02PSBV03,9999-12-31,C001,Mixed-Fresh,Mixed-Fresh,MIXED-FRESH,I,False,2022-02-01 12:17:39.556104+00:00
100,E,CA01PSBV03,9999-12-31,C001,Mixed-Fresh,Mixed-Fresh,MIXED-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PSBV03,9999-12-31,C001,Mixed-Fresh,Mixed-Fresh,MIXED-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PSBV03,9999-12-31,C001,Mixed-Fresh,Mixed-Fresh,MIXED-FRESH,I,False,2022-04-21 14:42:31.483479+00:00
50,E,US01PSBV05,9999-12-31,C001,Sugar Plain,Sugar Plain,SUGAR PLAIN,I,False,2022-02-01 11:28:29.431058+00:00
