mandt,setclass,subclass,setname,langu,descript,operation_flag,is_deleted,recordstamp
800,0,,8C-RPMI,1,代表物料的间隔,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8C-SPCI,1,业务货币利润中心间隔,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8C-STAI,1,统计关键指标间隔,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8C-WERI,1,工厂的间隔,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-Z-ACT,1,实际数据,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-Z-PLN,1,计划数据,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS01-02,1,子公司的净收入,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-APV,1,成本:实际/计划/差异,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-IPA,1,成本:实际/计划/差异,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-IST,1,实际值类型：,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,GROUP01,1,group01,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PROCESS,1,流程成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_PRIM,1,初级成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,VALUTP0,1,预评估 (0),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ZZREGIO,1,位置,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ZZ_FEES,1,费用,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FLRVER1,1,变量版本 1,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FLRVER2,1,变量版本 2,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1COLUMN1,1,期初余额,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1COLUMN2,1,购置,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1COLUMN3,1,报废,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1COLUMN4,1,转帐,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1COLUMN5,1,增价,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1COLUMN6,1,期末余额,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7E-NSCHI,1,附加成本组件划分,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-HPKOS,1,重复制造成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-PCMNR,1,生产运动,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-VERSA,1,结果分析版本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8A-OPEN1,1,打开,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_PLEVL,1,记帐等级,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_RLDNR,1,分类帐,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_RRCTY,1,记录类型,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_RVERS,1,版本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FK3-SET1,1,K3 列表：股票,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FK3-SET2,1,K3 列表：借,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FK3-SET3,1,K3 列表：其它债务,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FOOD_ETC,1,冷食品和饮料,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FRSP_001,1,Frsp 劳动力,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FRSP_003,1,Frsp 差旅,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FRSP_006,1,转包商 frsp,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,FRSP_ALL,1,Frsp 劳动力,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-PLAN,1,类型的计划值：,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,OVERHEAD,1,间接费用成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,RISABC01,1,Dc r300 发送成本中心,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,RISABC02,1,Dc r301 发送成本中心,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,SPECREGS,1,特殊区域,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,TIME-ECO,1,设置用于 CE 组在 Co Area 2000,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ZZ_OTHER,1,其他服务项目,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0F-1.GLU1,1,Gsber 科目维度：,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-34,1,实际数据,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-50,1,附加组：总账版本/PrCtr1,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-51,1,附加组：总账版本/PrCtr2,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-5G,1,实际记录类型/期间 1,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-5I,1,实际记录类型/期间 2,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-5W,1,版本 000 & 固定价格/实际,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-60,1,资产负债表科目,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-61,1,分析期间 1（计划）,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-63,1,分析期间 2（计划）,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-65,1,收入和成本要素,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-67,1,所有期间的计划数据,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-6A,1,实际累积到本期,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-6C,1,计划累积到本期,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-MS-6E,1,计划数据,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-ZEIT1,1,分析期间 1,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-ZEIT2,1,分析期间 2,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-STACT,1,统计实际成本的附加集,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-STPLN,1,统计计划成本的附加集,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-ABVER1,1,差异版本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-PROCNR,1,生产过程,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-W11-SA,1,资金承诺,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-L-CBRKE,1,添加外部值,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-L-CBRKI,1,添加内部值,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-S-PERIO,1,期间,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS01-0010,1,货币（输入）,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS01-6000,1,业务类型权益 (数据项),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_RDIMEN,1,视图,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_RITCLG,1,帐目合并图,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G00-CURYR,1,本年,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G98-CURYR,1,当前会计年度,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ABTLG,1,Ca710 成本中心组,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACCT1,1,实用程序和维护,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACCT2,1,Materials & Supplies,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACCT3,1,人员费用,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACCTS,1,营业费用,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-APQTY,1,数量 / 计划数量的实际 / 差异,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-CURYR,1,当前会计年度,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-DEPT1,1,Corporate,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-DEPT2,1,Internal Services,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-DEPT3,1,产品,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-DEPTS,1,Ca710 成本中心组,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-KOKRS,1,成本控制范围 1000,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PCA_RLDNR,1,分类帐,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PCA_RRCTY,1,记录类型,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PCA_RVERS,1,版本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PLAN_COST,1,计划成本 - 预评估,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_SEC_QM,1,质量保证,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,TIME-ECO1,1,Hours-outsourcer 开票,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-A.CCSS,1,成本要素,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-L.CCSS,1,作业类型,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-S.CCSS,1,成本中心,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-ACT-PR,1,实际业务价格,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-O.CCSS,1,承诺,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-P.CCSS,1,当前年度的计划成本总计,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-PLN-PR,1,计划售价,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-Q.CCSS,1,统计计划成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-S.CCSS,1,目标成本当前年度总计,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_1000,1,土地及类似物,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_2000,1,建筑物,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_4000,1,建筑物改进,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,4EC1.FILCT,1,应付/应收科目,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,4EC2.FILCT,1,销售 / 物料费用,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,4FM_WF_ALL,1,全部,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-VALUTYP,1,评估,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-W21-ALL,1,PReq 承诺定单/销售定单,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-W22-ALL,1,采购定单承诺定单/销售定单,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-ZEILE-4,1,成本要素,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8A-COSTREV,1,销售收入和成本要素,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-Z-ACT-PR,1,实际价格,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,9-Z-PLN-PR,1,计划售价,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,C401.FILCT,1,科目应付/应收,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,C402.FILCT,1,支出/收入,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,C403.FILCT,1,已付的/已收入的利息,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,C404.FILCT,1,投资收入,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,CS_ECMCT_1,1,CS 重置集/汇总集,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G00-ACTTOT,1,实际总计,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G00-COAREA,1,成本控制范围,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G98-COAREA,1,成本控制范围 1000,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G98-SACCTS,1,营业成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACCT1S,1,实用程序和维护,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACTTOT,1,实际成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ACTUAL,1,实际值类型：,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-COAREA,1,成本控制范围 1000,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-ISTGES,1,实际成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-SACCTS,1,营业成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ICE1.FILCT,1,应付帐/应收帐,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ICE2.FILCT,1,支出/收入,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ICE3.FILCT,1,已付的/已收入的利息,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ICE4.FILCT,1,投资收入,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,K-KA1.KKBC,1,余额,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,KOSTL-EMPF,1,接收成本中心,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,O-KA1.CCSS,1,余额,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PCA_RBUKRS,1,公司代码,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_SEC_ABC,1,活动成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_SEC_ENG,1,生产成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_SEC_OTH,1,Other secondary costs,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,R404.FILCT,1,投资收入,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,WAERS.GLT2,1,货币集,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ZPERSON_NO,1,Rrb 的人员编号,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0B-GKR.GLT0,1,余额: 资产和负债,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-RPMAX-1,1,起始/结束期间 (1),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-RPMAX-2,1,起始/结束期间 (2),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-RYEAR-1,1,会计年度(1),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FL-RYEAR-2,1,会计年度(2),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0FLPLAN_FPR,1,固定价格的计划金额,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0R-LEDGER-V,1,分类帐(变量),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0SALL_REIMB,1,退还类别,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-C-EP.CCSS,1,行项目计划成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-C-IP.CCSS,1,实际/计划成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-C-IS.CCSS,1,实际/目标成本比较,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-C-LA.CCSS,1,作业类型统驭,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-AB.CCSS,1,成本要素/凭证号码,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-AS.CCSS,1,成本要素/成本中心,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-HK.CCSS,1,贷方,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-LB.CCSS,1,作业类型/凭证号码,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-LP.CCSS,1,作业类型/期间,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-SA.CCSS,1,成本中心/成本要素,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-SK.CCSS,1,总成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-SL.CCSS,1,成本中心/作业类型,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-L-ST.CCSS,1,统计过帐,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-AA.CCSS,1,承诺,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-AG.CCSS,1,结果分析(项目),L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-AW.CCSS,1,差异,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-VALUTYP,1,交易评估,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_11000,1,机械和设备,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_13000,1,交通工具,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_21000,1,设备和装置,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1FAGL_22000,1,低价值的设备和装置,L,False,2022-01-03 23:11:30.242775+00:00
