mandt,belnr,gjahr,buzei,cobl_nr,wrbtr,anln1,anln2,aplzl,aufnr,dabrz,fipos,fistl,fkber,geber,grant_nbr,gsber,imkey,kokrs,kostl,kstrg,paobjnr,prctr,ps_psp_pnr,recid,saknr,sgtxt,txjcd,vbeln,vbelp,vptnr,menge,mwskz,zekkn,bpmng,xunpl,lstar,prznr,aufpl,bukrs,shkzg,bzdat,bnkan_fw,xnegp,erlkz,fikrs,kblnr,kblpos,pargb,pernr,xskrl,nplnr,vornr,zuonr,meins,mwart,fwbas,hwbas,abper,ledat,menge_f,bpmng_f,werks,budget_pd,measure,fmfgus_key,koart,spgrs,aa_final_ind,aa_final_qty,aa_final_qty_f,parked_qty,parked_qty_f,operation_flag,is_deleted,recordstamp
100,5105600117,2022,1,2,3000.0,,,,,,,,,,,1,,C001,US011770,,,US01ELHC10,,,510020,,CA0000000,148,10,,10.0,I1,1,10.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
100,5105600121,2022,1,2,3000.0,,,,,,,,,,,1,,C001,US011770,,,US01ELHC10,,,510020,,CA0000000,148,10,,10.0,I1,1,10.0,,,,,C001,H,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600118,2022,1,2,1500.0,,,,,,,,,,,1,,C001,US014000,,,US01PURCH,,,500020,,CA0000000,150,10,,5.0,I0,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-02-02 11:17:37.632611+00:00
50,5105600120,2022,1,2,1500.0,,,,,,,,,,,1,,C001,US014000,,,US01PURCH,,,500020,,CA0000000,150,10,,5.0,I0,1,5.0,,,,,C001,H,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-02-02 15:00:27.002322+00:00
100,5105600118,2022,1,2,1500.0,,,,,,,,,,,1,,C001,US014000,,,US01PURCH,,,500020,,CA0000000,150,10,,5.0,I0,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
100,5105600120,2022,1,2,1500.0,,,,,,,,,,,1,,C001,US014000,,,US01PURCH,,,500020,,CA0000000,150,10,,5.0,I0,1,5.0,,,,,C001,H,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600119,2022,1,2,1500.0,,,,,,,,,,,1,,C001,US014000,,,US01PURCH,,,500020,,CA0000000,151,10,,5.0,I0,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-02-02 11:45:16.304755+00:00
100,5105600119,2022,1,2,1500.0,,,,,,,,,,,1,,C001,US014000,,,US01PURCH,,,500020,,CA0000000,151,10,,5.0,I0,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600131,2022,1,2,500.0,,,,,,,,,,,1,,C001,,,,US01PURCH,,,500010,,CA0000000,174,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-02-24 03:08:45.822225+00:00
100,5105600131,2022,1,2,500.0,,,,,,,,,,,1,,C001,,,,US01PURCH,,,500010,,CA0000000,174,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600132,2022,1,2,250.0,,,,,,,,,,,1,,C001,,,,US01PGHP02,,,500010,,CA0000000,863,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-17 18:12:55.349363+00:00
100,5105600132,2022,1,2,250.0,,,,,,,,,,,1,,C001,,,,US01PGHP02,,,500010,,CA0000000,863,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600133,2022,1,2,225.0,,,,,,,,,,,1,,C001,,,,US01PGHP01,,,500010,,CA0000000,1764,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-18 13:26:05.316162+00:00
100,5105600133,2022,1,2,225.0,,,,,,,,,,,1,,C001,,,,US01PGHP01,,,500010,,CA0000000,1764,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600134,2022,1,2,250.0,,,,,,,,,,,1,,C001,,,,US01PGHP02,,,500010,,CA0000000,1765,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-18 13:38:20.490264+00:00
100,5105600134,2022,1,2,250.0,,,,,,,,,,,1,,C001,,,,US01PGHP02,,,500010,,CA0000000,1765,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600135,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHE01,,,500010,,CA0000000,1769,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-18 15:14:50.068214+00:00
100,5105600135,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHE01,,,500010,,CA0000000,1769,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600136,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHE02,,,500010,,CA0000000,1773,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-18 17:12:06.531212+00:00
100,5105600136,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHE02,,,500010,,CA0000000,1773,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600137,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHC01,,,500010,,CA0000000,1827,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-19 03:07:38.558924+00:00
100,5105600137,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHC01,,,500010,,CA0000000,1827,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600138,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHC02,,,500010,,CA0000000,1828,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-19 03:28:46.442673+00:00
100,5105600138,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHC02,,,500010,,CA0000000,1828,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600139,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHC03,,,500010,,CA0000000,1829,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-03-19 03:35:30.892688+00:00
100,5105600139,2022,1,2,1500.0,,,,,,,,,,,1,,C001,,,,US01ELHC03,,,500010,,CA0000000,1829,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600140,2022,1,2,500.0,,,,,,,,,,,1,,C001,,,,US01PGPC01,,,500010,,CA0000000,6590,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-13 05:51:55.430771+00:00
100,5105600140,2022,1,2,500.0,,,,,,,,,,,1,,C001,,,,US01PGPC01,,,500010,,CA0000000,6590,10,,5.0,I1,1,5.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600141,2022,1,2,1000.0,,,,,,,,,,,1,,C001,,,,US01PSFD02,,,500010,,CA0000000,6591,10,,10.0,I1,1,10.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-13 06:14:40.311750+00:00
100,5105600141,2022,1,2,1000.0,,,,,,,,,,,1,,C001,,,,US01PSFD02,,,500010,,CA0000000,6591,10,,10.0,I1,1,10.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600142,2022,1,2,600.0,,,,,,,,,,,1,,C001,,,,US01PSBV01,,,500010,,CA0000000,6592,10,,6.0,I1,1,6.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-13 06:28:29.700637+00:00
100,5105600142,2022,1,2,600.0,,,,,,,,,,,1,,C001,,,,US01PSBV01,,,500010,,CA0000000,6592,10,,6.0,I1,1,6.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600105,2022,1,2,300.0,,,,,,,,,,,1,,C001,,,,CA01PGHP01,,,500010,,CA00,94,10,,10.0,P1,1,10.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600105,2022,1,2,300.0,,,,,,,,,,,1,,C001,,,,CA01PGHP01,,,500010,,CA00,94,10,,10.0,P1,1,10.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600106,2022,1,2,100.0,,,,,,,,,,,1,,C001,,,,CA01PSFD01,,,500010,,CA00,96,10,,10.0,P1,1,10.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600106,2022,1,2,100.0,,,,,,,,,,,1,,C001,,,,CA01PSFD01,,,500010,,CA00,96,10,,10.0,P1,1,10.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600107,2022,1,2,1200.0,,,,,,,,,,,1,,C001,,,,CA01ELHC02,,,500010,,CA00,97,10,,12.0,P1,1,12.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600107,2022,1,2,1200.0,,,,,,,,,,,1,,C001,,,,CA01ELHC02,,,500010,,CA00,97,10,,12.0,P1,1,12.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
100,5105600151,2022,1,2,300.0,,,,,,,,,,,1,,C001,,,,CA01ELHC02,,,500010,,CA00,6953,10,,3.0,P1,1,3.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
50,5105600143,2022,1,2,600.0,,,,,,,,,,,1,,C001,,,,CA01PGPC01,,,500010,,CA00,6953,10,,5.0,P1,1,5.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600152,2022,1,2,550.0,,,,,,,,,,,1,,C001,,,,CA01PGPC02,,,500010,,CA00,6954,10,,5.0,P1,1,5.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600153,2022,1,2,360.0,,,,,,,,,,,1,,C001,,,,CA01PSFD02,,,500010,,CA00,6957,10,,3.0,P1,1,3.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600154,2022,1,2,480.0,,,,,,,,,,,1,,C001,,,,CA01PSFD02,,,500010,,CA00,6958,10,,4.0,P1,1,4.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600155,2022,1,2,600.0,,,,,,,,,,,1,,C001,,,,CA01PSFD02,,,500010,,CA00,6956,10,,5.0,P1,1,5.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600156,2022,1,2,420.0,,,,,,,,,,,1,,C001,,,,CA01PGPC03,,,500010,,CA00,6955,10,,4.0,P1,1,4.0,,,,,C003,S,,,,,,,,,,,,,,EA,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600157,2022,1,2,315.0,,,,,,,,,,,1,,C001,,,,CA01PSFD07,,,500010,,CA00,6959,10,,3.0,P1,1,3.0,,,,,C003,S,,,,,,,,,,,,,,LB,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600158,2022,1,2,400.0,,,,,,,,,,,1,,C001,,,,CA01PSFD08,,,500010,,CA00,6960,10,,4.0,P1,1,4.0,,,,,C003,S,,,,,,,,,,,,,,LB,,,,,,,,3000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
50,5105600111,2022,1,2,300.0,,,,,,,,,,,1,,C001,,,,EU01PGHP01,,,500010,,,115,10,,10.0,V1,1,10.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-01-31 22:01:13.029791+00:00
100,5105600111,2022,1,2,300.0,,,,,,,,,,,1,,C001,,,,EU01PGHP01,,,500010,,,115,10,,10.0,V1,1,10.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600112,2022,1,2,100.0,,,,,,,,,,,1,,C001,,,,EU01PSFD01,,,500010,,,119,10,,10.0,V1,1,10.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-01-31 22:02:28.904005+00:00
100,5105600112,2022,1,2,100.0,,,,,,,,,,,1,,C001,,,,EU01PSFD01,,,500010,,,119,10,,10.0,V1,1,10.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600113,2022,1,2,2175.0,,,,,,,,,,,1,,C001,,,,EU01ELHC02,,,500010,,,120,10,,15.0,V1,1,15.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-01-31 22:03:27.206564+00:00
100,5105600113,2022,1,2,2175.0,,,,,,,,,,,1,,C001,,,,EU01ELHC02,,,500010,,,120,10,,15.0,V1,1,15.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
100,5105600159,2022,1,2,480.0,,,,,,,,,,,1,,C001,,,,EU01PGPC01,,,500010,,,6962,10,,4.0,V1,1,4.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
100,5105600160,2022,1,2,600.0,,,,,,,,,,,1,,C001,,,,EU01PGPC02,,,500010,,,6963,10,,5.0,V1,1,5.0,,,,,C004,S,,,,,,,,,,,,,,EA,,,,,,,,4000,,,,,,,,,,,I,False,2022-04-26 14:35:08.938799+00:00
50,5105600114,2022,1,2,3.0,,,,,,,,,,,1,,C001,,,,AP01PGHP01,,,500010,,,139,10,,10.0,V1,1,10.0,,,,,C005,S,,,,,,,,,,,,,,EA,,,,,,,,5000,,,,,,,,,,,I,False,2022-02-01 11:57:08.016878+00:00
100,5105600114,2022,1,2,3.0,,,,,,,,,,,1,,C001,,,,AP01PGHP01,,,500010,,,139,10,,10.0,V1,1,10.0,,,,,C005,S,,,,,,,,,,,,,,EA,,,,,,,,5000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600115,2022,1,2,1.0,,,,,,,,,,,1,,C001,,,,AP01PSFD01,,,500010,,,140,10,,10.0,V1,1,10.0,,,,,C005,S,,,,,,,,,,,,,,EA,,,,,,,,5000,,,,,,,,,,,I,False,2022-02-01 11:58:21.351722+00:00
100,5105600115,2022,1,2,1.0,,,,,,,,,,,1,,C001,,,,AP01PSFD01,,,500010,,,140,10,,10.0,V1,1,10.0,,,,,C005,S,,,,,,,,,,,,,,EA,,,,,,,,5000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600116,2022,1,2,20.0,,,,,,,,,,,1,,C001,,,,AP01ELHC02,,,500010,,,141,10,,10.0,V1,1,10.0,,,,,C005,S,,,,,,,,,,,,,,EA,,,,,,,,5000,,,,,,,,,,,I,False,2022-02-01 12:07:46.701741+00:00
100,5105600116,2022,1,2,20.0,,,,,,,,,,,1,,C001,,,,AP01ELHC02,,,500010,,,141,10,,10.0,V1,1,10.0,,,,,C005,S,,,,,,,,,,,,,,EA,,,,,,,,5000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
