mandt,ebeln,ebelp,loekz,statu,aedat,txz01,matnr,ematn,bukrs,werks,lgort,bednr,matkl,infnr,idnlf,ktmng,menge,meins,bprme,bpumz,bpumn,umrez,umren,netpr,peinh,netwr,brtwr,agdat,webaz,mwskz,bonus,insmk,spinf,prsdr,schpr,mahnz,mahn1,mahn2,mahn3,uebto,uebtk,untto,bwtar,bwtty,abskz,agmem,elikz,erekz,pstyp,knttp,kzvbr,vrtkz,twrkz,wepos,weunb,repos,webre,kzabs,labnr,konnr,ktpnr,abdat,abftz,etfz1,etfz2,kzstu,notkz,lmein,evers,zwert,navnw,abmng,prdat,bstyp,effwr,xoblr,kunnr,adrnr,ekkol,sktof,stafo,plifz,ntgew,gewei,txjcd,etdrk,sobkz,arsnr,arsps,insnc,ssqss,zgtyp,ean11,bstae,revlv,geber,fistl,fipos,ko_gsber,ko_pargb,ko_prctr,ko_pprctr,meprf,brgew,volum,voleh,inco1,inco2,vorab,kolif,ltsnr,packno,fplnr,gnetwr,stapo,uebpo,lewed,emlif,lblkz,satnr,attyp,vsart,handoverloc,kanba,adrn2,cuobj,xersy,eildt,drdat,druhr,drunr,aktnr,abeln,abelp,anzpu,punei,saiso,saisj,ebon2,ebon3,ebonf,mlmaa,mhdrz,anfnr,anfps,kzkfg,usequ,umsok,banfn,bnfpo,mtart,uptyp,upvor,kzwi1,kzwi2,kzwi3,kzwi4,kzwi5,kzwi6,sikgr,mfzhi,ffzhi,retpo,aurel,bsgru,lfret,mfrgr,nrfhg,j_1bnbm,j_1bmatuse,j_1bmatorg,j_1bownpro,j_1bindust,abueb,nlabd,nfabd,kzbws,bonba,fabkz,j_1aindxp,j_1aidatep,mprof,eglkz,kztlf,kzfme,rdprf,techs,chg_srv,chg_fplnr,mfrpn,mfrnr,emnfr,novet,afnam,tzonrc,iprkz,lebre,berid,xconditions,apoms,ccomp,grant_nbr,fkber,status,reslo,kblnr,kblpos,weora,srv_bas_com,prio_urg,prio_req,empst,diff_invoice,trmrisk_relevant,creationdate,creationtime,spe_abgru,spe_crm_so,spe_crm_so_item,spe_crm_ref_so,spe_crm_ref_item,spe_crm_fkrel,spe_chng_sys,spe_insmk_src,spe_cq_ctrltype,spe_cq_nocq,reason_code,cqu_sar,anzsn,spe_ewm_dtc,exlin,exsnr,ehtyp,retpc,dptyp,dppct,dpamt,dpdat,fls_rsto,ext_rfx_number,ext_rfx_item,ext_rfx_system,srm_contract_id,srm_contract_itm,blk_reason_id,blk_reason_txt,itcons,fixmg,wabwe,cmpl_dlv_itm,inco2_l,inco3_l,externalreferenceid,tc_aut_det,manual_tc_reason,fiscal_incentive,tax_subject_st,fiscal_incentive_id,sf_txjcd,bev1_negen_item,bev1_nedepfree,bev1_nestruccat,advcode,budget_pd,excpe,fmfgus_key,iuid_relevant,mrpind,sgt_scat,sgt_rcat,wrf_charstc1,wrf_charstc2,wrf_charstc3,refsite,serru,sernp,disub_sobkz,disub_pspnr,disub_kunnr,disub_vbeln,disub_posnr,disub_owner,fsh_season_year,fsh_season,fsh_collection,fsh_theme,fsh_atp_date,fsh_vas_rel,fsh_vas_prnt_id,fsh_transaction,fsh_item_group,fsh_item,fsh_ss,fsh_grid_cond_rec,fsh_psm_pfm_split,cnfm_qty,fsh_pqr_uepos,ref_item,source_id,source_key,put_back,pol_id,cons_order,operation_flag,is_deleted,recordstamp
100,4500000036,10,,V,2022-04-25,Super Saop Bar,C0000017,C0000017,C003,3000,,,01,5300000041.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,110.0,1.0,550.0,550.0,,,P1,,,C,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-24,F,550.0,,1000056.0,,,,SAP,,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PGPC02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000052.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,06:42:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000037,10,,V,2022-04-25,Cool Shower Gel,C0000018,C0000018,C003,3000,,,01,5300000042.0,,,4.0,EA,EA,1.0,1.0,1.0,1.0,105.0,1.0,420.0,420.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-24,F,420.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PGPC03,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000053.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,06:50:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000038,10,,V,2022-04-25,Flavored Yogurt,C0000034,C0000034,C003,3000,,,01,5300000043.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,600.0,600.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,600.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PSFD02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000054.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,07:02:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000039,10,,V,2022-04-25,Flavored Yogurt,C0000034,C0000034,C003,3000,,,01,5300000043.0,,,3.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,360.0,360.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,360.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PSFD02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000055.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,07:31:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000040,10,,V,2022-04-25,Flavored Yogurt,C0000034,C0000034,C003,3000,,,01,5300000043.0,,,4.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,480.0,480.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,480.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PSFD02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000056.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,07:36:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000041,10,,V,2022-04-25,White Meat,C0000039,C0000039,C003,3000,,,01,5300000044.0,,,3.0,LB,LB,1.0,1.0,1.0,1.0,105.0,1.0,315.0,315.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,LB,,,,,2022-04-25,F,315.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PSFD07,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000057.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,07:56:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000042,10,,V,2022-04-25,Red Meat,C0000040,C0000040,C003,3000,,,01,5300000045.0,,,4.0,LB,LB,1.0,1.0,1.0,1.0,100.0,1.0,400.0,400.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,LB,,,,,2022-04-25,F,400.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PSFD08,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000058.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,10:15:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000043,10,,V,2022-04-25,Cool Hand wash,C0000016,C0000016,C004,4000,,,01,5300000046.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,600.0,600.0,,,V1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,600.0,,1000057.0,,,,SAP,1.0,,KG,,,,,,,,,,,,,,,,,EU01PGPC01,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000059.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,UTC+1,,,,,,,,,,,,,,,,,,,,2022-04-25,10:23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000044,10,,V,2022-04-25,Cool Hand wash,C0000016,C0000016,C004,4000,,,01,5300000046.0,,,4.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,480.0,480.0,,,V1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,480.0,,1000057.0,,,,SAP,1.0,,KG,,,,,,,,,,,,,,,,,EU01PGPC01,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000060.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,,UTC+1,,,,,,,,,,,,,,,,,,,,2022-04-25,10:42:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000045,10,,V,2022-04-25,Super Saop Bar,C0000017,C0000017,C004,4000,,,01,5300000047.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,600.0,600.0,,,V1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,600.0,,1000057.0,,,,SAP,1.0,5.0,KG,,,,,,,,,,,,,,,,,EU01PGPC02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000061.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,UTC+1,,,,,,,,,,,,,,,,,,,,2022-04-25,10:53:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000046,10,,V,2022-04-25,Flavored Yogurt,C0000034,C0000034,C004,4000,,,01,5300000048.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,600.0,600.0,,,V1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,600.0,,1000057.0,,,,SAP,1.0,5.0,KG,,,,,,,,,,,,,,,,,EU01PSFD02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000062.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,UTC+1,,,,,,,,,,,,,,,,,,,,2022-04-25,11:02:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000047,10,,V,2022-04-25,Plant Based Clothes liquid  Detergent 5L,C0000002,C0000002,C005,5000,,,01,5300000049.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,1.2,1.0,6.0,6.0,,,,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-25,F,6.0,,1000058.0,,,,SAP,1.0,5.0,KG,,,,,,,,,,,,,,,,,AP01PGHP02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000063.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,JAPAN,,,,,,,,,,,,,,,,,,,,2022-04-25,12:11:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
