mandt,ebeln,ebelp,zekkn,loekz,aedat,kflag,menge,vproz,netwr,sakto,gsber,kostl,projn,vbeln,vbelp,veten,kzbrb,anln1,anln2,aufnr,wempf,ablad,kokrs,xbkst,xbauf,xbpro,erekz,kstrg,paobjnr,prctr,ps_psp_pnr,nplnr,aufpl,imkey,aplzl,vptnr,fipos,recid,fistl,geber,fkber,dabrz,aufpl_ord,aplzl_ord,mwskz,txjcd,navnw,kblnr,kblpos,lstar,prznr,grant_nbr,budget_pd,fm_split_batch,fm_split_begru,aa_final_ind,aa_final_reason,aa_final_qty,aa_final_qty_f,menge_f,fmfgus_key,egrup,vname,tcobjnr,dateofservice,notaxcorr,diffoptrate,hasdiffoptrate,operation_flag,is_deleted,recordstamp
50,4500000033,10,1,,,,5.0,,,500010,1.0,,,6595.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 08:09:38.151100+00:00
100,4500000000,10,1,,,,1.0,,,500010,1.0,,,52.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000001,10,1,,,,5.0,,,500010,1.0,,,53.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000002,10,1,,,,3.0,,,500010,1.0,,,63.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000003,10,1,,,,3.0,,,500010,1.0,,,64.0,10.0,1.0,,,,,,,C001,,,,,,,US01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000004,10,1,,,,3.0,,,500010,1.0,,,65.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000005,10,1,,,,1.0,,,500010,1.0,,,67.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000006,10,1,,,,10.0,,,500010,1.0,,,94.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000007,10,1,,,,10.0,,,500010,1.0,,,96.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000008,10,1,,,,12.0,,,500010,1.0,,,97.0,10.0,1.0,,,,,,,C001,,,,,,,CA01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000009,10,1,,,,10.0,,,500010,1.0,,,115.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000010,10,1,,,,10.0,,,500010,1.0,,,119.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000011,10,1,,,,15.0,,,500010,1.0,,,120.0,10.0,1.0,,,,,,,C001,,,,,,,EU01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000012,10,1,,,,10.0,,,500010,1.0,,,139.0,10.0,1.0,,,,,,,C001,,,,,,,AP01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000013,10,1,,,,10.0,,,500010,1.0,,,140.0,10.0,1.0,,,,,,,C001,,,,,,,AP01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000014,30,1,,,,10.0,,,500010,1.0,,,141.0,10.0,1.0,,,,,,,C001,,,,,,,AP01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000018,10,1,,,,5.0,,,500010,1.0,,,174.0,10.0,1.0,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000019,10,1,,,,5.0,,,500010,1.0,,,863.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000021,10,1,,,,5.0,,,500010,1.0,,,1764.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000022,10,1,,,,5.0,,,500010,1.0,,,1765.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000024,10,1,,,,5.0,,,500010,1.0,,,1768.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000025,10,1,,,,5.0,,,500010,1.0,,,1769.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000026,10,1,,,,5.0,,,500010,1.0,,,1773.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHE02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000027,10,1,,,,5.0,,,500010,1.0,,,1827.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000028,10,1,,,,5.0,,,500010,1.0,,,1828.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000029,10,1,,,,5.0,,,500010,1.0,,,1829.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000030,10,1,,,,5.0,,,500010,1.0,,,6590.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000031,10,1,,,,10.0,,,500010,1.0,,,6591.0,10.0,1.0,,,,,,,C001,,,,,,,US01PSFD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000032,10,1,,,,6.0,,,500010,1.0,,,6592.0,10.0,1.0,,,,,,,C001,,,,,,,US01PSBV01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000033,10,1,,,,5.0,,,500010,1.0,,,6595.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000034,10,1,,,,3.0,,,500010,1.0,,,6952.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000035,10,1,,,,3.0,,,500010,1.0,,,6953.0,10.0,1.0,,,,,,,C001,,,,,,,CA01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
50,4500000034,10,1,,,,5.0,,,500010,1.0,,,6953.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000036,10,1,,,,5.0,,,500010,1.0,,,6954.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PGPC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000037,10,1,,,,4.0,,,500010,1.0,,,6955.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PGPC03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000038,10,1,,,,5.0,,,500010,1.0,,,6956.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000039,10,1,,,,3.0,,,500010,1.0,,,6957.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000040,10,1,,,,4.0,,,500010,1.0,,,6958.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000041,10,1,,,,3.0,,,500010,1.0,,,6959.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000042,10,1,,,,4.0,,,500010,1.0,,,6960.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000043,10,1,,,,5.0,,,500010,1.0,,,6961.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000044,10,1,,,,4.0,,,500010,1.0,,,6962.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000045,10,1,,,,5.0,,,500010,1.0,,,6963.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGPC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000046,10,1,,,,5.0,,,500010,1.0,,,6964.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PSFD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000047,10,1,,,,5.0,,,500010,1.0,,,6965.0,10.0,1.0,,,,,,,C001,,,,,,,AP01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
100,4500000048,10,1,,,,5.0,,,500010,1.0,,,6966.0,10.0,1.0,,,,,,,C001,,,,,,,AP01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.521888+00:00
50,4500000016,10,1,,,,5.0,,,500020,1.0,US014000,,150.0,10.0,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 11:14:25.878204+00:00
50,4500000017,10,1,,,,5.0,,,500020,1.0,US014000,,151.0,10.0,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 11:44:19.224101+00:00
50,4500000018,10,1,,,,5.0,,,500020,1.0,US014000,,174.0,10.0,1.0,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-24 02:50:19.184296+00:00
100,4500000016,10,1,,,,5.0,,,500020,1.0,US014000,,150.0,10.0,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
100,4500000017,10,1,,,,5.0,,,500020,1.0,US014000,,151.0,10.0,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
50,4500000020,10,1,,,,5.0,,,510020,1.0,US014000,,,,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 12:12:48.828247+00:00
50,4500000020,10,1,,,,5.0,,,510020,1.0,US014000,,,,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-03-18 12:13:47.170574+00:00
100,4500000020,10,1,,,,5.0,,,510020,1.0,US014000,,,,,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
50,4500000015,10,1,,,,10.0,,,510020,1.0,US011770,,148.0,10.0,,,,,,,,C001,,,,,,,US01ELHC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 07:11:57.516623+00:00
50,4500000015,10,1,,,,10.0,,,510020,1.0,US011770,,148.0,10.0,,,,,,,,C001,,,,,,,US01ELHC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-02 07:18:05.162385+00:00
100,4500000015,10,1,,,,10.0,,,510020,1.0,US011770,,148.0,10.0,,,,,,,,C001,,,,,,,US01ELHC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
