client,addrnumber,date_from,nation,langu,remark,operation_flag,is_deleted,recordstamp
800,12125,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12413,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12504,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12606,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12615,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12664,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12707,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12710,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12757,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,12761,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,13074,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14030,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14150,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14723,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14725,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14775,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14817,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,14845,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15219,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15457,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15483,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15676,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15704,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15734,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,15774,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16109,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16183,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16493,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16536,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16598,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16803,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,16990,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,17155,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,17298,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,17637,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,17689,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,17901,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18001,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18059,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18253,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18435,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18519,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18655,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18741,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,18771,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19169,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19197,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19345,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19405,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19407,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19495,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19579,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19641,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19659,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19683,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19701,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19845,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,19883,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20181,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20223,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20363,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20469,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20667,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20733,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20757,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20927,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,20973,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21173,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21193,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21303,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21493,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21607,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21693,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21737,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21859,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,21999,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22091,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22101,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22133,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22139,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22239,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22879,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22895,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,22981,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23047,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23163,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23313,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23465,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23743,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23789,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23967,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,23991,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24013,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24071,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24193,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24327,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24399,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24467,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24621,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24679,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,24711,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25059,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25123,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25301,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25405,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25471,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25481,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25505,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25775,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,25873,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26031,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26273,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26425,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26517,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26565,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26607,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26681,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26769,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26799,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,26871,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27007,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27339,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27461,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27503,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27697,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27933,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,27993,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28025,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28059,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28107,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28367,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28397,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28401,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28547,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,28591,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
