mandt,matnr,ersda,ernam,laeda,aenam,vpsta,pstat,lvorm,mtart,mbrsh,matkl,bismt,meins,bstme,zeinr,zeiar,zeivr,zeifo,aeszn,blatt,blanz,ferth,formt,groes,wrkst,normt,labor,ekwsl,brgew,ntgew,gewei,volum,voleh,behvo,raube,tempb,disst,tragr,stoff,spart,kunnr,eannr,wesch,bwvor,bwscl,saiso,etiar,etifo,entar,ean11,numtp,laeng,breit,hoehe,meabm,prdha,aeklk,cadkz,qmpur,ergew,ergei,ervol,ervoe,gewto,volto,vabme,kzrev,kzkfg,xchpf,vhart,fuelg,stfak,magrv,begru,datab,liqdt,saisj,plgtp,mlgut,extwg,satnr,attyp,kzkup,kznfm,pmata,mstae,mstav,mstde,mstdv,taklv,rbnrm,mhdrz,mhdhb,mhdlp,inhme,inhal,vpreh,etiag,inhbr,cmeth,cuobf,kzumw,kosch,sprof,nrfhg,mfrpn,mfrnr,bmatn,mprof,kzwsm,saity,profl,ihivi,iloos,serlv,kzgvh,xgchp,kzeff,compl,iprkz,rdmhd,przus,mtpos_mara,bflme,matfi,cmrel,bbtyp,sled_bbd,gtin_variant,gennr,rmatp,gds_relevant,weora,hutyp_dflt,pilferable,whstc,whmatgr,hndlcode,hazmat,hutyp,tare_var,maxc,maxc_tol,maxl,maxb,maxh,maxdim_uom,herkl,mfrgr,qqtime,qqtimeuom,qgrp,serial,ps_smartform,logunit,cwqrel,cwqproc,cwqtolgr,adprof,ipmipproduct,allow_pmat_igno,medium,commodity,animal_origin,textile_comp_ind,sgt_csgr,sgt_covsa,sgt_stat,sgt_scope,sgt_rel,fsh_mg_at1,fsh_mg_at2,fsh_mg_at3,fsh_sealv,fsh_seaim,fsh_sc_mid,anp,psm_code,bev1_luleinh,bev1_luldegrp,bev1_nestruccat,dsd_sl_toltyp,dsd_sv_cnt_grp,dsd_vc_group,vso_r_tilt_ind,vso_r_stack_ind,vso_r_bot_ind,vso_r_top_ind,vso_r_stack_no,vso_r_pal_ind,vso_r_pal_ovr_d,vso_r_pal_ovr_w,vso_r_pal_b_ht,vso_r_pal_min_h,vso_r_tol_b_ht,vso_r_no_p_gvh,vso_r_quan_unit,vso_r_kzgvh_ind,packcode,dg_pack_status,mcond,retdelc,loglev_reto,nsnid,adspc_spc,imatn,picnum,bstat,color_atinn,size1_atinn,size2_atinn,color,size1,size2,free_char,care_code,brand_id,fiber_code1,fiber_part1,fiber_code2,fiber_part2,fiber_code3,fiber_part3,fiber_code4,fiber_part4,fiber_code5,fiber_part5,fashgrd,operation_flag,is_deleted,recordstamp
250,TEST MATERIAL 1,2022-01-28,GAIKWADPAWAR,,,KEDLB,KEDLB,,ROH,Z,DRY GOODS,,G,,,,,,,,,,,,,,,,200.0,200.0,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
200,MAT0005,2020-10-30,UNICORN,2020-11-19,UNICORN,KCVEPLSQB,KCVEPLSQB,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,8000800080001000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:19+00:00
200,MAT0006,2020-10-30,UNICORN,2020-11-19,UNICORN,KCVEPLSQBG,KCVEPLSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,8000800080001000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:19+00:00
200,MAT0007,2020-10-30,UNICORN,2020-11-19,UNICORN,KCVEPLSQBG,KCVEPLSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,8000800080004000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:19+00:00
800,MAT0001,2015-10-30,CPMPM,,,KCVELSQBG,KCVELSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0002,2015-10-30,CPMPM,,,KCVELSQBG,KCVELSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0003,2015-10-30,CPMPM,,,KCVEPLSQBG,KCVEPLSQBG,,ROH,A,01005,,M,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0004,2015-10-30,CPMPM,,,KCVEPLSQBG,KCVEPLSQBG,,ROH,A,01005,,L,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0005,2015-10-30,CPMPM,2015-11-19,CPMPM,KCVEPLSQB,KCVEPLSQB,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0006,2015-10-30,CPMPM,2015-11-19,CPMPM,KCVEPLSQBG,KCVEPLSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0007,2015-10-30,CPMPM,2015-11-19,CPMPM,KCVEPLSQBG,KCVEPLSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0008,2015-10-30,CPMPM,,,KCVELSQBG,KCVELSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0009,2015-10-30,CPMPM,,,KCVELSQBG,KCVELSQBG,,ROH,A,01005,,M,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,MAT0010,2015-10-30,CPMPM,,,KCVELSQBG,KCVELSQBG,,ROH,A,01005,,EA,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,IBG-TAPE,2002-08-09,GRACH,,,KDLBPCG,KDLBPCG,,ROH,M,006,,ST,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,IBG-ADHESIVE,2002-08-09,GRACH,,,KDLBPCG,KDLBPCG,,ROH,M,006,,ST,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,REBAR,2014-11-19,CPM-PM,2014-11-21,CPM-PM,KCVEDPLSQBGX,KCVEDPLSQBG,,ROH,M,01005,,LB,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,CONCRETE-1,2014-11-19,CPM-PM,2014-11-21,CPM-PM,KCVEDPLSQBGX,KCVEDPLSQBG,,ROH,M,01005,,YD3,,,,,,,,0.0,,,,,,,,,,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,CEMENT,2011-03-30,I065659,2013-10-09,I064755,KEBLG,KEBLG,,ROH,A,01005,,TO,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,GOAT,2014-09-08,I077577,2014-09-09,I306857,KCEDLBGZX,KCEDLBG,,ROH,F,01503,,KG,,,,,,,,0.0,,,,,,,,,,KG,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,CATTLE,2014-09-08,I077577,2014-09-09,I306857,KCEDLBGZX,KCEDLBG,,ROH,F,01503,,KG,,,,,,,,0.0,,,,,,,,,,KG,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,WHEAT,2014-11-19,I308411,2015-02-27,I048863,KELBXQD,KELBQD,,ROH,F,00706,,KG,TO,,,,,,,0.0,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,CMR-109,2003-09-22,RIEDE,,,KEDBG,KEDBG,,ROH,M,040,,EA,,,,,,,,0.0,,,,,,,,85.0,82.0,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:06:04.357948+00:00
