mandt,vbeln,fkart,fktyp,vbtyp,waerk,vkorg,vtweg,kalsm,knumv,vsbed,fkdat,belnr,gjahr,poper,konda,kdgrp,bzirk,pltyp,inco1,inco2,expkz,rfbsk,mrnkz,kurrf,cpkur,valtg,valdt,zterm,zlsch,ktgrd,land1,regio,counc,cityc,bukrs,taxk1,taxk2,taxk3,taxk4,taxk5,taxk6,taxk7,taxk8,taxk9,netwr,zukri,ernam,erzet,erdat,stafo,kunrg,kunag,maber,stwae,exnum,stceg,aedat,sfakn,knuma,fkart_rl,fkdat_rl,kurst,mschl,mansp,spart,kkber,knkli,cmwae,cmkuf,hityp_pr,bstnk_vf,vbund,fkart_ab,kappl,landtx,stceg_h,stceg_l,xblnr,zuonr,mwsbk,logsys,fksto,xegdr,rplnr,lcnum,j_1afitp,kurrf_dat,akwae,akkur,kidno,bvtyp,numpg,bupla,vkont,fkk_docstat,nrzas,spe_billing_ind,vtref,fk_source_sys,fktyp_crm,stgrd,vbtyp_ext,j_1tpbupl,incov,inco2_l,inco3_l,glo_log_ref1_hd,dpc_rel,mndid,pay_type,sepon,mndvg,sppaym,sppord,operation_flag,is_deleted,recordstamp
800,90036885,LR,R,3,DEM,1000,10,RVAA01,75518,,1997-04-30,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,990000.0,,MICHALSKY,11:18:49,2008-07-24,,1050,,,EUR,,,,,,LR,1997-04-30,,,,0,,,,,,,,,,,,,90036885,,148500.0,T90CLNT090,,,,,,1997-04-30,,,90036885,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036921,LR,R,3,EUR,1000,10,RVAA01,75554,,2001-10-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,119642.4,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2001-10-31,,,,0,,,,,,,,,,,,,90036921,,19142.78,T90CLNT090,,,,,,2001-10-31,,,90036921,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036937,LR,R,3,EUR,1000,10,RVAA01,75570,,2003-09-30,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,432779.3,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2003-09-30,,,,0,,,,,,,,,,,,,90036937,,69244.69,T90CLNT090,,,,,,2003-09-30,,,90036937,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036891,LR,R,3,DEM,1000,10,RVAA01,75524,,1997-10-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,97600.0,,MICHALSKY,11:18:50,2008-07-24,,1050,,,EUR,,,,,,LR,1997-10-31,,,,0,,,,,,,,,,,,,90036891,,14640.0,T90CLNT090,,,,,,1997-10-31,,,90036891,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036919,LR,R,3,EUR,1000,10,RVAA01,75552,,2001-08-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,405834.1,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2001-08-31,,,,0,,,,,,,,,,,,,90036919,,64933.46,T90CLNT090,,,,,,2001-08-31,,,90036919,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036943,LR,R,3,EUR,1000,10,RVAA01,75576,,2004-03-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,613033.6,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2004-03-31,,,,0,,,,,,,,,,,,,90036943,,98085.38,T90CLNT090,,,,,,2004-03-31,,,90036943,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036956,LR,R,3,EUR,1000,10,RVAA01,75589,,2005-08-31,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,613033.6,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2005-08-31,,,,0,,,,,,,,,,,,,90036956,,98085.38,T90CLNT090,,,,,,2005-08-31,,,90036956,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036895,LR,R,3,DEM,1000,10,RVAA01,75528,,1998-05-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,310040.0,,MICHALSKY,11:18:50,2008-07-24,,1050,,,EUR,,,,,,LR,1998-05-31,,,,0,,,,,,,,,,,,,90036895,,46506.0,T90CLNT090,,,,,,1998-05-31,,,90036895,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036914,LR,R,3,EUR,1000,10,RVAA01,75547,,2001-03-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,233301.9,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2001-03-31,,,,0,,,,,,,,,,,,,90036914,,37328.3,T90CLNT090,,,,,,2001-03-31,,,90036914,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036932,LR,R,3,EUR,1000,10,RVAA01,75565,,2003-04-30,,0,0,,,,,,,,,,1.0,,0,,0001,,,,,,,1000,,,,,,,,,,24000.0,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2003-04-30,,,,0,,,,,,,,,,,,,90036932,,3840.0,T90CLNT090,,,,,,2003-04-30,,,90036932,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036887,LR,R,3,DEM,1000,10,RVAA01,75520,,1997-06-30,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,382440.0,,MICHALSKY,11:18:49,2008-07-24,,1050,,,EUR,,,,,,LR,1997-06-30,,,,0,,,,,,,,,,,,,90036887,,57366.0,T90CLNT090,,,,,,1997-06-30,,,90036887,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036974,LR,R,3,EUR,1000,10,RVAA01,75607,,2008-02-29,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,190384.8,,MICHALSKY,11:18:55,2008-07-24,,1050,,,EUR,,,,,,LR,2008-02-29,,,,0,,,,,,,,,,,,,90036974,,36173.12,T90CLNT090,,,,,,2008-02-29,,,90036974,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036918,LR,R,3,EUR,1000,10,RVAA01,75551,,2001-07-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,669955.4,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2001-07-31,,,,0,,,,,,,,,,,,,90036918,,107192.87,T90CLNT090,,,,,,2001-07-31,,,90036918,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036934,LR,R,3,EUR,1000,10,RVAA01,75567,,2003-06-30,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,534069.0,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2003-06-30,,,,0,,,,,,,,,,,,,90036934,,85451.04,T90CLNT090,,,,,,2003-06-30,,,90036934,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036965,LR,R,3,EUR,1000,10,RVAA01,75598,,2007-05-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,171528.5,,MICHALSKY,11:18:54,2008-07-24,,1050,,,EUR,,,,,,LR,2007-05-31,,,,0,,,,,,,,,,,,,90036965,,32590.41,T90CLNT090,,,,,,2007-05-31,,,90036965,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036973,LR,R,3,EUR,1000,10,RVAA01,75606,,2008-01-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,171875.9,,MICHALSKY,11:18:55,2008-07-24,,1050,,,EUR,,,,,,LR,2008-01-31,,,,0,,,,,,,,,,,,,90036973,,32656.42,T90CLNT090,,,,,,2008-01-31,,,90036973,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036977,LR,R,3,EUR,1000,10,RVAA01,75610,,2008-05-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,171528.5,,MICHALSKY,11:18:56,2008-07-24,,1050,,,EUR,,,,,,LR,2008-05-31,,,,0,,,,,,,,,,,,,90036977,,32590.41,T90CLNT090,,,,,,2008-05-31,,,90036977,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036978,LR,R,3,EUR,1000,10,RVAA01,75611,,2008-06-30,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,179126.2,,MICHALSKY,11:18:56,2008-07-24,,1050,,,EUR,,,,,,LR,2008-06-30,,,,0,,,,,,,,,,,,,90036978,,34033.97,T90CLNT090,,,,,,2008-06-30,,,90036978,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036942,LR,R,3,EUR,1000,10,RVAA01,75575,,2004-02-29,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,480808.8,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2004-02-29,,,,0,,,,,,,,,,,,,90036942,,76929.41,T90CLNT090,,,,,,2004-02-29,,,90036942,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036970,LR,R,3,EUR,1000,10,RVAA01,75603,,2007-10-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,201489.5,,MICHALSKY,11:18:55,2008-07-24,,1050,,,EUR,,,,,,LR,2007-10-31,,,,0,,,,,,,,,,,,,90036970,,38283.0,T90CLNT090,,,,,,2007-10-31,,,90036970,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036896,LR,R,3,DEM,1000,10,RVAA01,75529,,1998-10-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,322400.0,,MICHALSKY,11:18:50,2008-07-24,,1050,,,EUR,,,,,,LR,1998-10-31,,,,0,,,,,,,,,,,,,90036896,,51584.0,T90CLNT090,,,,,,1998-10-31,,,90036896,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036907,LR,R,3,DEM,1000,10,RVAA01,75540,,2000-07-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,1184980.0,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-07-31,,,,0,,,,,,,,,,,,,90036907,,189596.8,T90CLNT090,,,,,,2000-07-31,,,90036907,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036931,LR,R,3,EUR,1000,10,RVAA01,75564,,2003-04-08,,0,0,,,,,,,,,,1.0,,0,,0001,,,,,,,1000,,,,,,,,,,60000.0,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2003-04-08,,,,0,,,,,,,,,,,,,90036931,,9600.0,T90CLNT090,,,,,,2003-04-08,,,90036931,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036903,LR,R,3,DEM,1000,10,RVAA01,75536,,2000-01-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,1465190.0,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-01-31,,,,0,,,,,,,,,,,,,90036903,,234430.4,T90CLNT090,,,,,,2000-01-31,,,90036903,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036961,LR,R,3,EUR,1000,10,RVAA01,75594,,2007-01-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,171875.9,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2007-01-31,,,,0,,,,,,,,,,,,,90036961,,32656.42,T90CLNT090,,,,,,2007-01-31,,,90036961,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036899,LR,R,3,DEM,1000,10,RVAA01,75532,,1999-03-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,2605020.0,,MICHALSKY,11:18:50,2008-07-24,,1050,,,EUR,,,,,,LR,1999-03-31,,,,0,,,,,,,,,,,,,90036899,,416803.2,T90CLNT090,,,,,,1999-03-31,,,90036899,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036924,LR,R,3,EUR,1000,10,RVAA01,75557,,2002-02-28,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,390055.6,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2002-02-28,,,,0,,,,,,,,,,,,,90036924,,62408.9,T90CLNT090,,,,,,2002-02-28,,,90036924,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036933,LR,R,3,EUR,1000,10,RVAA01,75566,,2003-05-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,423647.6,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2003-05-31,,,,0,,,,,,,,,,,,,90036933,,67783.62,T90CLNT090,,,,,,2003-05-31,,,90036933,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036948,LR,R,3,EUR,1000,10,RVAA01,75581,,2004-10-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,411284.5,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2004-10-31,,,,0,,,,,,,,,,,,,90036948,,65805.52,T90CLNT090,,,,,,2004-10-31,,,90036948,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036950,LR,R,3,EUR,1000,10,RVAA01,75583,,2004-12-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,528542.0,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2004-12-31,,,,0,,,,,,,,,,,,,90036950,,84566.72,T90CLNT090,,,,,,2004-12-31,,,90036950,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036958,LR,R,3,EUR,1000,10,RVAA01,75591,,2005-10-31,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,647004.1,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2005-10-31,,,,0,,,,,,,,,,,,,90036958,,103520.65,T90CLNT090,,,,,,2005-10-31,,,90036958,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036911,LR,R,3,EUR,1000,10,RVAA01,75544,,2000-12-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,73114.8,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-12-31,,,,0,,,,,,,,,,,,,90036911,,11698.37,T90CLNT090,,,,,,2000-12-31,,,90036911,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036938,LR,R,3,EUR,1000,10,RVAA01,75571,,2003-10-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,596868.2,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2003-10-31,,,,0,,,,,,,,,,,,,90036938,,95498.91,T90CLNT090,,,,,,2003-10-31,,,90036938,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036971,LR,R,3,EUR,1000,10,RVAA01,75604,,2007-11-30,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,193513.5,,MICHALSKY,11:18:55,2008-07-24,,1050,,,EUR,,,,,,LR,2007-11-30,,,,0,,,,,,,,,,,,,90036971,,36767.56,T90CLNT090,,,,,,2007-11-30,,,90036971,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036954,LR,R,3,EUR,1000,10,RVAA01,75587,,2005-06-30,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,469815.2,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2005-06-30,,,,0,,,,,,,,,,,,,90036954,,75170.43,T90CLNT090,,,,,,2005-06-30,,,90036954,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036957,LR,R,3,EUR,1000,10,RVAA01,75590,,2005-09-30,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,538907.5,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2005-09-30,,,,0,,,,,,,,,,,,,90036957,,86225.2,T90CLNT090,,,,,,2005-09-30,,,90036957,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036910,LR,R,3,EUR,1000,10,RVAA01,75543,,2000-11-30,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,625820.4,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-11-30,,,,0,,,,,,,,,,,,,90036910,,100131.27,T90CLNT090,,,,,,2000-11-30,,,90036910,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036926,LR,R,3,EUR,1000,10,RVAA01,75559,,2002-04-30,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,576743.5,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2002-04-30,,,,0,,,,,,,,,,,,,90036926,,92278.96,T90CLNT090,,,,,,2002-04-30,,,90036926,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036972,LR,R,3,EUR,1000,10,RVAA01,75605,,2007-12-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,179463.3,,MICHALSKY,11:18:55,2008-07-24,,1050,,,EUR,,,,,,LR,2007-12-31,,,,0,,,,,,,,,,,,,90036972,,34098.03,T90CLNT090,,,,,,2007-12-31,,,90036972,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036913,LR,R,3,EUR,1000,10,RVAA01,75546,,2001-02-28,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,442802.3,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2001-02-28,,,,0,,,,,,,,,,,,,90036913,,70848.37,T90CLNT090,,,,,,2001-02-28,,,90036913,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036930,LR,R,3,EUR,1000,10,RVAA01,75563,,2002-12-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,371597.9,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2002-12-31,,,,0,,,,,,,,,,,,,90036930,,59455.66,T90CLNT090,,,,,,2002-12-31,,,90036930,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036963,LR,R,3,EUR,1000,10,RVAA01,75596,,2007-03-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,180619.2,,MICHALSKY,11:18:54,2008-07-24,,1050,,,EUR,,,,,,LR,2007-03-31,,,,0,,,,,,,,,,,,,90036963,,34317.65,T90CLNT090,,,,,,2007-03-31,,,90036963,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036912,LR,R,3,EUR,1000,10,RVAA01,75545,,2001-01-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,301970.2,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2001-01-31,,,,0,,,,,,,,,,,,,90036912,,48315.23,T90CLNT090,,,,,,2001-01-31,,,90036912,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
