mandt,belnr,gjahr,buzei,ebeln,ebelp,zekkn,matnr,bwkey,bwtar,bukrs,werks,wrbtr,shkzg,mwskz,txjcd,menge,bstme,bpmng,bprme,lbkum,vrkum,meins,pstyp,knttp,bklas,erekz,exkbe,xekbz,tbtkz,spgrp,spgrm,spgrt,spgrg,spgrv,spgrq,spgrs,spgrc,spgrext,bustw,xblnr,xrueb,bnkan,kschl,salk3,vmsal,xlifo,lfbnr,lfgja,lfpos,matbf,rbmng,bprbm,rbwwr,lfehl,gricd,grirg,gityp,packno,introw,sgtxt,xskrl,kzmek,mrmok,stunr,zaehk,stock_posting,stock_posting_pp,stock_posting_py,werec,lifnr,frbnr,xhistma,complaint_reason,retamt_fc,retpc,retduedt,xrettaxnet,re_account,erp_contract_id,erp_contract_itm,srm_contract_id,srm_contract_itm,cont_pstyp,srvmapkey,charg,inv_itm_origin,invrel,xdinv,diff_amount,xcprf,fsh_season_year,fsh_season,fsh_collection,fsh_theme,hsn_sac,customs_val,licno,zeile,sgt_scat,wrf_charstc1,wrf_charstc2,wrf_charstc3,operation_flag,is_deleted,recordstamp
50,5105600135,2022,1,4500000025,10,1.0,C0000059,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 15:14:50.929475+00:00
50,5105600133,2022,1,4500000021,10,1.0,C0000001,1000,,C001,1000,225.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 13:26:05.612099+00:00
50,5105600134,2022,1,4500000022,10,1.0,C0000002,1000,,C001,1000,250.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 13:38:20.939139+00:00
50,5105600132,2022,1,4500000019,10,1.0,C0000002,1000,,C001,1000,250.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-17 18:12:55.953381+00:00
50,5105600136,2022,1,4500000026,10,1.0,C0000060,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 17:12:06.900634+00:00
50,5105600137,2022,1,4500000027,10,1.0,C0000068,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:07:38.820003+00:00
50,5105600138,2022,1,4500000028,10,1.0,C0000069,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:28:47.273447+00:00
50,5105600139,2022,1,4500000029,10,1.0,C0000070,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:35:35.675628+00:00
50,5105600140,2022,1,4500000030,10,1.0,C0000016,1000,,C001,1000,500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 05:51:55.733215+00:00
50,5105600141,2022,1,4500000031,10,1.0,C0000034,1000,,C001,1000,1000.0,S,I1,CA0000000,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 06:14:40.582844+00:00
50,5105600142,2022,1,4500000032,10,1.0,C0000044,1000,,C001,1000,600.0,S,I1,CA0000000,6.0,EA,6.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 06:28:29.812247+00:00
100,5105600101,2022,1,4500000002,10,1.0,C0000003,1000,,C001,1000,15.0,S,I1,CA0000000,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600102,2022,1,4500000003,10,1.0,C0000033,1000,,C001,1000,150.0,S,I1,CA0000000,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600103,2022,1,4500000004,10,1.0,C0000076,1000,,C001,1000,1200.0,S,I1,CA0000000,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000076,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600104,2022,1,4500000005,10,1.0,C0000076,1000,,C001,1000,100.0,S,I1,CA0000000,1.0,EA,1.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000076,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600117,2022,1,4500000015,10,1.0,C0000077,1000,,C001,1000,3000.0,S,I1,CA0000000,10.0,EA,10.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600118,2022,1,4500000016,10,1.0,C0000077,1000,,C001,1000,1500.0,S,I0,CA0000000,5.0,EA,5.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600119,2022,1,4500000017,10,1.0,C0000077,1000,,C001,1000,1500.0,S,I0,CA0000000,5.0,EA,5.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600120,2022,1,4500000016,10,1.0,C0000077,1000,,C001,1000,1500.0,H,I0,CA0000000,5.0,EA,5.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600121,2022,1,4500000015,10,1.0,C0000077,1000,,C001,1000,3000.0,H,I1,CA0000000,10.0,EA,10.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600131,2022,1,4500000018,10,1.0,C0000076,1000,,C001,1000,500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000076,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600132,2022,1,4500000019,10,1.0,C0000002,1000,,C001,1000,250.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600133,2022,1,4500000021,10,1.0,C0000001,1000,,C001,1000,225.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600134,2022,1,4500000022,10,1.0,C0000002,1000,,C001,1000,250.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600135,2022,1,4500000025,10,1.0,C0000059,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600136,2022,1,4500000026,10,1.0,C0000060,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600137,2022,1,4500000027,10,1.0,C0000068,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600138,2022,1,4500000028,10,1.0,C0000069,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600139,2022,1,4500000029,10,1.0,C0000070,1000,,C001,1000,1500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600140,2022,1,4500000030,10,1.0,C0000016,1000,,C001,1000,500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600141,2022,1,4500000031,10,1.0,C0000034,1000,,C001,1000,1000.0,S,I1,CA0000000,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600142,2022,1,4500000032,10,1.0,C0000044,1000,,C001,1000,600.0,S,I1,CA0000000,6.0,EA,6.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600151,2022,1,4500000035,10,1.0,C0000069,3000,,C003,3000,300.0,S,P1,CA00,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
50,5105600143,2022,1,4500000034,10,1.0,C0000016,3000,,C003,3000,600.0,S,P1,CA00,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600152,2022,1,4500000036,10,1.0,C0000017,3000,,C003,3000,550.0,S,P1,CA00,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600153,2022,1,4500000039,10,1.0,C0000034,3000,,C003,3000,360.0,S,P1,CA00,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600154,2022,1,4500000040,10,1.0,C0000034,3000,,C003,3000,480.0,S,P1,CA00,4.0,EA,4.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600155,2022,1,4500000038,10,1.0,C0000034,3000,,C003,3000,600.0,S,P1,CA00,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600156,2022,1,4500000037,10,1.0,C0000018,3000,,C003,3000,420.0,S,P1,CA00,4.0,EA,4.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600157,2022,1,4500000041,10,1.0,C0000039,3000,,C003,3000,315.0,S,P1,CA00,3.0,LB,3.0,LB,,,LB,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600158,2022,1,4500000042,10,1.0,C0000040,3000,,C003,3000,400.0,S,P1,CA00,4.0,LB,4.0,LB,,,LB,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
50,5105600105,2022,1,4500000006,10,1.0,C0000001,3000,,C003,3000,300.0,S,P1,CA00,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
50,5105600106,2022,1,4500000007,10,1.0,C0000033,3000,,C003,3000,100.0,S,P1,CA00,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
50,5105600107,2022,1,4500000008,10,1.0,C0000069,3000,,C003,3000,1200.0,S,P1,CA00,12.0,EA,12.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
100,5105600105,2022,1,4500000006,10,1.0,C0000001,3000,,C003,3000,300.0,S,P1,CA00,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600106,2022,1,4500000007,10,1.0,C0000033,3000,,C003,3000,100.0,S,P1,CA00,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600107,2022,1,4500000008,10,1.0,C0000069,3000,,C003,3000,1200.0,S,P1,CA00,12.0,EA,12.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600159,2022,1,4500000044,10,1.0,C0000016,4000,,C004,4000,480.0,S,V1,,4.0,EA,4.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
100,5105600160,2022,1,4500000045,10,1.0,C0000017,4000,,C004,4000,600.0,S,V1,,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:09.072978+00:00
50,5105600111,2022,1,4500000009,10,1.0,C0000001,4000,,C004,4000,300.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:01:13.153835+00:00
50,5105600112,2022,1,4500000010,10,1.0,C0000033,4000,,C004,4000,100.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:02:29.093603+00:00
50,5105600113,2022,1,4500000011,10,1.0,C0000069,4000,,C004,4000,2175.0,S,V1,,15.0,EA,15.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:03:27.274662+00:00
100,5105600111,2022,1,4500000009,10,1.0,C0000001,4000,,C004,4000,300.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600112,2022,1,4500000010,10,1.0,C0000033,4000,,C004,4000,100.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
100,5105600113,2022,1,4500000011,10,1.0,C0000069,4000,,C004,4000,2175.0,S,V1,,15.0,EA,15.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:03:15.441124+00:00
50,5105600114,2022,1,4500000012,10,1.0,C0000001,5000,,C005,5000,3.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:57:08.917246+00:00
50,5105600115,2022,1,4500000013,10,1.0,C0000033,5000,,C005,5000,1.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:58:22.035767+00:00
50,5105600116,2022,1,4500000014,30,1.0,C0000069,5000,,C005,5000,20.0,S,V1,,10.0,EA,10.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 12:07:47.375471+00:00
