mandt,bukrs,belnr,gjahr,blart,bldat,budat,monat,cpudt,cputm,aedat,upddt,wwert,usnam,tcode,bvorg,xblnr,dbblg,stblg,stjah,bktxt,waers,kursf,kzwrs,kzkrs,bstat,xnetb,frath,xrueb,glvor,grpid,dokid,arcid,iblar,awtyp,awkey,fikrs,hwaer,hwae2,hwae3,kurs2,kurs3,basw2,basw3,umrd2,umrd3,xstov,stodt,xmwst,curt2,curt3,kuty2,kuty3,xsnet,ausbk,xusvr,duefl,awsys,txkrs,ctxkrs,lotkz,xwvof,stgrd,ppnam,ppdat,pptme,pptcod,brnch,numpg,adisc,xref1_hd,xref2_hd,xreversal,reindat,rldnr,ldgrp,propmano,xblnr_alt,vatdate,doccat,xsplit,cash_alloc,follow_on,xreorg,subset,kurst,kursx,kur2x,kur3x,xmca,resubmission,sapf15_status,psoty,psoak,psoks,psosg,psofn,intform,intdate,psobt,psozl,psodt,psotm,fm_umart,ccins,ccnum,ssblk,batch,sname,sampled,exclude_flag,blind,offset_status,offset_refer_dat,penrc,knumv,pybastyp,pybasno,pybasdat,pyiban,inwardno_hd,inwarddt_hd,operation_flag,is_deleted,recordstamp
100,C005,1600000000,2022,DA,2022-02-02,2022-02-02,2,2022-02-18,10:51:39,,,2022-02-02,APARAMESWARA,FB08,,,,1400000000.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1600000000C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:41:29.653017+00:00
100,C005,1600000001,2022,DA,2022-02-02,2022-02-02,2,2022-02-18,10:53:31,,,2022-02-02,APARAMESWARA,FB08,,,,1400000001.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1600000001C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:41:29.653017+00:00
50,C001,90000040,2022,RV,2022-01-16,2022-01-16,1,2022-01-17,06:15:19,,,2022-01-16,SATISHE,VF01,,1,,100000001.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000055,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C001,90000041,2022,RV,2022-01-16,2022-01-16,1,2022-01-17,06:19:25,,,2022-01-16,SATISHE,VF01,,2,,100000002.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000056,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C001,90000042,2022,RV,2022-01-16,2022-01-16,1,2022-01-17,06:25:21,,,2022-01-16,SATISHE,VF01,,3,,100000003.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000057,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C003,90000004,2022,RV,2022-01-25,2022-01-25,1,2022-01-25,09:57:18,,,2022-01-25,SATISHE,VF01,,CR-01,,100000003.0,2022.0,,CAD,1.0,,,,,,,SD00,,,,,VBRK,0090000087,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C003,90000025,2022,RV,2022-01-25,2022-01-25,1,2022-01-25,12:04:34,,,2022-01-25,SATISHE,VF01,,RE-02,,100000004.0,2022.0,,CAD,1.0,,,,,,,SD00,,,,,VBRK,0090000109,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C002,90000008,2022,RV,2022-02-03,2022-02-03,2,2022-02-03,19:43:48,,,2022-02-03,AVINASHG,VF01,,0090000191,,100000000.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000191,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-03 19:52:54.516612+00:00
50,C002,90000009,2022,RV,2022-02-03,2022-02-03,2,2022-02-03,19:53:05,,,2022-02-03,AVINASHG,VF01,,0090000193,,100000001.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000193,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-03 20:39:33.570623+00:00
50,C002,90000010,2022,RV,2022-02-03,2022-02-03,2,2022-02-03,20:39:56,,,2022-02-03,AVINASHG,VF01,,0090000195,,100000002.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000195,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-03 20:46:51.104564+00:00
50,C002,90000011,2022,RV,2022-02-03,2022-02-03,2,2022-02-03,20:47:01,,,2022-02-03,AVINASHG,VF01,,0090000197,,100000003.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000197,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-04 15:07:40.026974+00:00
50,C002,90000013,2022,RV,2022-02-07,2022-02-07,2,2022-02-07,15:24:16,,,2022-02-07,AVINASHG,VF01,,0090000201,,100000004.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000201,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 03:53:35.655689+00:00
50,C002,90000014,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,03:59:51,,,2022-02-07,AVINASHG,VF01,,0090000206,,100000005.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000206,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 04:28:05.670488+00:00
50,C002,90000015,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,04:28:21,,,2022-02-07,AVINASHG,VF01,,0090000208,,100000006.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000208,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 04:41:15.508464+00:00
50,C002,90000016,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,04:41:27,,,2022-02-07,AVINASHG,VF01,,0090000210,,100000007.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000210,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 05:29:32.777456+00:00
50,C002,90000017,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,05:29:47,,,2022-02-07,AVINASHG,VF01,,0090000212,,100000008.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000212,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 05:42:21.617869+00:00
50,C002,90000018,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,05:42:34,,,2022-02-07,AVINASHG,VF01,,0090000214,,100000009.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000214,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 06:05:26.886506+00:00
50,C002,90000019,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,06:05:42,,,2022-02-07,AVINASHG,VF01,,0090000216,,100000010.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000216,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 06:07:10.212205+00:00
50,C002,90000020,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,06:07:17,,,2022-02-07,AVINASHG,VF01,,0090000218,,100000011.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000218,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 06:21:20.424197+00:00
50,C002,90000021,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,06:21:30,,,2022-02-07,AVINASHG,VF01,,0090000220,,100000012.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000220,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 06:29:54.717215+00:00
50,C002,90000022,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,06:30:07,,,2022-02-07,AVINASHG,VF01,,0090000222,,100000013.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000222,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 16:12:08.934552+00:00
50,C002,90000023,2022,RV,2022-02-07,2022-02-07,2,2022-02-08,16:14:32,,,2022-02-07,MKANNA,VF01,,0090000224,,100000014.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000224,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-08 16:17:22.056364+00:00
50,C002,90000024,2022,RV,2022-02-07,2022-02-07,2,2022-02-09,14:53:53,,,2022-02-07,AVINASHG,VF01,,0090000226,,100000015.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000226,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 05:02:04.582571+00:00
50,C002,90000025,2022,RV,2022-02-07,2022-02-07,2,2022-02-10,05:02:19,,,2022-02-07,AVINASHG,VF01,,0090000228,,100000016.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000228,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 13:55:45.817445+00:00
50,C002,90000027,2022,RV,2022-02-10,2022-02-10,2,2022-02-10,14:35:14,,,2022-02-10,AVINASHG,VF01,,0090000232,,100000017.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000232,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 14:45:49.348899+00:00
50,C002,90000028,2022,RV,2022-02-10,2022-02-10,2,2022-02-10,14:47:35,,,2022-02-10,AVINASHG,VF01,,0090000234,,100000018.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000234,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 14:56:22.614981+00:00
50,C002,90000029,2022,RV,2022-02-10,2022-02-10,2,2022-02-10,14:56:37,,,2022-02-10,AVINASHG,VF01,,0090000236,,100000019.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000236,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 15:06:55.923410+00:00
50,C002,90000030,2022,RV,2022-02-10,2022-02-10,2,2022-02-10,15:08:14,,,2022-02-10,AVINASHG,VF01,,0090000238,,100000020.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000238,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 15:15:22.809643+00:00
50,C002,90000032,2022,RV,2022-02-10,2022-02-10,2,2022-02-10,15:32:16,,,2022-02-10,AVINASHG,VF01,,0090000242,,100000021.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000242,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 15:36:10.514552+00:00
50,C002,90000034,2022,RV,2022-02-10,2022-02-10,2,2022-02-10,16:09:36,,,2022-02-10,AVINASHG,VF01,,0090000246,,100000022.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000246,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-10 16:21:14.244984+00:00
50,C002,90000037,2022,RV,2022-02-10,2022-02-10,2,2022-02-11,02:48:53,,,2022-02-10,AVINASHG,VF01,,INTCOMPSALEUS02D,,100000023.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000251,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-11 04:43:51.604199+00:00
50,C001,100000001,2022,AB,2022-01-16,2022-01-16,1,2022-01-17,06:44:49,,,2022-01-16,SATISHE,VF11,,1,,90000040.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000058,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C001,100000002,2022,AB,2022-01-16,2022-01-16,1,2022-01-17,06:45:26,,,2022-01-16,SATISHE,VF11,,2,,90000041.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000059,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C001,100000003,2022,AB,2022-01-16,2022-01-16,1,2022-01-17,06:45:35,,,2022-01-16,SATISHE,VF11,,3,,90000042.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000060,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C003,100000003,2022,AB,2022-01-25,2022-01-25,1,2022-01-25,09:58:04,,,2022-01-25,SATISHE,VF11,,CR-01,,90000004.0,2022.0,,CAD,1.0,,,,,,,SD00,,,,,VBRK,0090000088,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C003,100000004,2022,AB,2022-01-25,2022-01-25,1,2022-01-25,12:05:11,,,2022-01-25,SATISHE,VF11,,RE-02,,90000025.0,2022.0,,CAD,1.0,,,,,,,SD00,,,,,VBRK,0090000110,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:45.693184+00:00
50,C002,100000000,2022,AB,2022-02-03,2022-02-03,2,2022-02-03,19:52:46,,,2022-02-03,AVINASHG,VF11,,0090000191,,90000008.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000192,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 19:52:54.516612+00:00
50,C002,100000001,2022,AB,2022-02-03,2022-02-03,2,2022-02-03,20:39:31,,,2022-02-03,AVINASHG,VF11,,0090000193,,90000009.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000194,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 20:39:33.570623+00:00
50,C002,100000002,2022,AB,2022-02-03,2022-02-03,2,2022-02-03,20:46:49,,,2022-02-03,AVINASHG,VF11,,0090000195,,90000010.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000196,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 20:46:51.104564+00:00
50,C002,100000003,2022,AB,2022-02-03,2022-02-03,2,2022-02-04,15:07:37,,,2022-02-03,AVINASHG,VF11,,0090000197,,90000011.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000198,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 15:07:40.026974+00:00
50,C002,100000004,2022,AB,2022-02-07,2022-02-07,2,2022-02-08,03:53:33,,,2022-02-07,AVINASHG,VF11,,0090000201,,90000013.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000205,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-08 03:53:35.655689+00:00
50,C002,100000005,2022,AB,2022-02-07,2022-02-07,2,2022-02-08,04:28:04,,,2022-02-07,AVINASHG,VF11,,0090000206,,90000014.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000207,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-08 04:28:05.670488+00:00
50,C002,100000006,2022,AB,2022-02-07,2022-02-07,2,2022-02-08,04:41:14,,,2022-02-07,AVINASHG,VF11,,0090000208,,90000015.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000209,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-08 04:41:15.508464+00:00
50,C002,100000007,2022,AB,2022-02-07,2022-02-07,2,2022-02-08,05:29:31,,,2022-02-07,AVINASHG,VF11,,0090000210,,90000016.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000211,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-08 05:29:32.777456+00:00
50,C002,100000008,2022,AB,2022-02-07,2022-02-07,2,2022-02-08,05:42:19,,,2022-02-07,AVINASHG,VF11,,0090000212,,90000017.0,2022.0,,USD,1.0,,,,,,,SD00,,,,,VBRK,0090000213,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-08 05:42:21.617869+00:00
